type,key,src_lat,src_long,dest_lat,dest_long,src,dest,order_hour,Load
Shipment,MotherHub_ABL-MotherHub_AMD-12,30.396612,76.8116,22.8978044,72.5902141,MotherHub_ABL,MotherHub_AMD,12,12
Shipment,MotherHub_ABL-MotherHub_AMD-13,30.396612,76.8116,22.8978044,72.5902141,MotherHub_ABL,MotherHub_AMD,13,10
Shipment,MotherHub_ABL-MotherHub_AMD-14,30.396612,76.8116,22.8978044,72.5902141,MotherHub_ABL,MotherHub_AMD,14,10
Shipment,MotherHub_ABL-MotherHub_AMD-15,30.396612,76.8116,22.8978044,72.5902141,MotherHub_ABL,MotherHub_AMD,15,12
Shipment,MotherHub_ABL-MotherHub_AMD-16,30.396612,76.8116,22.8978044,72.5902141,MotherHub_ABL,MotherHub_AMD,16,11
Shipment,MotherHub_ABL-MotherHub_AMD-17,30.396612,76.8116,22.8978044,72.5902141,MotherHub_ABL,MotherHub_AMD,17,10
Shipment,MotherHub_ABL-MotherHub_AMD-18,30.396612,76.8116,22.8978044,72.5902141,MotherHub_ABL,MotherHub_AMD,18,9
Shipment,MotherHub_ABL-MotherHub_AMD-19,30.396612,76.8116,22.8978044,72.5902141,MotherHub_ABL,MotherHub_AMD,19,10
Shipment,MotherHub_ABL-MotherHub_AMD-20,30.396612,76.8116,22.8978044,72.5902141,MotherHub_ABL,MotherHub_AMD,20,11
Shipment,MotherHub_ABL-MotherHub_AMD-21,30.396612,76.8116,22.8978044,72.5902141,MotherHub_ABL,MotherHub_AMD,21,12
Shipment,MotherHub_ABL-MotherHub_AMD-22,30.396612,76.8116,22.8978044,72.5902141,MotherHub_ABL,MotherHub_AMD,22,12
Shipment,MotherHub_ABL-MotherHub_AMD-23,30.396612,76.8116,22.8978044,72.5902141,MotherHub_ABL,MotherHub_AMD,23,9
Shipment,MotherHub_ABL-MotherHub_BBI-0,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,0,5
Shipment,MotherHub_ABL-MotherHub_BBI-1,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,1,3
Shipment,MotherHub_ABL-MotherHub_BBI-2,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,2,1
Shipment,MotherHub_ABL-MotherHub_BBI-3,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,3,0
Shipment,MotherHub_ABL-MotherHub_BBI-4,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,4,0
Shipment,MotherHub_ABL-MotherHub_BBI-5,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,5,1
Shipment,MotherHub_ABL-MotherHub_BBI-6,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,6,1
Shipment,MotherHub_ABL-MotherHub_BBI-7,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,7,3
Shipment,MotherHub_ABL-MotherHub_BBI-8,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,8,5
Shipment,MotherHub_ABL-MotherHub_BBI-9,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,9,6
Shipment,MotherHub_ABL-MotherHub_BBI-10,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,10,7
Shipment,MotherHub_ABL-MotherHub_BBI-11,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,11,9
Shipment,MotherHub_ABL-MotherHub_BBI-12,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,12,8
Shipment,MotherHub_ABL-MotherHub_BBI-13,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,13,8
Shipment,MotherHub_ABL-MotherHub_BBI-14,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,14,7
Shipment,MotherHub_ABL-MotherHub_BBI-15,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,15,7
Shipment,MotherHub_ABL-MotherHub_BBI-16,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,16,7
Shipment,MotherHub_ABL-MotherHub_BBI-17,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,17,6
Shipment,MotherHub_ABL-MotherHub_BBI-18,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,18,6
Shipment,MotherHub_ABL-MotherHub_BBI-19,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,19,6
Shipment,MotherHub_ABL-MotherHub_BBI-20,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,20,7
Shipment,MotherHub_ABL-MotherHub_BBI-21,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,21,8
Shipment,MotherHub_ABL-MotherHub_BBI-22,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,22,8
Shipment,MotherHub_ABL-MotherHub_BBI-23,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,23,6
Shipment,MotherHub_ABL-MotherHub_BIL-0,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,0,7
Shipment,MotherHub_ABL-MotherHub_BIL-1,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,1,4
Shipment,MotherHub_ABL-MotherHub_BIL-2,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,2,1
Shipment,MotherHub_ABL-MotherHub_BIL-3,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,3,1
Shipment,MotherHub_ABL-MotherHub_BIL-4,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,4,1
Shipment,MotherHub_ABL-MotherHub_BIL-5,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,5,1
Shipment,MotherHub_ABL-MotherHub_BIL-6,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,6,1
Shipment,MotherHub_ABL-MotherHub_BIL-7,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,7,2
Shipment,MotherHub_ABL-MotherHub_BIL-8,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,8,6
Shipment,MotherHub_ABL-MotherHub_BIL-9,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,9,8
Shipment,MotherHub_ABL-MotherHub_BIL-10,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,10,9
Shipment,MotherHub_ABL-MotherHub_BIL-11,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,11,12
Shipment,MotherHub_ABL-MotherHub_BIL-12,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,12,14
Shipment,MotherHub_ABL-MotherHub_BIL-13,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,13,13
Shipment,MotherHub_ABL-MotherHub_BIL-14,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,14,14
Shipment,MotherHub_ABL-MotherHub_BIL-15,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,15,13
Shipment,MotherHub_ABL-MotherHub_BIL-16,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,16,11
Shipment,MotherHub_ABL-MotherHub_BIL-17,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,17,11
Shipment,MotherHub_ABL-MotherHub_BIL-18,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,18,10
Shipment,MotherHub_ABL-MotherHub_BIL-19,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,19,11
Shipment,MotherHub_ABL-MotherHub_BIL-20,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,20,10
Shipment,MotherHub_ABL-MotherHub_BIL-21,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,21,12
Shipment,MotherHub_ABL-MotherHub_BIL-22,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,22,14
Shipment,MotherHub_ABL-MotherHub_BIL-23,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,23,10
Shipment,MotherHub_ABL-MotherHub_BLR-0,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,0,29
Shipment,MotherHub_ABL-MotherHub_BLR-1,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,1,16
Shipment,MotherHub_ABL-MotherHub_BLR-2,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,2,7
Shipment,MotherHub_ABL-MotherHub_BLR-3,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,3,5
Shipment,MotherHub_ABL-MotherHub_BLR-4,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,4,3
Shipment,MotherHub_ABL-MotherHub_BLR-5,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,5,3
Shipment,MotherHub_ABL-MotherHub_BLR-6,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,6,10
Shipment,MotherHub_ABL-MotherHub_BLR-7,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,7,19
Shipment,MotherHub_ABL-MotherHub_BLR-8,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,8,35
Shipment,MotherHub_ABL-MotherHub_BLR-9,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,9,41
Shipment,MotherHub_ABL-MotherHub_BLR-10,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,10,46
Shipment,MotherHub_ABL-MotherHub_BLR-11,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,11,54
Shipment,MotherHub_ABL-MotherHub_BLR-12,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,12,60
