type,id,lat,long,vehicleType,capacity,fixedCost,variableCost,Src
truck,Motherhub_JIG_24FT_C,12.783553,77.644351,24FT_C,400,1000,30,Motherhub_JIG
truck,Motherhub_JIG_24FT_D,12.783553,77.644351,24FT_D,400,1000,30,Motherhub_JIG
truck,Motherhub_JIG_32FT_A,12.783553,77.644351,32FT_A,700,1800,36,Motherhub_JIG
truck,Motherhub_JIG_32FT_B,12.783553,77.644351,32FT_B,700,1800,36,Motherhub_JIG
truck,Motherhub_JIG_32FT_C,12.783553,77.644351,32FT_C,700,1800,36,Motherhub_JIG
truck,Motherhub_JIG_32FT_D,12.783553,77.644351,32FT_D,700,1800,36,Motherhub_JIG
truck,MotherHub_PTI_22FT_A,28.307612,76.81791,22FT_A,300,800,25,MotherHub_PTI
truck,MotherHub_PTI_22FT_B,28.307612,76.81791,22FT_B,300,800,25,MotherHub_PTI
truck,MotherHub_PTI_22FT_C,28.307612,76.81791,22FT_C,300,800,25,MotherHub_PTI
truck,MotherHub_PTI_22FT_D,28.307612,76.81791,22FT_D,300,800,25,MotherHub_PTI
truck,MotherHub_PTI_24FT_A,28.307612,76.81791,24FT_A,400,1000,30,MotherHub_PTI
truck,MotherHub_PTI_24FT_B,28.307612,76.81791,24FT_B,400,1000,30,MotherHub_PTI
truck,MotherHub_PTI_24FT_C,28.307612,76.81791,24FT_C,400,1000,30,MotherHub_PTI
truck,MotherHub_PTI_24FT_D,28.307612,76.81791,24FT_D,400,1000,30,MotherHub_PTI
truck,MotherHub_PTI_32FT_A,28.307612,76.81791,32FT_A,700,1800,36,MotherHub_PTI
truck,MotherHub_PTI_32FT_B,28.307612,76.81791,32FT_B,700,1800,36,MotherHub_PTI
truck,MotherHub_PTI_32FT_C,28.307612,76.81791,32FT_C,700,1800,36,MotherHub_PTI
truck,MotherHub_PTI_32FT_D,28.307612,76.81791,32FT_D,700,1800,36,MotherHub_PTI
truck,MotherHub_KNG_22FT_A,13.063051,77.741323,22FT_A,300,800,25,MotherHub_KNG
truck,MotherHub_KNG_22FT_B,13.063051,77.741323,22FT_B,300,800,25,MotherHub_KNG
truck,MotherHub_KNG_22FT_C,13.063051,77.741323,22FT_C,300,800,25,MotherHub_KNG
truck,MotherHub_KNG_22FT_D,13.063051,77.741323,22FT_D,300,800,25,MotherHub_KNG
truck,MotherHub_KNG_24FT_A,13.063051,77.741323,24FT_A,400,1000,30,MotherHub_KNG
truck,MotherHub_KNG_24FT_B,13.063051,77.741323,24FT_B,400,1000,30,MotherHub_KNG
truck,MotherHub_KNG_24FT_C,13.063051,77.741323,24FT_C,400,1000,30,MotherHub_KNG
truck,MotherHub_KNG_24FT_D,13.063051,77.741323,24FT_D,400,1000,30,MotherHub_KNG
truck,MotherHub_KNG_32FT_A,13.063051,77.741323,32FT_A,700,1800,36,MotherHub_KNG
truck,MotherHub_KNG_32FT_B,13.063051,77.741323,32FT_B,700,1800,36,MotherHub_KNG
truck,MotherHub_KNG_32FT_C,13.063051,77.741323,32FT_C,700,1800,36,MotherHub_KNG
truck,MotherHub_KNG_32FT_D,13.063051,77.741323,32FT_D,700,1800,36,MotherHub_KNG
truck,MotherHub_CHN_22FT_A,13.046088,80.069352,22FT_A,300,800,25,MotherHub_CHN
truck,MotherHub_CHN_22FT_B,13.046088,80.069352,22FT_B,300,800,25,MotherHub_CHN
truck,MotherHub_CHN_22FT_C,13.046088,80.069352,22FT_C,300,800,25,MotherHub_CHN
truck,MotherHub_CHN_22FT_D,13.046088,80.069352,22FT_D,300,800,25,MotherHub_CHN
truck,MotherHub_CHN_24FT_A,13.046088,80.069352,24FT_A,400,1000,30,MotherHub_CHN
truck,MotherHub_CHN_24FT_B,13.046088,80.069352,24FT_B,400,1000,30,MotherHub_CHN
truck,MotherHub_CHN_24FT_C,13.046088,80.069352,24FT_C,400,1000,30,MotherHub_CHN
truck,MotherHub_CHN_24FT_D,13.046088,80.069352,24FT_D,400,1000,30,MotherHub_CHN
truck,MotherHub_CHN_32FT_A,13.046088,80.069352,32FT_A,700,1800,36,MotherHub_CHN
truck,MotherHub_CHN_32FT_B,13.046088,80.069352,32FT_B,700,1800,36,MotherHub_CHN
truck,MotherHub_CHN_32FT_C,13.046088,80.069352,32FT_C,700,1800,36,MotherHub_CHN
truck,MotherHub_CHN_32FT_D,13.046088,80.069352,32FT_D,700,1800,36,MotherHub_CHN
truck,MotherHub_AMD_22FT_A,22.88998,72.594151,22FT_A,300,800,25,MotherHub_AMD
truck,MotherHub_AMD_22FT_B,22.88998,72.594151,22FT_B,300,800,25,MotherHub_AMD
truck,MotherHub_AMD_22FT_C,22.88998,72.594151,22FT_C,300,800,25,MotherHub_AMD
truck,MotherHub_AMD_22FT_D,22.88998,72.594151,22FT_D,300,800,25,MotherHub_AMD
truck,MotherHub_AMD_24FT_A,22.88998,72.594151,24FT_A,400,1000,30,MotherHub_AMD
truck,MotherHub_AMD_24FT_B,22.88998,72.594151,24FT_B,400,1000,30,MotherHub_AMD
truck,MotherHub_AMD_24FT_C,22.88998,72.594151,24FT_C,400,1000,30,MotherHub_AMD
truck,MotherHub_AMD_24FT_D,22.88998,72.594151,24FT_D,400,1000,30,MotherHub_AMD
truck,MotherHub_AMD_32FT_A,22.88998,72.594151,32FT_A,700,1800,36,MotherHub_AMD
truck,MotherHub_AMD_32FT_B,22.88998,72.594151,32FT_B,700,1800,36,MotherHub_AMD
truck,MotherHub_AMD_32FT_C,22.88998,72.594151,32FT_C,700,1800,36,MotherHub_AMD
truck,MotherHub_AMD_32FT_D,22.88998,72.594151,32FT_D,700,1800,36,MotherHub_AMD
truck,MotherHub_BLP_22FT_A,28.294382,76.856416,22FT_A,300,800,25,MotherHub_BLP
truck,MotherHub_BLP_22FT_B,28.294382,76.856416,22FT_B,300,800,25,MotherHub_BLP
truck,MotherHub_BLP_22FT_C,28.294382,76.856416,22FT_C,300,800,25,MotherHub_BLP
truck,MotherHub_BLP_22FT_D,28.294382,76.856416,22FT_D,300,800,25,MotherHub_BLP
truck,MotherHub_BLP_24FT_A,28.294382,76.856416,24FT_A,400,1000,30,MotherHub_BLP
truck,MotherHub_BLP_24FT_B,28.294382,76.856416,24FT_B,400,1000,30,MotherHub_BLP
truck,MotherHub_BLP_24FT_C,28.294382,76.856416,24FT_C,400,1000,30,MotherHub_BLP
truck,MotherHub_BLP_24FT_D,28.294382,76.856416,24FT_D,400,1000,30,MotherHub_BLP
truck,MotherHub_BLP_32FT_A,28.294382,76.856416,32FT_A,700,1800,36,MotherHub_BLP
truck,MotherHub_BLP_32FT_B,28.294382,76.856416,32FT_B,700,1800,36,MotherHub_BLP
truck,MotherHub_BLP_32FT_C,28.294382,76.856416,32FT_C,700,1800,36,MotherHub_BLP
truck,MotherHub_BLP_32FT_D,28.294382,76.856416,32FT_D,700,1800,36,MotherHub_BLP
truck,MotherHub_MUM_22FT_A,19.080923,72.879793,22FT_A,300,800,25,MotherHub_MUM
truck,MotherHub_MUM_22FT_B,19.080923,72.879793,22FT_B,300,800,25,MotherHub_MUM
truck,MotherHub_MUM_22FT_C,19.080923,72.879793,22FT_C,300,800,25,MotherHub_MUM
truck,MotherHub_MUM_22FT_D,19.080923,72.879793,22FT_D,300,800,25,MotherHub_MUM
truck,MotherHub_MUM_24FT_A,19.080923,72.879793,24FT_A,400,1000,30,MotherHub_MUM
truck,MotherHub_MUM_24FT_B,19.080923,72.879793,24FT_B,400,1000,30,MotherHub_MUM
truck,MotherHub_MUM_24FT_C,19.080923,72.879793,24FT_C,400,1000,30,MotherHub_MUM
truck,MotherHub_MUM_24FT_D,19.080923,72.879793,24FT_D,400,1000,30,MotherHub_MUM
truck,MotherHub_MUM_32FT_A,19.080923,72.879793,32FT_A,700,1800,36,MotherHub_MUM
truck,MotherHub_MUM_32FT_B,19.080923,72.879793,32FT_B,700,1800,36,MotherHub_MUM
truck,MotherHub_MUM_32FT_C,19.080923,72.879793,32FT_C,700,1800,36,MotherHub_MUM
truck,MotherHub_MUM_32FT_D,19.080923,72.879793,32FT_D,700,1800,36,MotherHub_MUM
truck,MotherHub_DKN_22FT_A,22.740286,88.31672,22FT_A,300,800,25,MotherHub_DKN
truck,MotherHub_DKN_22FT_B,22.740286,88.31672,22FT_B,300,800,25,MotherHub_DKN
truck,MotherHub_DKN_22FT_C,22.740286,88.31672,22FT_C,300,800,25,MotherHub_DKN
truck,MotherHub_DKN_22FT_D,22.740286,88.31672,22FT_D,300,800,25,MotherHub_DKN
truck,MotherHub_DKN_24FT_A,22.740286,88.31672,24FT_A,400,1000,30,MotherHub_DKN
truck,MotherHub_DKN_24FT_B,22.740286,88.31672,24FT_B,400,1000,30,MotherHub_DKN
truck,MotherHub_DKN_24FT_C,22.740286,88.31672,24FT_C,400,1000,30,MotherHub_DKN
truck,MotherHub_DKN_24FT_D,22.740286,88.31672,24FT_D,400,1000,30,MotherHub_DKN
truck,MotherHub_DKN_32FT_A,22.740286,88.31672,32FT_A,700,1800,36,MotherHub_DKN
truck,MotherHub_DKN_32FT_B,22.740286,88.31672,32FT_B,700,1800,36,MotherHub_DKN
truck,MotherHub_DKN_32FT_C,22.740286,88.31672,32FT_C,700,1800,36,MotherHub_DKN
truck,MotherHub_DKN_32FT_D,22.740286,88.31672,32FT_D,700,1800,36,MotherHub_DKN
truck,MotherHub_KOL_22FT_A,22.693624,88.487686,22FT_A,300,800,25,MotherHub_KOL
truck,MotherHub_KOL_22FT_B,22.693624,88.487686,22FT_B,300,800,25,MotherHub_KOL
truck,MotherHub_KOL_22FT_C,22.693624,88.487686,22FT_C,300,800,25,MotherHub_KOL
truck,MotherHub_KOL_22FT_D,22.693624,88.487686,22FT_D,300,800,25,MotherHub_KOL
truck,MotherHub_KOL_24FT_A,22.693624,88.487686,24FT_A,400,1000,30,MotherHub_KOL
truck,MotherHub_KOL_24FT_B,22.693624,88.487686,24FT_B,400,1000,30,MotherHub_KOL
truck,MotherHub_KOL_24FT_C,22.693624,88.487686,24FT_C,400,1000,30,MotherHub_KOL
truck,MotherHub_KOL_24FT_D,22.693624,88.487686,24FT_D,400,1000,30,MotherHub_KOL
truck,MotherHub_KOL_32FT_A,22.693624,88.487686,32FT_A,700,1800,36,MotherHub_KOL
truck,MotherHub_KOL_32FT_B,22.693624,88.487686,32FT_B,700,1800,36,MotherHub_KOL
truck,MotherHub_KOL_32FT_C,22.693624,88.487686,32FT_C,700,1800,36,MotherHub_KOL
truck,MotherHub_KOL_32FT_D,22.693624,88.487686,32FT_D,700,1800,36,MotherHub_KOL
truck,MotherHub_PZH_22FT_A,13.15093,80.199126,22FT_A,300,800,25,MotherHub_PZH
truck,MotherHub_PZH_22FT_B,13.15093,80.199126,22FT_B,300,800,25,MotherHub_PZH
truck,MotherHub_PZH_22FT_C,13.15093,80.199126,22FT_C,300,800,25,MotherHub_PZH
truck,MotherHub_PZH_22FT_D,13.15093,80.199126,22FT_D,300,800,25,MotherHub_PZH
truck,MotherHub_PZH_24FT_A,13.15093,80.199126,24FT_A,400,1000,30,MotherHub_PZH
truck,MotherHub_PZH_24FT_B,13.15093,80.199126,24FT_B,400,1000,30,MotherHub_PZH
truck,MotherHub_PZH_24FT_C,13.15093,80.199126,24FT_C,400,1000,30,MotherHub_PZH
truck,MotherHub_PZH_24FT_D,13.15093,80.199126,24FT_D,400,1000,30,MotherHub_PZH
truck,MotherHub_PZH_32FT_A,13.15093,80.199126,32FT_A,700,1800,36,MotherHub_PZH
truck,MotherHub_PZH_32FT_B,13.15093,80.199126,32FT_B,700,1800,36,MotherHub_PZH
truck,MotherHub_PZH_32FT_C,13.15093,80.199126,32FT_C,700,1800,36,MotherHub_PZH
truck,MotherHub_PZH_32FT_D,13.15093,80.199126,32FT_D,700,1800,36,MotherHub_PZH
truck,MotherHub_DEL_22FT_A,28.54912,77.131226,22FT_A,300,800,25,MotherHub_DEL
truck,MotherHub_DEL_22FT_B,28.54912,77.131226,22FT_B,300,800,25,MotherHub_DEL
truck,MotherHub_DEL_22FT_C,28.54912,77.131226,22FT_C,300,800,25,MotherHub_DEL
truck,MotherHub_DEL_22FT_D,28.54912,77.131226,22FT_D,300,800,25,MotherHub_DEL
truck,MotherHub_DEL_24FT_A,28.54912,77.131226,24FT_A,400,1000,30,MotherHub_DEL
truck,MotherHub_DEL_24FT_B,28.54912,77.131226,24FT_B,400,1000,30,MotherHub_DEL
truck,MotherHub_DEL_24FT_C,28.54912,77.131226,24FT_C,400,1000,30,MotherHub_DEL
truck,MotherHub_DEL_24FT_D,28.54912,77.131226,24FT_D,400,1000,30,MotherHub_DEL
truck,MotherHub_DEL_32FT_A,28.54912,77.131226,32FT_A,700,1800,36,MotherHub_DEL
truck,MotherHub_DEL_32FT_B,28.54912,77.131226,32FT_B,700,1800,36,MotherHub_DEL
truck,MotherHub_DEL_32FT_C,28.54912,77.131226,32FT_C,700,1800,36,MotherHub_DEL
truck,MotherHub_DEL_32FT_D,28.54912,77.131226,32FT_D,700,1800,36,MotherHub_DEL
truck,MotherHub_BHI_22FT_A,19.238673,73.036094,22FT_A,300,800,25,MotherHub_BHI
truck,MotherHub_BHI_22FT_B,19.238673,73.036094,22FT_B,300,800,25,MotherHub_BHI
truck,MotherHub_BHI_22FT_C,19.238673,73.036094,22FT_C,300,800,25,MotherHub_BHI
truck,MotherHub_BHI_22FT_D,19.238673,73.036094,22FT_D,300,800,25,MotherHub_BHI
truck,MotherHub_BHI_24FT_A,19.238673,73.036094,24FT_A,400,1000,30,MotherHub_BHI
truck,MotherHub_BHI_24FT_B,19.238673,73.036094,24FT_B,400,1000,30,MotherHub_BHI
truck,MotherHub_BHI_24FT_C,19.238673,73.036094,24FT_C,400,1000,30,MotherHub_BHI
truck,MotherHub_BHI_24FT_D,19.238673,73.036094,24FT_D,400,1000,30,MotherHub_BHI
truck,MotherHub_BHI_32FT_A,19.238673,73.036094,32FT_A,700,1800,36,MotherHub_BHI
truck,MotherHub_BHI_32FT_B,19.238673,73.036094,32FT_B,700,1800,36,MotherHub_BHI
truck,MotherHub_BHI_32FT_C,19.238673,73.036094,32FT_C,700,1800,36,MotherHub_BHI
truck,MotherHub_BHI_32FT_D,19.238673,73.036094,32FT_D,700,1800,36,MotherHub_BHI
truck,MotherHub_PUNE_22FT_A,18.607342,73.727015,22FT_A,300,800,25,MotherHub_PUNE
truck,MotherHub_PUNE_22FT_B,18.607342,73.727015,22FT_B,300,800,25,MotherHub_PUNE
truck,MotherHub_PUNE_22FT_C,18.607342,73.727015,22FT_C,300,800,25,MotherHub_PUNE
truck,MotherHub_PUNE_22FT_D,18.607342,73.727015,22FT_D,300,800,25,MotherHub_PUNE
truck,MotherHub_PUNE_24FT_A,18.607342,73.727015,24FT_A,400,1000,30,MotherHub_PUNE
truck,MotherHub_PUNE_24FT_B,18.607342,73.727015,24FT_B,400,1000,30,MotherHub_PUNE
truck,MotherHub_PUNE_24FT_C,18.607342,73.727015,24FT_C,400,1000,30,MotherHub_PUNE
truck,MotherHub_PUNE_24FT_D,18.607342,73.727015,24FT_D,400,1000,30,MotherHub_PUNE
truck,MotherHub_PUNE_32FT_A,18.607342,73.727015,32FT_A,700,1800,36,MotherHub_PUNE
truck,MotherHub_PUNE_32FT_B,18.607342,73.727015,32FT_B,700,1800,36,MotherHub_PUNE
truck,MotherHub_PUNE_32FT_C,18.607342,73.727015,32FT_C,700,1800,36,MotherHub_PUNE
truck,MotherHub_PUNE_32FT_D,18.607342,73.727015,32FT_D,700,1800,36,MotherHub_PUNE
truck,MotherHub_WTF_22FT_A,12.991207,77.808766,22FT_A,300,800,25,MotherHub_WTF
truck,MotherHub_WTF_22FT_B,12.991207,77.808766,22FT_B,300,800,25,MotherHub_WTF
truck,MotherHub_WTF_22FT_C,12.991207,77.808766,22FT_C,300,800,25,MotherHub_WTF
truck,MotherHub_WTF_22FT_D,12.991207,77.808766,22FT_D,300,800,25,MotherHub_WTF
truck,MotherHub_WTF_24FT_A,12.991207,77.808766,24FT_A,400,1000,30,MotherHub_WTF
truck,MotherHub_WTF_24FT_B,12.991207,77.808766,24FT_B,400,1000,30,MotherHub_WTF
truck,MotherHub_WTF_24FT_C,12.991207,77.808766,24FT_C,400,1000,30,MotherHub_WTF
truck,MotherHub_WTF_24FT_D,12.991207,77.808766,24FT_D,400,1000,30,MotherHub_WTF
truck,MotherHub_WTF_32FT_A,12.991207,77.808766,32FT_A,700,1800,36,MotherHub_WTF
truck,MotherHub_WTF_32FT_B,12.991207,77.808766,32FT_B,700,1800,36,MotherHub_WTF
truck,MotherHub_WTF_32FT_C,12.991207,77.808766,32FT_C,700,1800,36,MotherHub_WTF
truck,MotherHub_WTF_32FT_D,12.991207,77.808766,32FT_D,700,1800,36,MotherHub_WTF
truck,MotherHub_JAI_22FT_A,26.948758,75.762015,22FT_A,300,800,25,MotherHub_JAI
truck,MotherHub_JAI_22FT_B,26.948758,75.762015,22FT_B,300,800,25,MotherHub_JAI
truck,MotherHub_JAI_22FT_C,26.948758,75.762015,22FT_C,300,800,25,MotherHub_JAI
truck,MotherHub_JAI_22FT_D,26.948758,75.762015,22FT_D,300,800,25,MotherHub_JAI
truck,MotherHub_JAI_24FT_A,26.948758,75.762015,24FT_A,400,1000,30,MotherHub_JAI
truck,MotherHub_JAI_24FT_B,26.948758,75.762015,24FT_B,400,1000,30,MotherHub_JAI
truck,MotherHub_JAI_24FT_C,26.948758,75.762015,24FT_C,400,1000,30,MotherHub_JAI
truck,MotherHub_JAI_24FT_D,26.948758,75.762015,24FT_D,400,1000,30,MotherHub_JAI
truck,MotherHub_JAI_32FT_A,26.948758,75.762015,32FT_A,700,1800,36,MotherHub_JAI
truck,MotherHub_JAI_32FT_B,26.948758,75.762015,32FT_B,700,1800,36,MotherHub_JAI
truck,MotherHub_JAI_32FT_C,26.948758,75.762015,32FT_C,700,1800,36,MotherHub_JAI
