Type,Key,src_lat,src_long,dest_lat,dest_long,Source,DH,Ready_time_10,Load,del_time
Shipment,MotherHub_BNL-MotherHub_LKO-2,28.3076,76.88272,26.75591,80.91094,MotherHub_BNL,MotherHub_LKO-2,104400,715,212400
Shipment,MotherHub_BNL-MuktsarHub_MKT,28.3076,76.88272,30.46429,74.51236,MotherHub_BNL,MuktsarHub_MKT,79200,154,126000
Shipment,MotherHub_BNL-MuzaffarnagarHub_MFN,28.3076,76.88272,29.47268,77.70851,MotherHub_BNL,MuzaffarnagarHub_MFN,79200,286,126000
Shipment,MotherHub_BNL-NarnaulHub_NNL,28.3076,76.88272,28.06932,76.10676,MotherHub_BNL,NarnaulHub_NNL,79200,419,126000
Shipment,MotherHub_BNL-PalwalHub_PLW,28.3076,76.88272,28.15135,77.33418,MotherHub_BNL,PalwalHub_PLW,79200,251,126000
Shipment,MotherHub_BNL-PanchkulaHub_PKL,28.3076,76.88272,30.68354,76.83065,MotherHub_BNL,PanchkulaHub_PKL,79200,931,126000
Shipment,MotherHub_BNL-PanipatHub_PPT,28.3076,76.88272,29.41169,76.97199,MotherHub_BNL,PanipatHub_PPT,79200,760,126000
Shipment,MotherHub_BNL-PathankotHub_PHT,28.3076,76.88272,32.26081,75.62925,MotherHub_BNL,PathankotHub_PHT,104400,250,212400
Shipment,MotherHub_BNL-PatialaHub_PTA,28.3076,76.88272,30.33504,76.40621,MotherHub_BNL,PatialaHub_PTA,79200,778,126000
Shipment,MotherHub_BNL-PhagwaraHub_PGR,28.3076,76.88272,31.20092,75.77628,MotherHub_BNL,PhagwaraHub_PGR,79200,245,126000
Shipment,MotherHub_BNL-RewariHub_RWR,28.3076,76.88272,28.19758,76.6242,MotherHub_BNL,RewariHub_RWR,79200,457,126000
Shipment,MotherHub_BNL-RohtakHub_ROH,28.3076,76.88272,28.88296,76.61991,MotherHub_BNL,RohtakHub_ROH,79200,789,126000
Shipment,MotherHub_BNL-RoorkeeHub_HRD,28.3076,76.88272,29.8543,77.888,MotherHub_BNL,RoorkeeHub_HRD,79200,221,126000
Shipment,MotherHub_BNL-RudrapurHub_RDP,28.3076,76.88272,28.98751,79.41412,MotherHub_BNL,RudrapurHub_RDP,79200,429,126000
Shipment,MotherHub_BNL-RupnagarHub_RUP,28.3076,76.88272,30.95257,76.50697,MotherHub_BNL,RupnagarHub_RUP,79200,267,126000
Shipment,MotherHub_BNL-SaharanpurHub_SHP,28.3076,76.88272,29.95604,77.54524,MotherHub_BNL,SaharanpurHub_SHP,79200,354,126000
Shipment,MotherHub_BNL-SangrurHub_SNR,28.3076,76.88272,30.24814,75.83418,MotherHub_BNL,SangrurHub_SNR,79200,211,126000
Shipment,MotherHub_BNL-SirsaHub_SRS,28.3076,76.88272,29.53637,75.01584,MotherHub_BNL,SirsaHub_SRS,79200,312,126000
Shipment,MotherHub_BNL-SonepatHub_SOP,28.3076,76.88272,28.99955,77.03274,MotherHub_BNL,SonepatHub_SOP,79200,540,126000
Shipment,MotherHub_BNL-YamunaNagarHub_YNR,28.3076,76.88272,30.12658,77.29488,MotherHub_BNL,YamunaNagarHub_YNR,79200,347,126000
