Type,Key,src_lat,src_long,dest_lat,dest_long,Source,DH,Ready_time,Load,Del_time,flag,Ready_time_10,del_time,Ready_time_11,dist,time,Ready_time_10,del_time_10,Ready_time_11,del_time_11,Ready_time_12,del_time_12,Ready_time_1,del_time_1,Ready_time_2,del_time_2,Ready_time_3,del_time_3
Shipment,MotherHub_BNL-JhansiHub_JHS,28.3076,76.88272,25.44843,78.56846,MotherHub_BNL,JhansiHub_JHS,79200,367,118800,1,79200,126000,82800,466.9521585637,15.5650719521,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-JindHub_JND,28.3076,76.88272,28.87825,76.5872,MotherHub_BNL,JindHub_JND,79200,291,118800,1,79200,126000,82800,90.6166179446,3.0205539315,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BNL-KaithalHub_KTL,28.3076,76.88272,29.9781,76.58375,MotherHub_BNL,KaithalHub_KTL,79200,238,118800,1,79200,126000,82800,244.4083911488,8.1469463716,79200,118800,82800,118800,86400,118800,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-KarnalHub_KAL,28.3076,76.88272,29.7003,76.99743,MotherHub_BNL,KarnalHub_KAL,79200,352,118800,1,79200,126000,82800,201.841135841,6.7280378614,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,104400,205200
Shipment,MotherHub_BNL-KotkapuraHub_KKP,28.3076,76.88272,30.58372,74.82598,MotherHub_BNL,KotkapuraHub_KKP,79200,169,118800,1,79200,126000,82800,418.6485247691,13.9549508256,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-KurukshetraHub_KUR,28.3076,76.88272,29.9786,76.85336,MotherHub_BNL,KurukshetraHub_KUR,79200,274,118800,1,79200,126000,82800,241.5771759938,8.0525725331,79200,118800,82800,118800,86400,118800,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-LudhianaHub_LUH,28.3076,76.88272,30.88109,75.86274,MotherHub_BNL,LudhianaHub_LUH,79200,1680,118800,1,79200,126000,82800,393.4723364485,13.1157445483,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-MathuraHub_MTH,28.3076,76.88272,27.49578,77.66238,MotherHub_BNL,MathuraHub_MTH,79200,378,118800,1,79200,126000,82800,153.9200039649,5.1306667988,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BNL-MeerutHub_MEE,28.3076,76.88272,28.53423,77.27465,MotherHub_BNL,MeerutHub_MEE,79200,1060,118800,1,79200,126000,82800,59.6313449644,1.9877114988,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BNL-MohaliHub_IXC,28.3076,76.88272,30.71138,76.69249,MotherHub_BNL,MohaliHub_IXC,79200,973,118800,1,79200,126000,82800,348.29745974,11.6099153247,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-MoradabadHub_MRD,28.3076,76.88272,28.8302,78.73854,MotherHub_BNL,MoradabadHub_MRD,79200,771,118800,1,79200,126000,82800,247.4130879017,8.2471029301,79200,118800,82800,118800,86400,118800,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-MuktsarHub_MKT,28.3076,76.88272,30.46429,74.51236,MotherHub_BNL,MuktsarHub_MKT,79200,154,118800,1,79200,126000,82800,431.6307361181,14.3876912039,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-MuzaffarnagarHub_MFN,28.3076,76.88272,29.47268,77.70851,MotherHub_BNL,MuzaffarnagarHub_MFN,79200,286,118800,1,79200,126000,82800,198.2085272824,6.6069509094,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,104400,205200
Shipment,MotherHub_BNL-NarnaulHub_NNL,28.3076,76.88272,28.06932,76.10676,MotherHub_BNL,NarnaulHub_NNL,79200,419,118800,1,79200,126000,82800,104.6924820695,3.4897494023,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BNL-PalwalHub_PLW,28.3076,76.88272,28.15135,77.33418,MotherHub_BNL,PalwalHub_PLW,79200,251,118800,1,79200,126000,82800,61.7751410739,2.0591713691,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BNL-PanchkulaHub_PKL,28.3076,76.88272,30.68354,76.83065,MotherHub_BNL,PanchkulaHub_PKL,79200,931,118800,1,79200,126000,82800,343.5126770898,11.4504225697,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-PanipatHub_PPT,28.3076,76.88272,29.41169,76.97199,MotherHub_BNL,PanipatHub_PPT,79200,760,118800,1,79200,126000,82800,159.9995914412,5.3333197147,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BNL-PathankotHub_PHT,28.3076,76.88272,32.26081,75.62925,MotherHub_BNL,PathankotHub_PHT,79200,250,126000,1,79200,126000,82800,592.4668756144,19.7488958538,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-PatialaHub_PTA,28.3076,76.88272,30.33504,76.40621,MotherHub_BNL,PatialaHub_PTA,79200,778,118800,1,79200,126000,82800,299.1622411918,9.9720747064,79200,118800,82800,118800,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-PhagwaraHub_PGR,28.3076,76.88272,31.20092,75.77628,MotherHub_BNL,PhagwaraHub_PGR,79200,245,118800,1,79200,126000,82800,440.6768841591,14.689229472,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-RewariHub_RWR,28.3076,76.88272,28.19758,76.6242,MotherHub_BNL,RewariHub_RWR,79200,457,118800,1,79200,126000,82800,36.5585294412,1.218617648,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BNL-RohtakHub_ROH,28.3076,76.88272,28.88296,76.61991,MotherHub_BNL,RohtakHub_ROH,79200,789,118800,1,79200,126000,82800,89.6097317642,2.9869910588,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BNL-RoorkeeHub_HRD,28.3076,76.88272,29.8543,77.888,MotherHub_BNL,RoorkeeHub_HRD,79200,221,118800,1,79200,126000,82800,257.127671889,8.5709223963,79200,118800,82800,118800,86400,118800,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-RudrapurHub_RDP,28.3076,76.88272,28.98751,79.41412,MotherHub_BNL,RudrapurHub_RDP,79200,429,118800,1,79200,126000,82800,335.8225602599,11.194085342,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-RupnagarHub_RUP,28.3076,76.88272,30.95257,76.50697,MotherHub_BNL,RupnagarHub_RUP,79200,267,118800,1,79200,126000,82800,385.2424543691,12.8414151456,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-SaharanpurHub_SHP,28.3076,76.88272,29.95604,77.54524,MotherHub_BNL,SaharanpurHub_SHP,79200,354,118800,1,79200,126000,82800,252.5434082816,8.4181136094,79200,118800,82800,118800,86400,118800,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-SangrurHub_SNR,28.3076,76.88272,30.24814,75.83418,MotherHub_BNL,SangrurHub_SNR,79200,211,118800,1,79200,126000,82800,310.100691854,10.3366897285,79200,118800,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-SirsaHub_SRS,28.3076,76.88272,29.53637,75.01584,MotherHub_BNL,SirsaHub_SRS,79200,312,118800,1,79200,126000,82800,295.5300248784,9.8510008293,79200,118800,82800,118800,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-SonepatHub_SOP,28.3076,76.88272,28.99955,77.03274,MotherHub_BNL,SonepatHub_SOP,79200,540,118800,1,79200,126000,82800,101.8178961294,3.393929871,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BNL-YamunaNagarHub_YNR,28.3076,76.88272,30.12658,77.29488,MotherHub_BNL,YamunaNagarHub_YNR,79200,347,118800,1,79200,126000,82800,268.0313301032,8.9343776701,79200,118800,82800,118800,86400,118800,104400,205200,104400,205200,104400,205200
