Type,key,National_connect_lat,National_connect_long,zonal_connect_lat,zonal_connect_long,National_connect,zonal_connect,Ready_time,Load
Shipment,MOTHERHUB_BLR-MOTHERHUB_JAI-3,12.9842798,77.8242648,26.948928,75.761927,MOTHERHUB_BLR,MOTHERHUB_JAI,10800,1445
Shipment,MOTHERHUB_BLR-MOTHERHUB_JAI-11.9513888888889,12.9842798,77.8242648,26.948928,75.761927,MOTHERHUB_BLR,MOTHERHUB_JAI,43025,181
Shipment,MOTHERHUB_BLR-MOTHERHUB_KOL-3,12.9842798,77.8242648,22.708183,88.28565,MOTHERHUB_BLR,MOTHERHUB_KOL,10800,7014
Shipment,MOTHERHUB_BLR-MOTHERHUB_KOL-11.9513888888889,12.9842798,77.8242648,22.708183,88.28565,MOTHERHUB_BLR,MOTHERHUB_KOL,43025,234
Shipment,MOTHERHUB_BLR-MOTHERHUB_MED-3,12.9842798,77.8242648,17.580519,78.469527,MOTHERHUB_BLR,MOTHERHUB_MED,10800,4806
Shipment,MOTHERHUB_BLR-MOTHERHUB_MED-11.9513888888889,12.9842798,77.8242648,17.580519,78.469527,MOTHERHUB_BLR,MOTHERHUB_MED,43025,455
Shipment,MOTHERHUB_BLR-MOTHERHUB_PTI-3-0,12.9842798,77.8242648,28.294166,76.855804,MOTHERHUB_BLR,MOTHERHUB_PTI,10800,9000
Shipment,MOTHERHUB_BLR-MOTHERHUB_PTI-3-1,12.9842798,77.8242648,28.294166,76.855804,MOTHERHUB_BLR,MOTHERHUB_PTI,10800,270
Shipment,MOTHERHUB_BLR-MOTHERHUB_PTI-11.9513888888889,12.9842798,77.8242648,28.294166,76.855804,MOTHERHUB_BLR,MOTHERHUB_PTI,43025,1749
Shipment,MOTHERHUB_BLR-MOTHERHUB_STV-3,12.9842798,77.8242648,21.0895987,72.900005,MOTHERHUB_BLR,MOTHERHUB_STV,10800,361
Shipment,MOTHERHUB_BLR-MOTHERHUB_STV-11.9513888888889,12.9842798,77.8242648,21.0895987,72.900005,MOTHERHUB_BLR,MOTHERHUB_STV,43025,172
Shipment,MOTHERHUB_CHN-MOTHERHUB_AMD-3,13.04591,80.067723,22.8978044,72.5902141,MOTHERHUB_CHN,MOTHERHUB_AMD,10800,551
Shipment,MOTHERHUB_CHN-MOTHERHUB_BIL-3,13.04591,80.067723,19.2374987,73.0362352,MOTHERHUB_CHN,MOTHERHUB_BIL,10800,2066
Shipment,MOTHERHUB_CHN-MOTHERHUB_BLR-3,13.04591,80.067723,12.9842798,77.8242648,MOTHERHUB_CHN,MOTHERHUB_BLR,10800,4924
Shipment,MOTHERHUB_CHN-MOTHERHUB_JAI-3,13.04591,80.067723,26.948928,75.761927,MOTHERHUB_CHN,MOTHERHUB_JAI,10800,435
Shipment,MOTHERHUB_CHN-MOTHERHUB_KOL-3,13.04591,80.067723,22.708183,88.28565,MOTHERHUB_CHN,MOTHERHUB_KOL,10800,2121
Shipment,MOTHERHUB_CHN-MOTHERHUB_MED-3,13.04591,80.067723,17.580519,78.469527,MOTHERHUB_CHN,MOTHERHUB_MED,10800,1460
Shipment,MOTHERHUB_CHN-MOTHERHUB_PTI-3,13.04591,80.067723,28.294166,76.855804,MOTHERHUB_CHN,MOTHERHUB_PTI,10800,3117
Shipment,MOTHERHUB_CHN-MOTHERHUB_STV-3,13.04591,80.067723,21.0895987,72.900005,MOTHERHUB_CHN,MOTHERHUB_STV,10800,196
Shipment,MOTHERHUB_JAI-MOTHERHUB_AMD-3,26.948928,75.761927,22.8978044,72.5902141,MOTHERHUB_JAI,MOTHERHUB_AMD,10800,331
Shipment,MOTHERHUB_JAI-MOTHERHUB_BIL-3,26.948928,75.761927,19.2374987,73.0362352,MOTHERHUB_JAI,MOTHERHUB_BIL,10800,1392
Shipment,MOTHERHUB_JAI-MOTHERHUB_BLR-3,26.948928,75.761927,12.9842798,77.8242648,MOTHERHUB_JAI,MOTHERHUB_BLR,10800,2650
Shipment,MOTHERHUB_JAI-MOTHERHUB_CHN-3,26.948928,75.761927,13.04591,80.067723,MOTHERHUB_JAI,MOTHERHUB_CHN,10800,466
Shipment,MOTHERHUB_JAI-MOTHERHUB_KOL-3,26.948928,75.761927,22.708183,88.28565,MOTHERHUB_JAI,MOTHERHUB_KOL,10800,2587
Shipment,MOTHERHUB_JAI-MOTHERHUB_MED-3,26.948928,75.761927,17.580519,78.469527,MOTHERHUB_JAI,MOTHERHUB_MED,10800,872
Shipment,MOTHERHUB_JAI-MOTHERHUB_PTI-3,26.948928,75.761927,28.294166,76.855804,MOTHERHUB_JAI,MOTHERHUB_PTI,10800,3311
Shipment,MOTHERHUB_JAI-MOTHERHUB_STV-3,26.948928,75.761927,21.0895987,72.900005,MOTHERHUB_JAI,MOTHERHUB_STV,10800,113
Shipment,MOTHERHUB_KOL-MOTHERHUB_AMD-3,22.708183,88.28565,22.8978044,72.5902141,MOTHERHUB_KOL,MOTHERHUB_AMD,10800,179
Shipment,MOTHERHUB_KOL-MOTHERHUB_AMD-13.4841666666667,22.708183,88.28565,22.8978044,72.5902141,MOTHERHUB_KOL,MOTHERHUB_AMD,48543,117
Shipment,MOTHERHUB_KOL-MOTHERHUB_AMD-17.0505555555556,22.708183,88.28565,22.8978044,72.5902141,MOTHERHUB_KOL,MOTHERHUB_AMD,61382,64
Shipment,MOTHERHUB_KOL-MOTHERHUB_BIL-3,22.708183,88.28565,19.2374987,73.0362352,MOTHERHUB_KOL,MOTHERHUB_BIL,10800,763
Shipment,MOTHERHUB_KOL-MOTHERHUB_BIL-13.4841666666667,22.708183,88.28565,19.2374987,73.0362352,MOTHERHUB_KOL,MOTHERHUB_BIL,48543,511
Shipment,MOTHERHUB_KOL-MOTHERHUB_BIL-17.0505555555556,22.708183,88.28565,19.2374987,73.0362352,MOTHERHUB_KOL,MOTHERHUB_BIL,61382,298
Shipment,MOTHERHUB_KOL-MOTHERHUB_BLR-3,22.708183,88.28565,12.9842798,77.8242648,MOTHERHUB_KOL,MOTHERHUB_BLR,10800,1440
Shipment,MOTHERHUB_KOL-MOTHERHUB_BLR-13.4841666666667,22.708183,88.28565,12.9842798,77.8242648,MOTHERHUB_KOL,MOTHERHUB_BLR,48543,637
Shipment,MOTHERHUB_KOL-MOTHERHUB_BLR-17.0505555555556,22.708183,88.28565,12.9842798,77.8242648,MOTHERHUB_KOL,MOTHERHUB_BLR,61382,300
Shipment,MOTHERHUB_KOL-MOTHERHUB_CHN-3,22.708183,88.28565,13.04591,80.067723,MOTHERHUB_KOL,MOTHERHUB_CHN,10800,235
Shipment,MOTHERHUB_KOL-MOTHERHUB_CHN-13.4841666666667,22.708183,88.28565,13.04591,80.067723,MOTHERHUB_KOL,MOTHERHUB_CHN,48543,70
Shipment,MOTHERHUB_KOL-MOTHERHUB_CHN-17.0505555555556,22.708183,88.28565,13.04591,80.067723,MOTHERHUB_KOL,MOTHERHUB_CHN,61382,34
Shipment,MOTHERHUB_KOL-MOTHERHUB_JAI-3,22.708183,88.28565,26.948928,75.761927,MOTHERHUB_KOL,MOTHERHUB_JAI,10800,236
Shipment,MOTHERHUB_KOL-MOTHERHUB_JAI-13.4841666666667,22.708183,88.28565,26.948928,75.761927,MOTHERHUB_KOL,MOTHERHUB_JAI,48543,190
