+--------------------------+
| problem                  |
+---------------+----------+
| indicator     | value    |
+---------------+----------+
| noJobs        | 506      | 
| noServices    | 0        | 
| noShipments   | 506      | 
| noBreaks      | 0        | 
| fleetsize     | FINITE   | 
+--------------------------+
+----------------------------------------------------------+
| solution                                                 |
+---------------+------------------------------------------+
| indicator     | value                                    |
+---------------+------------------------------------------+
| costs         | 2.17935985988503168E17                   | 
| noVehicles    | 36                                       | 
| unassgndJobs  | 4                                        | 
+----------------------------------------------------------+
+--------------------------------------------------------------------------------------------------------------------------------+
| detailed solution                                                                                                              |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| route   | vehicle              | activity              | job             | arrTime         | endTime         | costs           |
| 2       | 1-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MUM-MOTHERHUB_GAU | 253589          | 253589          | 15519632        |
| 2       | 1-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_PUNE-MOTHERHUB_GAU | 253589          | 253589          | 15519632        |
| 2       | 1-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MED-MOTHERHUB_GAU | 253589          | 253589          | 15519632        |
| 2       | 1-MOTHERHUB_BLR-32   | end                   | -               | 253589          | undef           | 15519632        |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 3       | 2-MOTHERHUB_BLR-32   | start                 | -               | undef           | 0               | 0               |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_BIL | 0               | 0               | 0               |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_STV | 0               | 0               | 0               |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_LKO | 0               | 0               | 0               |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_MUM | 0               | 0               | 0               |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_GOA | 0               | 0               | 0               |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_GOA-MOTHERHUB_PUNE | 29109           | 29109           | 1781468         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_GOA-MOTHERHUB_IDR | 29109           | 29109           | 1781468         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_GOA-MOTHERHUB_MUM | 29109           | 29109           | 1781468         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_GOA-MOTHERHUB_BIL | 29109           | 29109           | 1781468         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_GOA-MOTHERHUB_STV | 29109           | 29109           | 1781468         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_GOA-MOTHERHUB_AMD | 29109           | 29109           | 1781468         |
