type,Concat,Lat Source,Long Source,Lat Dest ,Long Dest ,Source,Dest ,Ready Time,Load
Shipment,MotherHub_BLR-MaduraiHub_IXM,12.9842798,77.8242648,9.916129,78.099971,MotherHub_BLR,MaduraiHub_IXM,0,8744
Shipment,MotherHub_BLR-MalaPuramHub_MLP,12.9842798,77.8242648,11.1447586,76.0647811,MotherHub_BLR,MalaPuramHub_MLP,0,8781
Shipment,MotherHub_BLR-MandyaHub_MNY,12.9842798,77.8242648,12.5272724,76.8847654,MotherHub_BLR,MandyaHub_MNY,0,1851
Shipment,MotherHub_BLR-MangaloreHub_IXE,12.9842798,77.8242648,12.914142,74.855957,MotherHub_BLR,MangaloreHub_IXE,0,9533
Shipment,MotherHub_BLR-ManipalHub_MPL,12.9842798,77.8242648,13.3355918,74.7900721,MotherHub_BLR,ManipalHub_MPL,0,7716
Shipment,MotherHub_BLR-MysoreHub_MYS,12.9842798,77.8242648,12.2840665,76.6288059,MotherHub_BLR,MysoreHub_MYS,0,6358
Shipment,MotherHub_BLR-NagercoilHub_NGL,12.9842798,77.8242648,8.1734,77.4382,MotherHub_BLR,NagercoilHub_NGL,0,3128
Shipment,MotherHub_BLR-OotyHub_OTY,12.9842798,77.8242648,11.4064,76.6932,MotherHub_BLR,OotyHub_OTY,0,2254
Shipment,MotherHub_BLR-PalakkadHub_PKD,12.9842798,77.8242648,10.78673,76.654793,MotherHub_BLR,PalakkadHub_PKD,0,5727
Shipment,MotherHub_BLR-PallipalayamHub_ERD,12.9842798,77.8242648,11.375731,77.752714,MotherHub_BLR,PallipalayamHub_ERD,0,2590
Shipment,MotherHub_BLR-PudukottaiHub_PDK,12.9842798,77.8242648,10.385915,78.818468,MotherHub_BLR,PudukottaiHub_PDK,0,865
Shipment,MotherHub_BLR-RaichurHub_RCH,12.9842798,77.8242648,16.212003,77.343928,MotherHub_BLR,RaichurHub_RCH,0,2998
Shipment,MotherHub_BLR-SalemHub_SXV,12.9842798,77.8242648,11.669623,78.146018,MotherHub_BLR,SalemHub_SXV,0,8996
