Size,Mileage,Speed,KMperTyper,Costoftyre,Numberoftyres,Repaircharge,ContainerFactor,VehicleCost,Interest,loadperiod,AMC,Insurance,Capacity,factor
22,60,10,250000,20000,8,1,1,1500000,14,10,3,1,5000,18.58776
32,50,8,250000,20000,12,1,1,1700000,14,10,3,1,9000,22.22857
20,60,11,250000,20000,6,1,1,1400000,14,10,3,1,4000,18.35918
24,55,10,250000,20000,8,1,1,1600000,14,10,3,1,5500,19.88646
