Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load
Shipment,MOTHERHUB_BAM-JAMMUHUB_IXJ,28.545321,77.02914,32.667207,74.871671,MOTHERHUB_BAM,JAMMUHUB_IXJ,72000,746
Shipment,MOTHERHUB_BAM-JHANSIHUB_JHS,28.545321,77.02914,25.448426,78.568459,MOTHERHUB_BAM,JHANSIHUB_JHS,72000,640
Shipment,MOTHERHUB_KOL-ASANSOLHUB_ASN,22.708183,88.28565,23.700788,86.930265,MOTHERHUB_KOL,ASANSOLHUB_ASN,72000,1616
Shipment,MOTHERHUB_MED-BIWINAGARHUB_NLR,17.580519,78.469527,14.4103147,79.9638591,MOTHERHUB_MED,BIWINAGARHUB_NLR,72000,1416
Shipment,MOTHERHUB_MED-RAJAHMUNDRYHUB_RJY,17.580519,78.469527,17.006079,81.785695,MOTHERHUB_MED,RAJAHMUNDRYHUB_RJY,72000,1556
Shipment,MOTHERHUB_BAM-KAITHALHUB_KTL,28.545321,77.02914,29.978102,76.583754,MOTHERHUB_BAM,KAITHALHUB_KTL,72000,189
Shipment,MOTHERHUB_MED-TANUKUHUB_TKU,17.580519,78.469527,16.7571731,81.6799629,MOTHERHUB_MED,TANUKUHUB_TKU,72000,272
Shipment,MOTHERHUB_MED-MAHBUBNAGARHUB_MBN,17.580519,78.469527,16.737513,78.008122,MOTHERHUB_MED,MAHBUBNAGARHUB_MBN,72000,390
Shipment,MOTHERHUB_BAM-KARNALHUB_KAL,28.545321,77.02914,29.700299,76.997427,MOTHERHUB_BAM,KARNALHUB_KAL,72000,316
Shipment,MOTHERHUB_BAM-KURUKSHETRAHUB_KUR,28.545321,77.02914,29.978597,76.853358,MOTHERHUB_BAM,KURUKSHETRAHUB_KUR,72000,240
Shipment,MOTHERHUB_MED-KADAPAHUB_KDP,17.580519,78.469527,14.4674,78.8241,MOTHERHUB_MED,KADAPAHUB_KDP,72000,504
Shipment,MOTHERHUB_BAM-MATHURAHUB_MTH,28.545321,77.02914,27.495784,77.662381,MOTHERHUB_BAM,MATHURAHUB_MTH,72000,378
Shipment,MOTHERHUB_MED-VIJAYAWADAHUB_VJA,17.580519,78.469527,16.519591,80.698591,MOTHERHUB_MED,VIJAYAWADAHUB_VJA,72000,2924
Shipment,MOTHERHUB_MED-BHIMAVARAMHUB_BVM,17.580519,78.469527,16.544893,81.521241,MOTHERHUB_MED,BHIMAVARAMHUB_BVM,72000,702
