Type,key_leg3,src_lat,src_long,dest_lat,dest_long,src,dest,ready_time,Total
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-3-1,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,10800,1258
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-8.23305555555555,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,29639,44
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-8.50833333333334,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,30630,64
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-8.78305555555555,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,31619,54
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-8.84416666666667,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,31839,1802
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-9.02166666666666,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,32478,255
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-9.17805555555556,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,33041,532
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-9.28833333333333,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,33438,38
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-0.380277777777778,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,1369,750
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-11.8475,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,42651,416
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-12.1666666666667,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,43800,53
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-12.4361111111111,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,44770,14
