Size,Mileage,Speed,KMperTyper,Costoftyre,Numberoftyres,Repaircharge,ContainerFactor,VehicleCost,Interest,loadperiod,AMC,Insurance,Capacity
22,60,19,250000,20000,8,1,1,1500000,14,10,3,1,1408
28,50,17,250000,20000,10,1,1,1600000,14,10,3,1,1792
32,50,17,250000,20000,12,1,1,1700000,14,10,3,1,2048
17,60,19,250000,20000,6,1,1,1200000,14,10,3,1,1088
19,60,19,250000,20000,6,1,1,1300000,14,10,3,1,1216
20,60,19,250000,20000,6,1,1,1400000,14,10,3,1,1280
24,55,19,250000,20000,8,1,1,1600000,14,10,3,1,1536
14,60,19,250000,20000,4,1,1,1000000,14,10,3,1,896
