Type,key,src_lat,src_long,dest_lat,dest_long,src,dest,ready_time,Load,delivery_time
Shipment,MOTHERHUB_AMD-MOTHERHUB_BIL-0.751930555555195,22.8978044,72.5902141,19.2374987,73.0362352,MOTHERHUB_AMD,MOTHERHUB_BIL,2707,74,67421
Shipment,MOTHERHUB_AMD-MOTHERHUB_BIL-15.9781944444448,22.8978044,72.5902141,19.2374987,73.0362352,MOTHERHUB_AMD,MOTHERHUB_BIL,57522,84,122235
Shipment,MOTHERHUB_AMD-MOTHERHUB_BIL-2.95044444444388,22.8978044,72.5902141,19.2374987,73.0362352,MOTHERHUB_AMD,MOTHERHUB_BIL,10622,194,75335
Shipment,MOTHERHUB_AMD-MOTHERHUB_BIL-3.79823611111124,22.8978044,72.5902141,19.2374987,73.0362352,MOTHERHUB_AMD,MOTHERHUB_BIL,13674,190,78387
Shipment,MOTHERHUB_AMD-MOTHERHUB_BIL-4.56184722222245,22.8978044,72.5902141,19.2374987,73.0362352,MOTHERHUB_AMD,MOTHERHUB_BIL,16423,586,81136
Shipment,MOTHERHUB_AMD-MOTHERHUB_BLR-10.3956805555557,22.8978044,72.5902141,12.9842798,77.8242648,MOTHERHUB_AMD,MOTHERHUB_BLR,37424,25,224098
Shipment,MOTHERHUB_AMD-MOTHERHUB_BLR-11.1995416666662,22.8978044,72.5902141,12.9842798,77.8242648,MOTHERHUB_AMD,MOTHERHUB_BLR,40318,70,226992
Shipment,MOTHERHUB_AMD-MOTHERHUB_BLR-18.8850972222222,22.8978044,72.5902141,12.9842798,77.8242648,MOTHERHUB_AMD,MOTHERHUB_BLR,67986,406,254660
Shipment,MOTHERHUB_AMD-MOTHERHUB_BLR-5.34691666666746,22.8978044,72.5902141,12.9842798,77.8242648,MOTHERHUB_AMD,MOTHERHUB_BLR,19249,141,205922
Shipment,MOTHERHUB_AMD-MOTHERHUB_BLR-8.53401388888853,22.8978044,72.5902141,12.9842798,77.8242648,MOTHERHUB_AMD,MOTHERHUB_BLR,30722,517,217396
Shipment,MOTHERHUB_AMD-MOTHERHUB_CHN-21.9065555555552,22.8978044,72.5902141,13.04591,80.067723,MOTHERHUB_AMD,MOTHERHUB_CHN,78864,8,303796
Shipment,MOTHERHUB_AMD-MOTHERHUB_CHN-9.11363888888935,22.8978044,72.5902141,13.04591,80.067723,MOTHERHUB_AMD,MOTHERHUB_CHN,32809,191,257741
Shipment,MOTHERHUB_AMD-MOTHERHUB_JAI-7.70486111111135,22.8978044,72.5902141,26.948928,75.761927,MOTHERHUB_AMD,MOTHERHUB_JAI,27738,75,89131
Shipment,MOTHERHUB_AMD-MOTHERHUB_JAI-8.99676388888865,22.8978044,72.5902141,26.948928,75.761927,MOTHERHUB_AMD,MOTHERHUB_JAI,32388,67,93782
Shipment,MOTHERHUB_AMD-MOTHERHUB_KOL-1.31670833333356,22.8978044,72.5902141,22.708183,88.28565,MOTHERHUB_AMD,MOTHERHUB_KOL,4740,50,207655
Shipment,MOTHERHUB_AMD-MOTHERHUB_KOL-1.84838888888866,22.8978044,72.5902141,22.708183,88.28565,MOTHERHUB_AMD,MOTHERHUB_KOL,6654,74,209569
Shipment,MOTHERHUB_AMD-MOTHERHUB_KOL-13.3632638888889,22.8978044,72.5902141,22.708183,88.28565,MOTHERHUB_AMD,MOTHERHUB_KOL,48108,33,251022
Shipment,MOTHERHUB_AMD-MOTHERHUB_KOL-15.299,22.8978044,72.5902141,22.708183,88.28565,MOTHERHUB_AMD,MOTHERHUB_KOL,55076,279,257991
Shipment,MOTHERHUB_AMD-MOTHERHUB_KOL-19.3352499999999,22.8978044,72.5902141,22.708183,88.28565,MOTHERHUB_AMD,MOTHERHUB_KOL,69607,136,272522
Shipment,MOTHERHUB_AMD-MOTHERHUB_KOL-20.3452638888883,22.8978044,72.5902141,22.708183,88.28565,MOTHERHUB_AMD,MOTHERHUB_KOL,73243,15,276158
Shipment,MOTHERHUB_AMD-MOTHERHUB_KOL-20.988625,22.8978044,72.5902141,22.708183,88.28565,MOTHERHUB_AMD,MOTHERHUB_KOL,75559,25,278474
Shipment,MOTHERHUB_AMD-MOTHERHUB_KOL-22.8506249999999,22.8978044,72.5902141,22.708183,88.28565,MOTHERHUB_AMD,MOTHERHUB_KOL,82262,134,285177
Shipment,MOTHERHUB_AMD-MOTHERHUB_KOL-3.01354166666653,22.8978044,72.5902141,22.708183,88.28565,MOTHERHUB_AMD,MOTHERHUB_KOL,10849,53,213763
Shipment,MOTHERHUB_AMD-MOTHERHUB_KOL-3.41577777777786,22.8978044,72.5902141,22.708183,88.28565,MOTHERHUB_AMD,MOTHERHUB_KOL,12297,71,215211
Shipment,MOTHERHUB_AMD-MOTHERHUB_KOL-5.6832222222229,22.8978044,72.5902141,22.708183,88.28565,MOTHERHUB_AMD,MOTHERHUB_KOL,20460,39,223374
Shipment,MOTHERHUB_AMD-MOTHERHUB_KOL-6.22666666666586,22.8978044,72.5902141,22.708183,88.28565,MOTHERHUB_AMD,MOTHERHUB_KOL,22416,63,225331
Shipment,MOTHERHUB_AMD-MOTHERHUB_MED-4.02090277777765,22.8978044,72.5902141,17.580519,78.469527,MOTHERHUB_AMD,MOTHERHUB_MED,14475,183,166519
Shipment,MOTHERHUB_AMD-MOTHERHUB_MED-5.2123472222228,22.8978044,72.5902141,17.580519,78.469527,MOTHERHUB_AMD,MOTHERHUB_MED,18764,205,170809
