Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load,pickup_add_time,finalready_time
Shipment,MOTHERHUB_BIL-PANCHAVATIHUB_NSK-p,19.2374987,73.0362352,20,73.8,MOTHERHUB_BIL,PANCHAVATIHUB_NSK,72000,149,0,72000
Shipment,MOTHERHUB_BIL-PANVELHUB_PNV-c,19.2374987,73.0362352,19.026009,73.089823,MOTHERHUB_BIL,PANVELHUB_PNV,72000,181,14400,86400
Shipment,MOTHERHUB_BIL-PANVELHUB_PNV-p,19.2374987,73.0362352,19.026009,73.089823,MOTHERHUB_BIL,PANVELHUB_PNV,72000,461,0,72000
Shipment,MOTHERHUB_BIL-THANEHUB_MUM-c,19.2374987,73.0362352,19.186752,72.954549,MOTHERHUB_BIL,THANEHUB_MUM,72000,178,14400,86400
Shipment,MOTHERHUB_BIL-THANEHUB_MUM-p,19.2374987,73.0362352,19.186752,72.954549,MOTHERHUB_BIL,THANEHUB_MUM,72000,718,0,72000
Shipment,MOTHERHUB_BIL-THANEMPHUB_MUM-c,19.2374987,73.0362352,19.186752,72.954549,MOTHERHUB_BIL,THANEMPHUB_MUM,72000,24,14400,86400
Shipment,MOTHERHUB_BIL-THANEMPHUB_MUM-p,19.2374987,73.0362352,19.186752,72.954549,MOTHERHUB_BIL,THANEMPHUB_MUM,72000,1,0,72000
Shipment,MOTHERHUB_BIL-ULHASNAGARHUB_MUM-c,19.2374987,73.0362352,19.2,73.2,MOTHERHUB_BIL,ULHASNAGARHUB_MUM,72000,154,14400,86400
Shipment,MOTHERHUB_BIL-ULHASNAGARHUB_MUM-p,19.2374987,73.0362352,19.2,73.2,MOTHERHUB_BIL,ULHASNAGARHUB_MUM,72000,120,0,72000
Shipment,MOTHERHUB_BIL-VALSADHUB_AMD-c,19.2374987,73.0362352,20.594504,72.934177,MOTHERHUB_BIL,VALSADHUB_AMD,72000,144,14400,86400
Shipment,MOTHERHUB_BIL-VALSADHUB_AMD-p,19.2374987,73.0362352,20.594504,72.934177,MOTHERHUB_BIL,VALSADHUB_AMD,72000,184,0,72000
Shipment,MOTHERHUB_BIL-VAPIHUB_AMD-c,19.2374987,73.0362352,20.366241,72.922447,MOTHERHUB_BIL,VAPIHUB_AMD,72000,251,14400,86400
Shipment,MOTHERHUB_BIL-VAPIHUB_AMD-p,19.2374987,73.0362352,20.366241,72.922447,MOTHERHUB_BIL,VAPIHUB_AMD,72000,529,0,72000
Shipment,MOTHERHUB_BIL-VASAIHUB_MUM-c,19.2374987,73.0362352,19.4057556,72.8523072,MOTHERHUB_BIL,VASAIHUB_MUM,72000,126,14400,86400
Shipment,MOTHERHUB_BIL-VASAIHUB_MUM-p,19.2374987,73.0362352,19.4057556,72.8523072,MOTHERHUB_BIL,VASAIHUB_MUM,72000,470,0,72000
Shipment,MOTHERHUB_BIL-VASAIMPHUB_MUM-c,19.2374987,73.0362352,19.4057556,72.8523072,MOTHERHUB_BIL,VASAIMPHUB_MUM,72000,62,14400,86400
Shipment,MOTHERHUB_BIL-VASAIMPHUB_MUM-p,19.2374987,73.0362352,19.4057556,72.8523072,MOTHERHUB_BIL,VASAIMPHUB_MUM,72000,4,0,72000
Shipment,MOTHERHUB_BIL-VASHIHUB_NBM-c,19.2374987,73.0362352,19.060814,73.002852,MOTHERHUB_BIL,VASHIHUB_NBM,72000,204,14400,86400
Shipment,MOTHERHUB_BIL-VASHIHUB_NBM-p,19.2374987,73.0362352,19.060814,73.002852,MOTHERHUB_BIL,VASHIHUB_NBM,72000,153,0,72000
Shipment,MOTHERHUB_BIL-VASHIMPHUB_MUM-c,19.2374987,73.0362352,19.060814,73.002852,MOTHERHUB_BIL,VASHIMPHUB_MUM,72000,82,14400,86400
Shipment,MOTHERHUB_BIL-VASHIMPHUB_MUM-p,19.2374987,73.0362352,19.060814,73.002852,MOTHERHUB_BIL,VASHIMPHUB_MUM,72000,5,0,72000
Shipment,MOTHERHUB_BIL-VIRARHUB_MUM-c,19.2374987,73.0362352,19.466742,72.810639,MOTHERHUB_BIL,VIRARHUB_MUM,72000,210,14400,86400
Shipment,MOTHERHUB_BIL-VIRARHUB_MUM-p,19.2374987,73.0362352,19.466742,72.810639,MOTHERHUB_BIL,VIRARHUB_MUM,72000,204,0,72000
