Type,Key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,Ready_time,load,Resort_time_at_dest
Shipment,MOTHERHUB_BLR-BAGALKOTHUB_BGK-17.59166667-0,12.9842798,77.8242648,16.164628,75.668542,MOTHERHUB_BLR,BAGALKOTHUB_BGK,63330,203,0
Shipment,MOTHERHUB_BLR-BAGALKOTHUB_BGK-2.67-14400,12.9842798,77.8242648,16.164628,75.668542,MOTHERHUB_BLR,BAGALKOTHUB_BGK,9612,1,14400
Shipment,MOTHERHUB_BLR-BAGALKOTHUB_BGK-18.14777778-14400,12.9842798,77.8242648,16.164628,75.668542,MOTHERHUB_BLR,BAGALKOTHUB_BGK,65332,19,14400
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-17.61166667-14400,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,63402,9,14400
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-18.75472222-14400,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,67517,4,14400
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-22.22166667-0,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,79998,79,0
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-3-0,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,10800,128,0
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-3-14400,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,10800,2,14400
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-10.26444444-14400,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,36952,44,14400
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-22.7475-14400,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,81891,21,14400
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-2.82777778-14400,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,10180,3,14400
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-2.51138889-14400,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,9041,2,14400
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-3.22777778-14400,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,11620,7,14400
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-16.43055556-14400,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,59150,55,14400
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-2.97888889-14400,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,10724,3,14400
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-17.59166667-0,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,63330,238,0
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-2.67-14400,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,9612,1,14400
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-18.14777778-14400,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,65332,23,14400
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-17.61166667-14400,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,63402,13,14400
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-18.75472222-14400,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,67517,5,14400
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-22.22166667-0,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,79998,62,0
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-3-0,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,10800,243,0
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-3-14400,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,10800,4,14400
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-10.26444444-14400,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,36952,56,14400
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-22.7475-14400,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,81891,36,14400
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-2.82777778-14400,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,10180,3,14400
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-2.51138889-14400,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,9041,2,14400
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-3.22777778-14400,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,11620,15,14400
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-16.43055556-0,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,59150,104,0
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-2.97888889-14400,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,10724,3,14400
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-17.59166667-0,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,63330,346,0
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-2.67-14400,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,9612,2,14400
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-18.14777778-14400,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,65332,40,14400
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-17.61166667-14400,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,63402,3,14400
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-18.75472222-14400,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,67517,2,14400
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-22.22166667-14400,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,79998,15,14400
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-3-0,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,10800,59,0
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-3-14400,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,10800,2,14400
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-10.26444444-14400,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,36952,11,14400
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-22.7475-14400,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,81891,7,14400
