 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           ,,,
3, 2-MOTHERHUB_KOL-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_BIL-2 ,191947,191947,56320536,,,
3, 2-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_BLR ,191947,191947,56320536,,,
3, 2-MOTHERHUB_KOL-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_AMD ,191947,191947,56320536,,,
3, 2-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_STV ,252885,252885,74200805,,,
3, 2-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_MED ,252885,252885,74200805,,,
3, 2-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_AMD ,324024,324024,95074188,,,
3, 2-MOTHERHUB_KOL-32   , deliverShipment       , MotherHub_BLR-MOTHERHUB_BIL-2 ,324024,324024,95074188,,,
3, 2-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_BIL ,324024,324024,95074188,,,
3, 2-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_STV ,324024,324024,95074188,,,
3, 2-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_CHN-MOTHERHUB_STV ,348416,348416,102231084,,,
3, 2-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_STV ,348416,348416,102231084,,,
3, 2-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_AMD ,348416,348416,102231084,,,
3, 2-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_STV ,348416,348416,102231084,,,
3, 2-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_STV ,348416,348416,102231084,,,
3, 2-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_AMD ,372470,372470,109289165,,,
3, 2-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_AMD ,372470,372470,109289165,,,
3, 2-MOTHERHUB_KOL-32   , deliverShipment       , MotherHub_BLR-MOTHERHUB_AMD ,372470,372470,109289165,,,
3, 2-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_AMD ,372470,372470,109289165,103.4638888889,4.3109953704,109289.165
3, 2-MOTHERHUB_KOL-32   , end                   , -               ,372470, undef           ,109289165,,,
