Type,key,src_lat,src_long,dest_lat,dest_long,src_mh,dest_mh,Ready_time,Load,
Shipment,MOTHERHUB_BLR-MOTHERHUB_AMD-3,12.9842798,77.8242648,22.8978044,72.5902141,MOTHERHUB_BLR,MOTHERHUB_AMD,10800,1183,
Shipment,MOTHERHUB_BLR-MOTHERHUB_BIL-14.5588888888889,12.9842798,77.8242648,19.2374987,73.0362352,MOTHERHUB_BLR,MOTHERHUB_BIL,52412,121,
Shipment,MOTHERHUB_BLR-MOTHERHUB_BIL-15.1805555555556,12.9842798,77.8242648,19.2374987,73.0362352,MOTHERHUB_BLR,MOTHERHUB_BIL,54650,297,
Shipment,MOTHERHUB_BLR-MOTHERHUB_BIL-3,12.9842798,77.8242648,19.2374987,73.0362352,MOTHERHUB_BLR,MOTHERHUB_BIL,10800,6066,
Shipment,MOTHERHUB_BLR-MOTHERHUB_CHN-14.5588888888889,12.9842798,77.8242648,13.04591,80.067723,MOTHERHUB_BLR,MOTHERHUB_CHN,52412,52,
Shipment,MOTHERHUB_BLR-MOTHERHUB_CHN-15.1805555555556,12.9842798,77.8242648,13.04591,80.067723,MOTHERHUB_BLR,MOTHERHUB_CHN,54650,124,
Shipment,MOTHERHUB_BLR-MOTHERHUB_CHN-3,12.9842798,77.8242648,13.04591,80.067723,MOTHERHUB_BLR,MOTHERHUB_CHN,10800,3313,
Shipment,MOTHERHUB_BLR-MOTHERHUB_JAI-14.5588888888889,12.9842798,77.8242648,26.948928,75.761927,MOTHERHUB_BLR,MOTHERHUB_JAI,52412,36,
Shipment,MOTHERHUB_BLR-MOTHERHUB_JAI-15.1805555555556,12.9842798,77.8242648,26.948928,75.761927,MOTHERHUB_BLR,MOTHERHUB_JAI,54650,145,
Shipment,MOTHERHUB_BLR-MOTHERHUB_JAI-3,12.9842798,77.8242648,26.948928,75.761927,MOTHERHUB_BLR,MOTHERHUB_JAI,10800,1445,
Shipment,MOTHERHUB_BLR-MOTHERHUB_KOL-14.5588888888889,12.9842798,77.8242648,22.708183,88.28565,MOTHERHUB_BLR,MOTHERHUB_KOL,52412,114,
Shipment,MOTHERHUB_BLR-MOTHERHUB_KOL-15.1805555555556,12.9842798,77.8242648,22.708183,88.28565,MOTHERHUB_BLR,MOTHERHUB_KOL,54650,120,
Shipment,MOTHERHUB_BLR-MOTHERHUB_KOL-3,12.9842798,77.8242648,22.708183,88.28565,MOTHERHUB_BLR,MOTHERHUB_KOL,10800,7014,
Shipment,MOTHERHUB_BLR-MOTHERHUB_MED-14.5588888888889,12.9842798,77.8242648,17.580519,78.469527,MOTHERHUB_BLR,MOTHERHUB_MED,52412,101,
Shipment,MOTHERHUB_BLR-MOTHERHUB_MED-15.1805555555556,12.9842798,77.8242648,17.580519,78.469527,MOTHERHUB_BLR,MOTHERHUB_MED,54650,354,
