Type,key,src_zonal_pickup_lat,src_zonal_pickup_long,dest_zonal_pickup_lat,dest_zonal_pickup_long,src_zonal_pickup,dest_zonal_pickup,Ready_time,Load
Shipment,COCHINTCHUB_KAM-MOTHERHUB_BLR,10.0435449,76.3367287,12.9842798,77.8242648,COCHINTCHUB_KAM,MOTHERHUB_BLR,10800,3568
Shipment,MOTHERHUB_ABL-MOTHERHUB_PTI,30.396612,76.8116,28.294166,76.855804,MOTHERHUB_ABL,MOTHERHUB_PTI,10800,2005
Shipment,MOTHERHUB_BBI-MOTHERHUB_KOL,20.295471,85.84707,22.708183,88.28565,MOTHERHUB_BBI,MOTHERHUB_KOL,10800,1241
Shipment,MOTHERHUB_CJB-MOTHERHUB_BLR,11.0633423,77.0910944,12.9842798,77.8242648,MOTHERHUB_CJB,MOTHERHUB_BLR,10800,1016
Shipment,MOTHERHUB_GAU-MOTHERHUB_KOL,26.043197,91.705232,22.708183,88.28565,MOTHERHUB_GAU,MOTHERHUB_KOL,10800,1648
Shipment,MOTHERHUB_GOA-MOTHERHUB_BIL,15.3682554,73.946764,19.2374987,73.0362352,MOTHERHUB_GOA,MOTHERHUB_BIL,10800,953
Shipment,MOTHERHUB_IDR-MOTHERHUB_PTI,22.777113,75.9021171,28.294166,76.855804,MOTHERHUB_IDR,MOTHERHUB_PTI,10800,1360
Shipment,MOTHERHUB_IXR-MOTHERHUB_KOL,23.352715,85.343538,22.708183,88.28565,MOTHERHUB_IXR,MOTHERHUB_KOL,10800,1075
Shipment,MOTHERHUB_LKO-MOTHERHUB_PTI,26.755912,80.910939,28.294166,76.855804,MOTHERHUB_LKO,MOTHERHUB_PTI,10800,3393
Shipment,MOTHERHUB_PAT-MOTHERHUB_KOL,25.587197,85.185842,22.708183,88.28565,MOTHERHUB_PAT,MOTHERHUB_KOL,10800,1418
Shipment,MOTHERHUB_PUNE-MOTHERHUB_BIL,18.6087917,73.7268817,19.2374987,73.0362352,MOTHERHUB_PUNE,MOTHERHUB_BIL,10800,3450
Shipment,MOTHERHUB_RAI-MOTHERHUB_KOL,22.056106,82.171855,22.708183,88.28565,MOTHERHUB_RAI,MOTHERHUB_KOL,10800,884
