Type,Key,src_lat,src_long,dest_lat,dest_long,Source,DH,Ready_time,Load,Del_time,flag,Ready_time_10,del_time,Ready_time_11,dist,time,Ready_time_10,del_time_10,Ready_time_11,del_time_11,Ready_time_12,del_time_12,Ready_time_1,del_time_1,Ready_time_2,del_time_2,Ready_time_3,del_time_3
Shipment,MotherHub_BAM-JhansiHub_JHS,28.545321,77.02914,25.44843,78.56846,MotherHub_BAM,JhansiHub_JHS,79200,367,118800,1,79200,126000,82800,489.5888249704,16.319627499,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-JindHub_JND,28.545321,77.02914,28.87825,76.5872,MotherHub_BAM,JindHub_JND,79200,291,118800,1,79200,126000,82800,73.8604665818,2.4620155527,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BAM-KaithalHub_KTL,28.545321,77.02914,29.9781,76.58375,MotherHub_BAM,KaithalHub_KTL,79200,238,118800,1,79200,126000,82800,214.5932349464,7.1531078315,79200,118800,82800,118800,86400,118800,90000,118800,104400,205200,104400,205200
Shipment,MotherHub_BAM-KarnalHub_KAL,28.545321,77.02914,29.7003,76.99743,MotherHub_BAM,KarnalHub_KAL,79200,352,118800,1,79200,126000,82800,167.0041565237,5.5668052175,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BAM-KotkapuraHub_KKP,28.545321,77.02914,30.58372,74.82598,MotherHub_BAM,KotkapuraHub_KKP,79200,169,118800,1,79200,126000,82800,404.3994291645,13.4799809722,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-KurukshetraHub_KUR,28.545321,77.02914,29.9786,76.85336,MotherHub_BAM,KurukshetraHub_KUR,79200,274,118800,1,79200,126000,82800,208.367720885,6.9455906962,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,104400,205200
Shipment,MotherHub_BAM-LudhianaHub_LUH,28.545321,77.02914,30.88109,75.86274,MotherHub_BAM,LudhianaHub_LUH,79200,1680,118800,1,79200,126000,82800,368.0232662136,12.2674422071,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-MathuraHub_MTH,28.545321,77.02914,27.49578,77.66238,MotherHub_BAM,MathuraHub_MTH,79200,378,118800,1,79200,126000,82800,171.8917363456,5.7297245449,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BAM-MeerutHub_MEE,28.545321,77.02914,28.53423,77.27465,MotherHub_BAM,MeerutHub_MEE,79200,1060,118800,1,79200,126000,82800,31.2180363105,1.0406012104,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BAM-MohaliHub_IXC,28.545321,77.02914,30.71138,76.69249,MotherHub_BAM,MohaliHub_IXC,79200,973,118800,1,79200,126000,82800,315.9550425668,10.5318347522,79200,118800,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-MoradabadHub_MRD,28.545321,77.02914,28.8302,78.73854,MotherHub_BAM,MoradabadHub_MRD,79200,771,118800,1,79200,126000,82800,220.6424798833,7.3547493294,79200,118800,82800,118800,86400,118800,90000,118800,104400,205200,104400,205200
Shipment,MotherHub_BAM-MuktsarHub_MKT,28.545321,77.02914,30.46429,74.51236,MotherHub_BAM,MuktsarHub_MKT,79200,154,118800,1,79200,126000,82800,420.9255945222,14.0308531507,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-MuzaffarnagarHub_MFN,28.545321,77.02914,29.47268,77.70851,MotherHub_BAM,MuzaffarnagarHub_MFN,79200,286,118800,1,79200,126000,82800,159.204406204,5.3068135401,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BAM-NarnaulHub_NNL,28.545321,77.02914,28.06932,76.10676,MotherHub_BAM,NarnaulHub_NNL,79200,419,118800,1,79200,126000,82800,136.0675808281,4.5355860276,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BAM-PalwalHub_PLW,28.545321,77.02914,28.15135,77.33418,MotherHub_BAM,PalwalHub_PLW,79200,251,118800,1,79200,126000,82800,68.914637753,2.2971545918,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
