Type,Key,src_lat,src_long,dest_lat,dest_long,src_final,dest_hub,Ready_time,Load,del_time
Shipment,MarketPlaceHub_HSS-MotherHub_BNL,29.1492,75.7217,28.307599,76.882718,MarketPlaceHub_HSS,MotherHub_BNL,79200,1033,108000
Shipment,MarketPlaceHub_MRD-MotherHub_BNL,28.8386,78.7733,28.307599,76.882718,MarketPlaceHub_MRD,MotherHub_BNL,79200,205,108000
Shipment,MarketPlaceHub_MTH-MotherHub_BNL,27.4924,77.6737,28.307599,76.882718,MarketPlaceHub_MTH,MotherHub_BNL,79200,120,108000
Shipment,MarketPlaceHub_ROH-MotherHub_BNL,28.8955,76.6066,28.307599,76.882718,MarketPlaceHub_ROH,MotherHub_BNL,79200,96,108000
Shipment,MarketPlaceHub_SHP-MotherHub_BNL,29.9671,77.551,28.307599,76.882718,MarketPlaceHub_SHP,MotherHub_BNL,79200,260,108000
Shipment,MarketPlaceHub_SNP-MotherHub_BNL,28.9931,77.0151,28.307599,76.882718,MarketPlaceHub_SNP,MotherHub_BNL,79200,124,108000
Shipment,MathuraHub_MTH-MotherHub_BNL,27.495784,77.662381,28.307599,76.882718,MathuraHub_MTH,MotherHub_BNL,90000,136,151200
Shipment,MeerutHub_MEE-MotherHub_BNL,28.5342317,77.2746536,28.307599,76.882718,MeerutHub_MEE,MotherHub_BNL,90000,335,151200
Shipment,MohaliHub_IXC-MotherHub_BNL,30.711382,76.692488,28.307599,76.882718,MohaliHub_IXC,MotherHub_BNL,90000,210,151200
Shipment,MoradabadHub_MRD-MotherHub_BNL,28.830203,78.738543,28.307599,76.882718,MoradabadHub_MRD,MotherHub_BNL,90000,230,151200
Shipment,MotherHub_LKO-MotherHub_BNL,26.755912,80.910939,28.307599,76.882718,MotherHub_LKO,MotherHub_BNL,90000,0,151200
Shipment,MuktsarHub_MKT-MotherHub_BNL,30.464286,74.512357,28.307599,76.882718,MuktsarHub_MKT,MotherHub_BNL,90000,50,151200
Shipment,MuzaffarnagarHub_MFN-MotherHub_BNL,29.4726817,77.7085091,28.307599,76.882718,MuzaffarnagarHub_MFN,MotherHub_BNL,90000,86,151200
Shipment,NarnaulHub_NNL-MotherHub_BNL,28.069324,76.106757,28.307599,76.882718,NarnaulHub_NNL,MotherHub_BNL,90000,162,151200
Shipment,PalwalHub_PLW-MotherHub_BNL,28.151348,77.334179,28.307599,76.882718,PalwalHub_PLW,MotherHub_BNL,90000,101,151200
Shipment,PanchkulaHub_PKL-MotherHub_BNL,30.683538,76.830649,28.307599,76.882718,PanchkulaHub_PKL,MotherHub_BNL,90000,207,151200
Shipment,PanipatHub_PPT-MotherHub_BNL,29.411689,76.971994,28.307599,76.882718,PanipatHub_PPT,MotherHub_BNL,90000,142,151200
Shipment,PathankotHub_PHT-MotherHub_BNL,32.260812,75.629247,28.307599,76.882718,PathankotHub_PHT,MotherHub_BNL,90000,75,151200
Shipment,PatialaHub_PTA-MotherHub_BNL,30.335038,76.4062069,28.307599,76.882718,PatialaHub_PTA,MotherHub_BNL,90000,217,151200
Shipment,PhagwaraHub_PGR-MotherHub_BNL,31.200919,75.776276,28.307599,76.882718,PhagwaraHub_PGR,MotherHub_BNL,90000,74,151200
Shipment,PrahladpurMPHub_DEL-MotherHub_BNL,28.501376,77.282889,28.307599,76.882718,PrahladpurMPHub_DEL,MotherHub_BNL,90000,0,151200
Shipment,RewariHub_RWR-MotherHub_BNL,28.197577,76.6242022,28.307599,76.882718,RewariHub_RWR,MotherHub_BNL,90000,149,151200
Shipment,RohtakHub_ROH-MotherHub_BNL,28.882957,76.619906,28.307599,76.882718,RohtakHub_ROH,MotherHub_BNL,90000,291,151200
Shipment,RoorkeeHub_HRD-MotherHub_BNL,29.8543,77.888,28.307599,76.882718,RoorkeeHub_HRD,MotherHub_BNL,90000,79,151200
Shipment,RudrapurHub_RDP-MotherHub_BNL,28.987508,79.414121,28.307599,76.882718,RudrapurHub_RDP,MotherHub_BNL,90000,126,151200
Shipment,RupnagarHub_RUP-MotherHub_BNL,30.952567,76.506966,28.307599,76.882718,RupnagarHub_RUP,MotherHub_BNL,90000,100,151200
Shipment,SaharanpurHub_SHP-MotherHub_BNL,29.956038,77.545236,28.307599,76.882718,SaharanpurHub_SHP,MotherHub_BNL,90000,95,151200
Shipment,SangrurHub_SNR-MotherHub_BNL,30.248138,75.834182,28.307599,76.882718,SangrurHub_SNR,MotherHub_BNL,90000,59,151200
Shipment,ShimlaHub_SHM-MotherHub_BNL,31.074597,77.182889,28.307599,76.882718,ShimlaHub_SHM,MotherHub_BNL,90000,156,151200
Shipment,SirsaHub_SRS-MotherHub_BNL,29.536369,75.015843,28.307599,76.882718,SirsaHub_SRS,MotherHub_BNL,90000,89,151200
Shipment,SonepatHub_SOP-MotherHub_BNL,28.999545,77.032738,28.307599,76.882718,SonepatHub_SOP,MotherHub_BNL,90000,168,151200
Shipment,SrinagarHub_SRG-MotherHub_BNL,34.057386,74.824942,28.307599,76.882718,SrinagarHub_SRG,MotherHub_BNL,90000,93,259200
Shipment,YamunaNagarHub_YNR-MotherHub_BNL,30.126579,77.294879,28.307599,76.882718,YamunaNagarHub_YNR,MotherHub_BNL,90000,99,151200
Shipment,MotherHub_BNL-AboharHub_ABH,28.307599,76.882718,30.149263,74.194927,MotherHub_BNL,AboharHub_ABH,79200,149,118800
Shipment,MotherHub_BNL-AgraHub_AGR,28.307599,76.882718,27.205372,77.970991,MotherHub_BNL,AgraHub_AGR,79200,883,118800
Shipment,MotherHub_BNL-AligarhHub_ALG,28.307599,76.882718,27.89074,78.03265,MotherHub_BNL,AligarhHub_ALG,79200,733,118800
Shipment,MotherHub_BNL-AmritsarHub_ATQ,28.307599,76.882718,31.651302,74.864281,MotherHub_BNL,AmritsarHub_ATQ,79200,1021,118800
Shipment,MotherHub_BNL-BaddiHub_BDI,28.307599,76.882718,30.9578,76.7914,MotherHub_BNL,BaddiHub_BDI,79200,33,118800
Shipment,MotherHub_BNL-BahadurgarhHub_BHD,28.307599,76.882718,28.70882,76.886508,MotherHub_BNL,BahadurgarhHub_BHD,79200,181,118800
Shipment,MotherHub_BNL-BarabankiHub_BBK,28.307599,76.882718,30.248138,75.834182,MotherHub_BNL,BarabankiHub_BBK,79200,175,118800
Shipment,MotherHub_BNL-BareillyHub_BRY,28.307599,76.882718,28.381579,79.435057,MotherHub_BNL,BareillyHub_BRY,79200,658,118800
Shipment,MotherHub_BNL-BarnalaHub_BRN,28.307599,76.882718,30.378391,75.540759,MotherHub_BNL,BarnalaHub_BRN,79200,114,118800
Shipment,MotherHub_BNL-BhatindaHub_BUP,28.307599,76.882718,30.194219,74.9632534,MotherHub_BNL,BhatindaHub_BUP,79200,493,118800
Shipment,MotherHub_BNL-BhiwaniHub_DEL,28.307599,76.882718,28.791677,76.157361,MotherHub_BNL,BhiwaniHub_DEL,79200,426,118800
Shipment,MotherHub_BNL-ChandigarhHub_DEL,28.307599,76.882718,30.7089676,76.8031809,MotherHub_BNL,ChandigarhHub_DEL,79200,1216,118800
Shipment,MotherHub_BNL-ChhatarpurMPHub_DEL,28.307599,76.882718,24.9,79.6,MotherHub_BNL,ChhatarpurMPHub_DEL,79200,0,183600
Shipment,MotherHub_BNL-CityCenterHub_GWL,28.307599,76.882718,21.1373484,80.2469986,MotherHub_BNL,CityCenterHub_GWL,79200,1120,183600
Shipment,MotherHub_BNL-DasuaHub_DSU,28.307599,76.882718,31.813325,75.668273,MotherHub_BNL,DasuaHub_DSU,79200,188,118800
Shipment,MotherHub_BNL-DehradunHub_DED,28.307599,76.882718,30.306571,78.005725,MotherHub_BNL,DehradunHub_DED,79200,1746,118800
Shipment,MotherHub_BNL-DharuheraHub_DRH,28.307599,76.882718,28.209118,76.77549,MotherHub_BNL,DharuheraHub_DRH,79200,932,118800
Shipment,MotherHub_BNL-DwarakaMPHub_DEL,28.307599,76.882718,28.584976,77.00962,MotherHub_BNL,DwarakaMPHub_DEL,79200,0,118800
Shipment,MotherHub_BNL-FatehabadHub_FHB,28.307599,76.882718,29.5148,75.4407,MotherHub_BNL,FatehabadHub_FHB,79200,139,118800
Shipment,MotherHub_BNL-FirozabadHub_FIR,28.307599,76.882718,27.160296,78.39434,MotherHub_BNL,FirozabadHub_FIR,79200,267,118800
Shipment,MotherHub_BNL-GobindgarhHub_LUH,28.307599,76.882718,30.659566,76.300198,MotherHub_BNL,GobindgarhHub_LUH,79200,383,118800
Shipment,MotherHub_BNL-GurdaspurHub_GDS,28.307599,76.882718,32.03059,75.392885,MotherHub_BNL,GurdaspurHub_GDS,79200,440,118800
Shipment,MotherHub_BNL-HaridwarHub_HRD,28.307599,76.882718,29.945691,78.164248,MotherHub_BNL,HaridwarHub_HRD,79200,806,118800
Shipment,MotherHub_BNL-HissarHub_HSS,28.307599,76.882718,29.134289,75.748214,MotherHub_BNL,HissarHub_HSS,79200,778,118800
Shipment,MotherHub_BNL-HoshiarpurHub_HAP,28.307599,76.882718,31.5199815,75.9261826,MotherHub_BNL,HoshiarpurHub_HAP,79200,267,118800
Shipment,MotherHub_BNL-JalandharHub_JLR,28.307599,76.882718,31.316522,75.6339017,MotherHub_BNL,JalandharHub_JLR,79200,930,118800
Shipment,MotherHub_BNL-JalandharMPHub_JLR,28.307599,76.882718,31.316522,75.6339017,MotherHub_BNL,JalandharMPHub_JLR,79200,0,118800
Shipment,MotherHub_BNL-JammuHub_IXJ,28.307599,76.882718,32.667207,74.871671,MotherHub_BNL,JammuHub_IXJ,79200,1348,183600
Shipment,MotherHub_BNL-JaunpurHub_JNP,28.307599,76.882718,30.149263,74.194927,MotherHub_BNL,JaunpurHub_JNP,79200,155,118800
Shipment,MotherHub_BNL-JhansiHub_JHS,28.307599,76.882718,25.448426,78.568459,MotherHub_BNL,JhansiHub_JHS,79200,367,118800
Shipment,MotherHub_BNL-JindHub_JND,28.307599,76.882718,28.878246,76.587201,MotherHub_BNL,JindHub_JND,79200,290,118800
Shipment,MotherHub_BNL-KaithalHub_KTL,28.307599,76.882718,29.978102,76.583754,MotherHub_BNL,KaithalHub_KTL,79200,237,118800
Shipment,MotherHub_BNL-KarnalHub_KAL,28.307599,76.882718,29.700299,76.997427,MotherHub_BNL,KarnalHub_KAL,79200,337,118800
Shipment,MotherHub_BNL-KotkapuraHub_KKP,28.307599,76.882718,30.58372,74.825976,MotherHub_BNL,KotkapuraHub_KKP,79200,168,118800
Shipment,MotherHub_BNL-KurukshetraHub_KUR,28.307599,76.882718,29.978597,76.853358,MotherHub_BNL,KurukshetraHub_KUR,79200,274,118800
Shipment,MotherHub_BNL-LudhianaHub_LUH,28.307599,76.882718,30.881086,75.862738,MotherHub_BNL,LudhianaHub_LUH,79200,1508,118800
Shipment,MotherHub_BNL-MathuraHub_MTH,28.307599,76.882718,27.495784,77.662381,MotherHub_BNL,MathuraHub_MTH,79200,369,118800
Shipment,MotherHub_BNL-MeerutHub_MEE,28.307599,76.882718,28.5342317,77.2746536,MotherHub_BNL,MeerutHub_MEE,79200,976,118800
Shipment,MotherHub_BNL-MohaliHub_IXC,28.307599,76.882718,30.711382,76.692488,MotherHub_BNL,MohaliHub_IXC,79200,844,118800
Shipment,MotherHub_BNL-MoradabadHub_MRD,28.307599,76.882718,28.830203,78.738543,MotherHub_BNL,MoradabadHub_MRD,79200,756,118800
Shipment,MotherHub_BNL-MotherHub_LKO,28.307599,76.882718,26.755912,80.910939,MotherHub_BNL,MotherHub_LKO,79200,0,118800
Shipment,MotherHub_BNL-MuktsarHub_MKT,28.307599,76.882718,30.464286,74.512357,MotherHub_BNL,MuktsarHub_MKT,79200,154,118800
Shipment,MotherHub_BNL-MuzaffarnagarHub_MFN,28.307599,76.882718,29.4726817,77.7085091,MotherHub_BNL,MuzaffarnagarHub_MFN,79200,286,118800
Shipment,MotherHub_BNL-NarainaMPHub_DEL,28.307599,76.882718,28.644308,77.146477,MotherHub_BNL,NarainaMPHub_DEL,79200,0,118800
Shipment,MotherHub_BNL-NarnaulHub_NNL,28.307599,76.882718,28.069324,76.106757,MotherHub_BNL,NarnaulHub_NNL,79200,418,118800
Shipment,MotherHub_BNL-PalwalHub_PLW,28.307599,76.882718,28.151348,77.334179,MotherHub_BNL,PalwalHub_PLW,79200,251,118800
Shipment,MotherHub_BNL-PanchkulaHub_PKL,28.307599,76.882718,30.683538,76.830649,MotherHub_BNL,PanchkulaHub_PKL,79200,914,118800
Shipment,MotherHub_BNL-PanipatHub_PPT,28.307599,76.882718,29.411689,76.971994,MotherHub_BNL,PanipatHub_PPT,79200,499,118800
Shipment,MotherHub_BNL-PathankotHub_PHT,28.307599,76.882718,32.260812,75.629247,MotherHub_BNL,PathankotHub_PHT,79200,249,118800
Shipment,MotherHub_BNL-PatialaHub_PTA,28.307599,76.882718,30.335038,76.4062069,MotherHub_BNL,PatialaHub_PTA,79200,777,118800
Shipment,MotherHub_BNL-PhagwaraHub_PGR,28.307599,76.882718,31.200919,75.776276,MotherHub_BNL,PhagwaraHub_PGR,79200,245,118800
Shipment,MotherHub_BNL-PrahladpurMPHub_DEL,28.307599,76.882718,28.501376,77.282889,MotherHub_BNL,PrahladpurMPHub_DEL,79200,0,118800
Shipment,MotherHub_BNL-RewariHub_RWR,28.307599,76.882718,28.197577,76.6242022,MotherHub_BNL,RewariHub_RWR,79200,457,118800
Shipment,MotherHub_BNL-RohtakHub_ROH,28.307599,76.882718,28.882957,76.619906,MotherHub_BNL,RohtakHub_ROH,79200,783,118800
Shipment,MotherHub_BNL-RoorkeeHub_HRD,28.307599,76.882718,29.8543,77.888,MotherHub_BNL,RoorkeeHub_HRD,79200,220,118800
Shipment,MotherHub_BNL-RudrapurHub_RDP,28.307599,76.882718,28.987508,79.414121,MotherHub_BNL,RudrapurHub_RDP,79200,428,118800
Shipment,MotherHub_BNL-RupnagarHub_RUP,28.307599,76.882718,30.952567,76.506966,MotherHub_BNL,RupnagarHub_RUP,79200,267,118800
Shipment,MotherHub_BNL-SaharanpurHub_SHP,28.307599,76.882718,29.956038,77.545236,MotherHub_BNL,SaharanpurHub_SHP,79200,333,118800
Shipment,MotherHub_BNL-SangrurHub_SNR,28.307599,76.882718,30.248138,75.834182,MotherHub_BNL,SangrurHub_SNR,79200,211,118800
Shipment,MotherHub_BNL-ShimlaHub_SHM,28.307599,76.882718,31.074597,77.182889,MotherHub_BNL,ShimlaHub_SHM,79200,545,118800
Shipment,MotherHub_BNL-SirsaHub_SRS,28.307599,76.882718,29.536369,75.015843,MotherHub_BNL,SirsaHub_SRS,79200,312,118800
Shipment,MotherHub_BNL-SonepatHub_SOP,28.307599,76.882718,28.999545,77.032738,MotherHub_BNL,SonepatHub_SOP,79200,529,118800
Shipment,MotherHub_BNL-SrinagarHub_SRG,28.307599,76.882718,34.057386,74.824942,MotherHub_BNL,SrinagarHub_SRG,79200,258,183600
Shipment,MotherHub_BNL-YamunaNagarHub_YNR,28.307599,76.882718,30.126579,77.294879,MotherHub_BNL,YamunaNagarHub_YNR,79200,346,118800
