Type,key_leg3,src_lat,src_long,dest_lat,dest_long,src,dest,Leg2_modified_reach_time,Load
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-3.73527777777778,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,13447,37
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-4.00277777777778,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,14410,37
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-4.27222222222223,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,15380,40
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-4.53888888888889,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,16340,38
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-8.08833333333333,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,29118,532
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-8.8875,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,31995,51
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-9.15,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,32940,37
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-9.2725,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,33381,1802
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-0.0119444444444383,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,43,14
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-14.5588888888889,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,52412,42
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-15.1805555555556,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,54650,14
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-16.5155555555556,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,59456,625
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-19.8716666666667,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,71538,750
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-2.37805555555556,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,8561,23
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-2.66277777777778,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,9586,41
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-2.94638888888889,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,10607,29
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-21.9852777777778,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,79147,406
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-22.5375,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,81135,14
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-22.8033333333333,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,82092,14
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-23.2033333333333,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,83532,169
