Type,Key,src_lat,src_long,dest_lat,dest_long,MH,DH,ready_time,Load,dist,time,Ready_Time_10,Del_time_10,Ready_Time_11,Del_time_11,Ready_Time_12,Del_time_12,Ready_Time_1,Del_time_1,Ready_Time_2,Del_time_2,Ready_Time_3,Del_time_3
Shipment,Motherhub_STV-NavsariHub_STV,21.0895987,72.900005,20.9473683,72.9622133,Motherhub_STV,NavsariHub_STV,10,436,24.7,0.6175,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_STV-SilvassaHub_AMD,21.0895987,72.900005,20.2763,73.0083,Motherhub_STV,SilvassaHub_AMD,10,311,117,2.925,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_STV-ValsadHub_AMD,21.0895987,72.900005,20.594504,72.934177,Motherhub_STV,ValsadHub_AMD,10,422,78.6,1.965,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_STV-VapiHub_AMD,21.0895987,72.900005,20.366241,72.922447,Motherhub_STV,VapiHub_AMD,10,645,104,2.6,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_STV-AjwaHub_BDQ,21.0895987,72.900005,22.3116149,73.238837,Motherhub_STV,AjwaHub_BDQ,10,605,163,4.075,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_STV-AkotaHub_BDQ,21.0895987,72.900005,22.3058105,73.1799038,Motherhub_STV,AkotaHub_BDQ,10,750,161,4.025,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_STV-AnandHub_AMD,21.0895987,72.900005,22.556447,72.963939,Motherhub_STV,AnandHub_AMD,10,425,207,5.175,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_STV-BharuchHub_BRH,21.0895987,72.900005,21.718804,72.985729,Motherhub_STV,BharuchHub_BRH,10,792,83.9,2.0975,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_STV-NadiadHub_AMD,21.0895987,72.900005,22.6916,72.8634,Motherhub_STV,NadiadHub_AMD,10,146,225,5.625,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
