Type,key,src_lat,src_long,dest_lat,dest_long,src,dest,Ready_time,Load,Delivery_start_time,Delivery_end_time,time,hour,t,Load
Shipment,MotherHub_AMD_ajwahub_bdq_19,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,68400,625,104400,111600,4.037639988,19,0.747,836
Shipment,MotherHub_AMD_ajwahub_bdq_20,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,72000,62,104400,111600,4.037639988,20,0.073,836
Shipment,MotherHub_AMD_ajwahub_bdq_21,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,75600,55,104400,111600,4.037639988,21,0.065,836
Shipment,MotherHub_AMD_ajwahub_bdq_22,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,79200,55,104400,111600,4.037639988,22,0.065,836
Shipment,MotherHub_AMD_ajwahub_bdq_23,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,82800,42,104400,111600,4.037639988,23,0.05,836
Shipment,MotherHub_AMD_akotahub_bdq_19,22.8978044,72.5902141,22.3058105,73.1799038,MotherHub_AMD,akotahub_bdq,68400,638,97200,111600,3.875254202,19,0.747,854
Shipment,MotherHub_AMD_akotahub_bdq_20,22.8978044,72.5902141,22.3058105,73.1799038,MotherHub_AMD,akotahub_bdq,72000,63,97200,111600,3.875254202,20,0.073,854
Shipment,MotherHub_AMD_akotahub_bdq_21,22.8978044,72.5902141,22.3058105,73.1799038,MotherHub_AMD,akotahub_bdq,75600,56,97200,111600,3.875254202,21,0.065,854
Shipment,MotherHub_AMD_akotahub_bdq_22,22.8978044,72.5902141,22.3058105,73.1799038,MotherHub_AMD,akotahub_bdq,79200,56,97200,111600,3.875254202,22,0.065,854
Shipment,MotherHub_AMD_akotahub_bdq_23,22.8978044,72.5902141,22.3058105,73.1799038,MotherHub_AMD,akotahub_bdq,82800,43,97200,111600,3.875254202,23,0.05,854
