+--------------------------+
| problem                  |
+---------------+----------+
| indicator     | value    |
+---------------+----------+
| noJobs        | 506      | 
| noServices    | 0        | 
| noShipments   | 506      | 
| noBreaks      | 0        | 
| fleetsize     | FINITE   | 
+--------------------------+
+----------------------------------------------------------+
| solution                                                 |
+---------------+------------------------------------------+
| indicator     | value                                    |
+---------------+------------------------------------------+
| costs         | 2.17935985984888192E17                   | 
| noVehicles    | 37                                       | 
| unassgndJobs  | 4                                        | 
+----------------------------------------------------------+
+--------------------------------------------------------------------------------------------------------------------------------+
| detailed solution                                                                                                              |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| route   | vehicle              | activity              | job             | arrTime         | endTime         | costs           |
| 2       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MUM-MOTHERHUB_IDR | 56666           | 56666           | 3467943         |
| 2       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MUM-MOTHERHUB_AMD | 56666           | 56666           | 3467943         |
| 2       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MUM-MOTHERHUB_ABL | 56666           | 56666           | 3467943         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_GOA-MOTHERHUB_BIL | 58019           | 58019           | 3550775         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_BIL | 58019           | 58019           | 3550775         |
| 2       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BIL-MOTHERHUB_LKO | 58019           | 58019           | 3550775         |
| 2       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MUM-MOTHERHUB_BAM | 59373           | 59373           | 3633607         |
| 2       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MUM-MOTHERHUB_LKO | 59373           | 59373           | 3633607         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_MUM | 59373           | 59373           | 3633607         |
| 2       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BIL-MOTHERHUB_BAM | 60726           | 60726           | 3716440         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MUM-MOTHERHUB_STV | 72867           | 72867           | 4459443         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_GOA-MOTHERHUB_STV | 72867           | 72867           | 4459443         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_STV | 72867           | 72867           | 4459443         |
| 2       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_STV-MOTHERHUB_LKO | 72867           | 72867           | 4459443         |
| 2       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_AMD-MOTHERHUB_IDR | 84840           | 84840           | 5192189         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MUM-MOTHERHUB_AMD | 84840           | 84840           | 5192189         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_PUNE-MOTHERHUB_AMD | 84840           | 84840           | 5192189         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_GOA-MOTHERHUB_AMD | 84840           | 84840           | 5192189         |
| 2       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_AMD-MOTHERHUB_ABL | 84840           | 84840           | 5192189         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_AMD-MOTHERHUB_IDR | 104815          | 104815          | 6414688         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MUM-MOTHERHUB_IDR | 104815          | 104815          | 6414688         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_GOA-MOTHERHUB_IDR | 104815          | 104815          | 6414688         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_PUNE-MOTHERHUB_JAI | 132109          | 132109          | 8085089         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MUM-MOTHERHUB_PTI | 142952          | 142952          | 8748643         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_GOA-MOTHERHUB_PTI | 142952          | 142952          | 8748643         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_PUNE-MOTHERHUB_PTI | 142952          | 142952          | 8748643         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_GOA-MOTHERHUB_BAM | 144873          | 144873          | 8866227         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BIL-MOTHERHUB_BAM | 144873          | 144873          | 8866227         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MUM-MOTHERHUB_BAM | 144873          | 144873          | 8866227         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_PUNE-MOTHERHUB_BAM | 144873          | 144873          | 8866227         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_AMD-MOTHERHUB_ABL | 157043          | 157043          | 9611009         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MUM-MOTHERHUB_ABL | 157043          | 157043          | 9611009         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BIL-MOTHERHUB_LKO | 190519          | 190519          | 11659742        |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_PUNE-MOTHERHUB_LKO | 190519          | 190519          | 11659742        |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_LKO | 190519          | 190519          | 11659742        |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MUM-MOTHERHUB_LKO | 190519          | 190519          | 11659742        |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_STV-MOTHERHUB_LKO | 190519          | 190519          | 11659742        |
| 2       | 2-MOTHERHUB_BLR-32   | end                   | -               | 190519          | undef           | 11659742        |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 3       | 3-MOTHERHUB_BLR-32   | start                 | -               | undef           | 0               | 0               |
| 3       | 3-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_BAM | 0               | 0               | 0               |
| 3       | 3-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MED-MOTHERHUB_BAM | 30331           | 30331           | 1856267         |
| 3       | 3-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MED-MOTHERHUB_BAM | 102555          | 102555          | 6276338         |
| 3       | 3-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_BAM | 102555          | 102555          | 6276338         |
| 3       | 3-MOTHERHUB_BLR-32   | end                   | -               | 102555          | undef           | 6276338         |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 4       | 8-MOTHERHUB_BLR-24   | start                 | -               | undef           | 0               | 0               |
| 4       | 8-MOTHERHUB_BLR-24   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_BBI | 0               | 0               | 0               |
| 4       | 8-MOTHERHUB_BLR-24   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_CHN | 0               | 0               | 0               |
| 4       | 8-MOTHERHUB_BLR-24   | pickupShipment        | MOTHERHUB_CHN-MOTHERHUB_BBI | 12795           | 12795           | 875146          |
| 4       | 8-MOTHERHUB_BLR-24   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_CHN | 12795           | 12795           | 875146          |
| 4       | 8-MOTHERHUB_BLR-24   | pickupShipment        | MOTHERHUB_CHN-MOTHERHUB_KOL | 12795           | 12795           | 875146          |
| 4       | 8-MOTHERHUB_BLR-24   | deliverShipment       | MOTHERHUB_CHN-MOTHERHUB_BBI | 66150           | 66150           | 4524669         |
| 4       | 8-MOTHERHUB_BLR-24   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_BBI | 66150           | 66150           | 4524669         |
| 4       | 8-MOTHERHUB_BLR-24   | deliverShipment       | MOTHERHUB_CHN-MOTHERHUB_KOL | 85528           | 85528           | 5850085         |
| 4       | 8-MOTHERHUB_BLR-24   | end                   | -               | 85528           | undef           | 5850085         |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 5       | 4-MOTHERHUB_KOL-32   | start                 | -               | undef           | 0               | 0               |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_MUM | 0               | 0               | 0               |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_PTI | 0               | 0               | 0               |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_IDR | 0               | 0               | 0               |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_PAT | 0               | 0               | 0               |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_LKO | 0               | 0               | 0               |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_IDR | 18201           | 18201           | 1113883         |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_ABL | 18201           | 18201           | 1113883         |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_MED | 18201           | 18201           | 1113883         |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_PAT-MOTHERHUB_PUNE | 32843           | 32843           | 2010000         |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_PAT-MOTHERHUB_IDR | 32843           | 32843           | 2010000         |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_KOL-MOTHERHUB_PAT | 32843           | 32843           | 2010000         |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_PAT-MOTHERHUB_BIL | 32843           | 32843           | 2010000         |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_PAT-MOTHERHUB_ABL | 32843           | 32843           | 2010000         |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_PAT-MOTHERHUB_BLR | 32843           | 32843           | 2010000         |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_PAT-MOTHERHUB_MED | 32843           | 32843           | 2010000         |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_PAT-MOTHERHUB_AMD | 32843           | 32843           | 2010000         |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_PAT-MOTHERHUB_STV | 32843           | 32843           | 2010000         |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_LKO-MOTHERHUB_IDR | 59069           | 59069           | 3615030         |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_LKO-MOTHERHUB_ABL | 59069           | 59069           | 3615030         |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_LKO-MOTHERHUB_PUNE | 59069           | 59069           | 3615030         |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_KOL-MOTHERHUB_LKO | 59069           | 59069           | 3615030         |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_LKO-MOTHERHUB_AMD | 59069           | 59069           | 3615030         |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_LKO-MOTHERHUB_MED | 59069           | 59069           | 3615030         |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_BAM-MOTHERHUB_MED | 84415           | 84415           | 5166213         |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_KOL-MOTHERHUB_PTI | 86337           | 86337           | 5283797         |
| 5       | 4-MOTHERHUB_KOL-32   | pickupShipment        | MOTHERHUB_PTI-MOTHERHUB_MUM | 86337           | 86337           | 5283797         |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_LKO-MOTHERHUB_ABL | 100088          | 100088          | 6125369         |
