Type,key,src_lat,src_long,dest_lat,dest_long,src,dest,Ready_time,Load,Delivery_time,Ready_time_1,key_leg2
Shipment,MOTHERHUB_AMD-MOTHERHUB_KOL-20.988625,22.8978044,72.5902141,22.708183,88.28565,MOTHERHUB_AMD,MOTHERHUB_KOL,75559,25,19274,20.988625,MOTHERHUB_AMD-MOTHERHUB_KOL-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_KOL-22.8506249999999,22.8978044,72.5902141,22.708183,88.28565,MOTHERHUB_AMD,MOTHERHUB_KOL,82262,134,25977,22.850625,MOTHERHUB_AMD-MOTHERHUB_KOL-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_MED-4.02090277777765,22.8978044,72.5902141,17.580519,78.469527,MOTHERHUB_AMD,MOTHERHUB_MED,14475,183,80119,4.020902778,MOTHERHUB_AMD-MOTHERHUB_MED-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_MED-5.2123472222228,22.8978044,72.5902141,17.580519,78.469527,MOTHERHUB_AMD,MOTHERHUB_MED,18764,205,84409,5.212347222,MOTHERHUB_AMD-MOTHERHUB_MED-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_PTI-5.04355555555555,22.8978044,72.5902141,28.294166,76.855804,MOTHERHUB_AMD,MOTHERHUB_PTI,18157,24,35901,5.043555556,MOTHERHUB_AMD-MOTHERHUB_PTI-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_PTI-5.83988888888855,22.8978044,72.5902141,28.294166,76.855804,MOTHERHUB_AMD,MOTHERHUB_PTI,21024,98,38768,5.839888889,MOTHERHUB_AMD-MOTHERHUB_PTI-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_PTI-7.14358333333402,22.8978044,72.5902141,28.294166,76.855804,MOTHERHUB_AMD,MOTHERHUB_PTI,25717,60,43461,7.143583333,MOTHERHUB_AMD-MOTHERHUB_PTI-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_PTI-14.0143750000006,22.8978044,72.5902141,28.294166,76.855804,MOTHERHUB_AMD,MOTHERHUB_PTI,50452,104,68196,14.014375,MOTHERHUB_AMD-MOTHERHUB_PTI-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_PTI-16.0299305555561,22.8978044,72.5902141,28.294166,76.855804,MOTHERHUB_AMD,MOTHERHUB_PTI,57708,6,75452,16.02993056,MOTHERHUB_AMD-MOTHERHUB_PTI-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_PTI-16.8358055555565,22.8978044,72.5902141,28.294166,76.855804,MOTHERHUB_AMD,MOTHERHUB_PTI,60609,392,78353,16.83580556,MOTHERHUB_AMD-MOTHERHUB_PTI-3
