 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           ,,,
3, 5-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_CHN ,0,0,0,,,
3, 5-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_MED ,0,0,0,,,
3, 5-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_BIL ,0,0,0,,,
3, 5-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_AMD ,0,0,0,,,
3, 5-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_STV ,0,0,0,,,
3, 5-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_CHN ,163217,163217,47890794,,,
3, 5-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_BLR ,191947,191947,56320536,,,
3, 5-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_MED ,252885,252885,74200805,,,
3, 5-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_BIL ,324024,324024,95074188,,,
3, 5-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_STV ,348416,348416,102231084,,,
3, 5-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_AMD ,372470,372470,109289165,103.4638888889,4.3109953704,109289.165
3, 5-MOTHERHUB_KOL-32   , end                   , -               ,372470, undef           ,109289165,,,
,,,,,,,,,
4, 0-MOTHERHUB_BIL-32   , start                 , -               , undef           ,0,0,,,
4, 0-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_KOL ,0,0,0,,,
4, 0-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_KOL ,48400,48400,14201469,,,
4, 0-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_KOL ,238422,238422,69957219,,,
4, 0-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_KOL ,238422,238422,69957219,66.2283333333,2.7595138889,69957.219
4, 0-MOTHERHUB_BIL-32   , end                   , -               ,238422, undef           ,69957219,,,
,,,,,,,,,
5, 1-MOTHERHUB_BIL-32   , start                 , -               , undef           ,0,0,,,
5, 1-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_BLR ,0,0,0,,,
5, 1-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_BLR ,101969,101969,29919446,28.3247222222,1.1801967593,29919.446
5, 1-MOTHERHUB_BIL-32   , end                   , -               ,101969, undef           ,29919446,,,
,,,,,,,,,
6, 3-MOTHERHUB_BIL-32   , start                 , -               , undef           ,0,0,,,
