Type,key,src_lat,src_long,dest_lat,dest_long,src_name,dest_name,ready_time,Load
Shipment,MotherHub_KNG-PudukottaiHub_PDK,13.0608816,77.743673,10.385915,78.818468,MotherHub_KNG,PudukottaiHub_PDK,65130,58
Shipment,MotherHub_KNG-ThanjavurHub_TNJ,13.0608816,77.743673,10.758659,79.126759,MotherHub_KNG,ThanjavurHub_TNJ,65250,136
Shipment,MotherHub_KNG-TrichyHub_TRZ,13.0608816,77.743673,10.823045,78.686371,MotherHub_KNG,TrichyHub_TRZ,65340,315
Shipment,MotherHub_KNG-KarurHub_KAU,13.0608816,77.743673,10.96063,78.068482,MotherHub_KNG,KarurHub_KAU,64980,107
Shipment,MotherHub_KNG-KumbakonamHub_TNJ,13.0608816,77.743673,10.9673355,79.3908133,MotherHub_KNG,KumbakonamHub_TNJ,64950,197
Shipment,MotherHub_KNG-ErodeHub_ERD,13.0608816,77.743673,11.329166,77.698901,MotherHub_KNG,ErodeHub_ERD,64860,206
Shipment,MotherHub_KNG-PallipalayamHub_ERD,13.0608816,77.743673,11.375731,77.752714,MotherHub_KNG,PallipalayamHub_ERD,65160,178
Shipment,MotherHub_KNG-ChidambaramHub_CDM,13.0608816,77.743673,11.387667,79.693237,MotherHub_KNG,ChidambaramHub_CDM,64950,77
Shipment,MotherHub_KNG-OotyHub_OTY,13.0608816,77.743673,11.4064,76.6932,MotherHub_KNG,OotyHub_OTY,65040,142
Shipment,MotherHub_KNG-SalemHub_SXV,13.0608816,77.743673,11.669623,78.146018,MotherHub_KNG,SalemHub_SXV,65220,327
Shipment,MotherHub_KNG-CuddaloreHub_CDL,13.0608816,77.743673,11.7313395,79.7639738,MotherHub_KNG,CuddaloreHub_CDL,64650,104
Shipment,MotherHub_KNG-LawspetHub_PDY,13.0608816,77.743673,11.9556999,79.8270699,MotherHub_KNG,LawspetHub_PDY,64920,300
Shipment,MotherHub_KNG-KanchipuramHub_KCH,13.0608816,77.743673,12.827866,79.723161,MotherHub_KNG,KanchipuramHub_KCH,65220,142
Shipment,MotherHub_KNG-MangaloreHub_IXE,13.0608816,77.743673,12.914142,74.855957,MotherHub_KNG,MangaloreHub_IXE,66810,1350
Shipment,MotherHub_KNG-VelloreHub_VLR,13.0608816,77.743673,12.96798,79.1541415,MotherHub_KNG,VelloreHub_VLR,65310,325
Shipment,MotherHub_KNG-SurathkalHub_IXE,13.0608816,77.743673,12.970753,74.804737,MotherHub_KNG,SurathkalHub_IXE,66690,438
Shipment,MotherHub_KNG-HassanHub_HSN,13.0608816,77.743673,13.001051,76.099276,MotherHub_KNG,HassanHub_HSN,66840,481
Shipment,MotherHub_KNG-ManipalHub_MPL,13.0608816,77.743673,13.3355918,74.7900721,MotherHub_KNG,ManipalHub_MPL,66720,1098
