Size,Mileage,Speed,KMperTyper,Costoftyre,Numberoftyres,Repaircharge,ContainerFactor,VehicleCost,Interest,loadperiod,AMC,Insurance,Capacity,factor
22,60,13,250000,20000,8,1,1,1500000,14,10,3,1,5000,18.58776
28,50,11,250000,20000,10,1,1,1600000,14,10,3,1,7500,22
32,50,11,250000,20000,12,1,1,1700000,14,10,3,1,9000,22.22857
17,60,13,250000,20000,6,1,1,1200000,14,10,3,1,3000,18.35918
19,60,11,250000,20000,6,1,1,1300000,14,10,3,1,3500,18.35918
20,60,11,250000,20000,6,1,1,1400000,14,10,3,1,4000,18.35918
24,55,13,250000,20000,8,1,1,1600000,14,10,3,1,5500,19.88646
14,60,13,250000,20000,4,1,1,1000000,14,10,3,1,2000,18.13061
