Type,modified_zonal_del_key,zonal_del_src_lat,zonal_del_src_long,zonal_del_dest_lat,zonal_del_dest_long,zonal_del_src,zonal_del_dest,Ready_time,Load
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-3.22777778,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,11620,169
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-10.26444444,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,36952,625
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-16.43055556,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,59150,1295
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-17.59166667,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,63330,4487
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-17.61166667,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,63402,166
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-18.14777778,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,65332,416
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-18.75472222,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,67517,67
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-22.7475,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,81891,406
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-22.22166667,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,79998,750
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-2.67,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,9612,17
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-2.51138889,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,9041,18
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-2.82777778,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,10180,44
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-2.97888889,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,10724,34
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-3,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,10800,1170
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-3.22777778,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,11620,84
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-3.29222222,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,11852,25
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-10.26444444,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,36952,334
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-16.43055556,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,59150,566
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-17.59166667,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,63330,1762
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-17.61166667,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,63402,70
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-18.14777778,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,65332,168
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-18.75472222,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,67517,47
