Type,key,src_lat,src_long,dest_lat,dest_long,origin_hub,dest_mh,order_pattern,Load
Shipment,MotherHub_ABL-CochinTCHub_KAM,30.396612,76.8116,10.0435449,76.3367287,MotherHub_ABL,CochinTCHub_KAM,0,129
Shipment,MotherHub_ABL-MotherHub_AMD,30.396612,76.8116,22.8978044,72.5902141,MotherHub_ABL,MotherHub_AMD,0,114
Shipment,MotherHub_ABL-MotherHub_BBI,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,0,81
Shipment,MotherHub_ABL-MotherHub_BIL,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,0,121
Shipment,MotherHub_ABL-MotherHub_BLR,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,0,610
Shipment,MotherHub_ABL-MotherHub_BNO,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,0,407
Shipment,MotherHub_ABL-MotherHub_CHN,30.396612,76.8116,13.04591,80.067723,MotherHub_ABL,MotherHub_CHN,0,150
Shipment,MotherHub_ABL-MotherHub_CJB,30.396612,76.8116,11.0633423,77.0910944,MotherHub_ABL,MotherHub_CJB,0,43
Shipment,MotherHub_ABL-MotherHub_GAU,30.396612,76.8116,26.043197,91.705232,MotherHub_ABL,MotherHub_GAU,0,156
Shipment,MotherHub_ABL-MotherHub_GOA,30.396612,76.8116,15.3682554,73.946764,MotherHub_ABL,MotherHub_GOA,0,72
Shipment,MotherHub_ABL-MotherHub_IDR,30.396612,76.8116,22.777113,75.9021171,MotherHub_ABL,MotherHub_IDR,0,81
Shipment,MotherHub_ABL-MotherHub_IXR,30.396612,76.8116,23.352715,85.343538,MotherHub_ABL,MotherHub_IXR,0,49
Shipment,MotherHub_ABL-MotherHub_JAI,30.396612,76.8116,26.948928,75.761927,MotherHub_ABL,MotherHub_JAI,0,110
Shipment,MotherHub_ABL-MotherHub_KOL,30.396612,76.8116,22.708183,88.28565,MotherHub_ABL,MotherHub_KOL,0,309
Shipment,MotherHub_ABL-MotherHub_LKO,30.396612,76.8116,26.755912,80.910939,MotherHub_ABL,MotherHub_LKO,0,66
Shipment,MotherHub_ABL-MotherHub_MED,30.396612,76.8116,17.580519,78.469527,MotherHub_ABL,MotherHub_MED,0,248
Shipment,MotherHub_ABL-MotherHub_MUM,30.396612,76.8116,19.1170238,72.8580558,MotherHub_ABL,MotherHub_MUM,0,115
Shipment,MotherHub_ABL-MotherHub_PAT,30.396612,76.8116,25.587197,85.185842,MotherHub_ABL,MotherHub_PAT,0,92
Shipment,MotherHub_ABL-MotherHub_PTI,30.396612,76.8116,28.294166,76.855804,MotherHub_ABL,MotherHub_PTI,0,445
Shipment,MotherHub_ABL-MotherHub_PUNE,30.396612,76.8116,18.6087917,73.7268817,MotherHub_ABL,MotherHub_PUNE,0,184
Shipment,MotherHub_ABL-MotherHub_RAI,30.396612,76.8116,22.056106,82.171855,MotherHub_ABL,MotherHub_RAI,0,38
Shipment,MotherHub_ABL-MotherHub_STV,30.396612,76.8116,21.0895987,72.900005,MotherHub_ABL,MotherHub_STV,0,24
Shipment,MotherHub_AMD-CochinTCHub_KAM,22.8978044,72.5902141,10.0435449,76.3367287,MotherHub_AMD,CochinTCHub_KAM,0,147
Shipment,MotherHub_AMD-MotherHub_BBI,22.8978044,72.5902141,20.295471,85.84707,MotherHub_AMD,MotherHub_BBI,0,95
Shipment,MotherHub_AMD-MotherHub_BIL,22.8978044,72.5902141,19.2374987,73.0362352,MotherHub_AMD,MotherHub_BIL,0,213
Shipment,MotherHub_AMD-MotherHub_BLR,22.8978044,72.5902141,12.9842798,77.8242648,MotherHub_AMD,MotherHub_BLR,0,678
Shipment,MotherHub_AMD-MotherHub_BNO,22.8978044,72.5902141,28.544563,77.031259,MotherHub_AMD,MotherHub_BNO,0,283
Shipment,MotherHub_AMD-MotherHub_CHN,22.8978044,72.5902141,13.04591,80.067723,MotherHub_AMD,MotherHub_CHN,0,174
Shipment,MotherHub_AMD-MotherHub_CJB,22.8978044,72.5902141,11.0633423,77.0910944,MotherHub_AMD,MotherHub_CJB,0,56
Shipment,MotherHub_AMD-MotherHub_GAU,22.8978044,72.5902141,26.043197,91.705232,MotherHub_AMD,MotherHub_GAU,0,151
Shipment,MotherHub_AMD-MotherHub_GOA,22.8978044,72.5902141,15.3682554,73.946764,MotherHub_AMD,MotherHub_GOA,0,80
Shipment,MotherHub_AMD-MotherHub_IDR,22.8978044,72.5902141,22.777113,75.9021171,MotherHub_AMD,MotherHub_IDR,0,60
Shipment,MotherHub_AMD-MotherHub_IXR,22.8978044,72.5902141,23.352715,85.343538,MotherHub_AMD,MotherHub_IXR,0,58
Shipment,MotherHub_AMD-MotherHub_JAI,22.8978044,72.5902141,26.948928,75.761927,MotherHub_AMD,MotherHub_JAI,0,86
Shipment,MotherHub_AMD-MotherHub_KOL,22.8978044,72.5902141,22.708183,88.28565,MotherHub_AMD,MotherHub_KOL,0,358
Shipment,MotherHub_AMD-MotherHub_LKO,22.8978044,72.5902141,26.755912,80.910939,MotherHub_AMD,MotherHub_LKO,0,54
Shipment,MotherHub_AMD-MotherHub_MED,22.8978044,72.5902141,17.580519,78.469527,MotherHub_AMD,MotherHub_MED,0,284
Shipment,MotherHub_AMD-MotherHub_MUM,22.8978044,72.5902141,19.1170238,72.8580558,MotherHub_AMD,MotherHub_MUM,0,200
Shipment,MotherHub_AMD-MotherHub_PAT,22.8978044,72.5902141,25.587197,85.185842,MotherHub_AMD,MotherHub_PAT,0,114
Shipment,MotherHub_AMD-MotherHub_PTI,22.8978044,72.5902141,28.294166,76.855804,MotherHub_AMD,MotherHub_PTI,0,343
Shipment,MotherHub_AMD-MotherHub_PUNE,22.8978044,72.5902141,18.6087917,73.7268817,MotherHub_AMD,MotherHub_PUNE,0,324
