 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_KNG-NagercoilHub_NGL ,65340,65340,0
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_BLR-TrichyHub_TRZ ,66416,71100,65853
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_BLR-ChittoorHub_COR ,71100,84060,65853
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_BLR-MaduraiHub_IXM ,84060,84060,65853
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_BLR-TuticorinHub_TUT ,84060,84060,65853
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_BLR-ThirunelveliHub_TVL ,84060,84060,65853
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_BLR-KumbakonamHub_TNJ ,84060,84060,65853
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_BLR-LawspetHub_PDY ,84060,84060,65853
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_BLR-CuddaloreHub_CDL ,84060,84060,65853
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_BLR-ChidambaramHub_CDM ,84060,84060,65853
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_BLR-DindigulHub_DND ,84060,84060,65853
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_BLR-SivakasiHub_SVK ,84060,84060,65853
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_BLR-VelloreHub_VLR ,84060,84060,65853
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_BLR-KanchipuramHub_KCH ,84060,84060,65853
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_BLR-PudukottaiHub_PDK ,84060,84060,65853
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_BLR-ThanjavurHub_TNJ ,84060,84060,65853
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_BLR-KaraikudiHub_KRK ,84060,84060,65853
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_BLR-NagercoilHub_NGL ,84060,84060,65853
3, 4-MotherHub_KNG-32   , deliverShipment       , MotherHub_BLR-ChittoorHub_COR ,96274,96274,813371
3, 4-MotherHub_KNG-32   , deliverShipment       , MotherHub_KNG-VelloreHub_VLR ,98663,98663,959584
3, 4-MotherHub_KNG-32   , deliverShipment       , MotherHub_BLR-VelloreHub_VLR ,98663,98663,959584
3, 4-MotherHub_KNG-32   , deliverShipment       , MotherHub_KNG-KanchipuramHub_KCH ,104275,104275,1303021
3, 4-MotherHub_KNG-32   , deliverShipment       , MotherHub_BLR-KanchipuramHub_KCH ,104275,104275,1303021
3, 4-MotherHub_KNG-32   , deliverShipment       , MotherHub_BLR-LawspetHub_PDY ,112888,112888,1830135
3, 4-MotherHub_KNG-32   , deliverShipment       , MotherHub_KNG-LawspetHub_PDY ,112888,112888,1830135
3, 4-MotherHub_KNG-32   , deliverShipment       , MotherHub_BLR-CuddaloreHub_CDL ,115171,115171,1969833
3, 4-MotherHub_KNG-32   , deliverShipment       , MotherHub_KNG-CuddaloreHub_CDL ,115171,115171,1969833
3, 4-MotherHub_KNG-32   , deliverShipment       , MotherHub_KNG-ChidambaramHub_CDM ,118610,118610,2180300
3, 4-MotherHub_KNG-32   , deliverShipment       , MotherHub_BLR-ChidambaramHub_CDM ,118610,118610,2180300
3, 4-MotherHub_KNG-32   , deliverShipment       , MotherHub_KNG-KumbakonamHub_TNJ ,123657,123657,2489161
3, 4-MotherHub_KNG-32   , deliverShipment       , MotherHub_BLR-KumbakonamHub_TNJ ,123657,123657,2489161
3, 4-MotherHub_KNG-32   , deliverShipment       , MotherHub_KNG-ThanjavurHub_TNJ ,126922,126922,2688983
