Type,key_leg3,src_lat,src_long,dest_lat,dest_long,src,dest,Ready_time,Total
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-21.0675,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,75843,64
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-21.34222222,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,76832,54
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-22.39972222-0,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,80639,2793
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-22.39972222-1,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,80639,403
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-22.88833333,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,82398,1802
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-23.91277778,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,86086,809
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-3,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,10800,2
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-3-0,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,10800,2705
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-3-1,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,10800,844
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-6.07972222-0,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,21887,3513
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-8.87305556,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,31943,532
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-9.14,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,32904,44
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-9.29555556,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,33464,255
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-12.12888889,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,43664,29
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-14.5588888888889,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,52412,42
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-15.12194444,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,54439,416
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-15.1805555555556,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,54650,14
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-15.49277778,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,55774,166
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-15.81194444,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,56923,53
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-16.34277778,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,58834,625
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-3,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,10800,7358
