lat1,lng1,lat2,lng2,Distance
22.8978044,72.5902141,19.2374987,73.0362352,532.517581
22.8978044,72.5902141,12.9842798,77.8242648,1603.114458
22.8978044,72.5902141,13.04591,80.067723,1755.468876
22.8978044,72.5902141,26.948928,75.761927,718.1099546
22.8978044,72.5902141,22.708183,88.28565,2090.693419
22.8978044,72.5902141,17.580519,78.469527,1107.21856
22.8978044,72.5902141,28.294166,76.855804,957.7706803
22.8978044,72.5902141,21.0895987,72.900005,223.9425645
19.2374987,73.0362352,22.8978044,72.5902141,532.517581
19.2374987,73.0362352,12.9842798,77.8242648,1121.900203
19.2374987,73.0362352,13.04591,80.067723,1324.034436
19.2374987,73.0362352,26.948928,75.761927,1172.021659
19.2374987,73.0362352,22.708183,88.28565,2117.375124
19.2374987,73.0362352,17.580519,78.469527,782.6967353
19.2374987,73.0362352,28.294166,76.855804,1403.00162
19.2374987,73.0362352,21.0895987,72.900005,227.0778298
12.9842798,77.8242648,22.8978044,72.5902141,1603.114458
12.9842798,77.8242648,19.2374987,73.0362352,1121.900203
12.9842798,77.8242648,13.04591,80.067723,267.4633441
12.9842798,77.8242648,26.948928,75.761927,2037.857619
12.9842798,77.8242648,22.708183,88.28565,2010.16433
12.9842798,77.8242648,17.580519,78.469527,670.4629005
12.9842798,77.8242648,28.294166,76.855804,2216.937546
12.9842798,77.8242648,21.0895987,72.900005,1354.600469
13.04591,80.067723,22.8978044,72.5902141,1755.468876
13.04591,80.067723,19.2374987,73.0362352,1324.034436
13.04591,80.067723,12.9842798,77.8242648,267.4633441
13.04591,80.067723,26.948928,75.761927,2092.543083
13.04591,80.067723,22.708183,88.28565,1795.778324
13.04591,80.067723,17.580519,78.469527,692.3071458
13.04591,80.067723,28.294166,76.855804,2246.230415
13.04591,80.067723,21.0895987,72.900005,1526.713103
26.948928,75.761927,22.8978044,72.5902141,718.1099546
26.948928,75.761927,19.2374987,73.0362352,1172.021659
26.948928,75.761927,12.9842798,77.8242648,2037.857619
26.948928,75.761927,13.04591,80.067723,2092.543083
26.948928,75.761927,22.708183,88.28565,1752.527058
26.948928,75.761927,17.580519,78.469527,1401.680305
26.948928,75.761927,28.294166,76.855804,202.7965276
26.948928,75.761927,21.0895987,72.900005,927.3474139
22.708183,88.28565,22.8978044,72.5902141,2090.693419
22.708183,88.28565,19.2374987,73.0362352,2117.375124
22.708183,88.28565,12.9842798,77.8242648,2010.16433
22.708183,88.28565,13.04591,80.067723,1795.778324
22.708183,88.28565,26.948928,75.761927,1752.527058
22.708183,88.28565,17.580519,78.469527,1523.765791
22.708183,88.28565,28.294166,76.855804,1694.557011
22.708183,88.28565,21.0895987,72.900005,2075.825953
17.580519,78.469527,22.8978044,72.5902141,1107.21856
17.580519,78.469527,19.2374987,73.0362352,782.6967353
17.580519,78.469527,12.9842798,77.8242648,670.4629005
17.580519,78.469527,13.04591,80.067723,692.3071458
17.580519,78.469527,26.948928,75.761927,1401.680305
17.580519,78.469527,22.708183,88.28565,1523.765791
17.580519,78.469527,28.294166,76.855804,1563.456381
17.580519,78.469527,21.0895987,72.900005,913.3050901
28.294166,76.855804,22.8978044,72.5902141,957.7706803
28.294166,76.855804,19.2374987,73.0362352,1403.00162
28.294166,76.855804,12.9842798,77.8242648,2216.937546
28.294166,76.855804,13.04591,80.067723,2246.230415
28.294166,76.855804,26.948928,75.761927,239.6686235
28.294166,76.855804,22.708183,88.28565,1694.557011
28.294166,76.855804,17.580519,78.469527,1563.456381
28.294166,76.855804,21.0895987,72.900005,1163.584731
21.0895987,72.900005,22.8978044,72.5902141,264.6593945
21.0895987,72.900005,19.2374987,73.0362352,227.0778298
21.0895987,72.900005,12.9842798,77.8242648,1354.600469
21.0895987,72.900005,13.04591,80.067723,1526.713103
21.0895987,72.900005,26.948928,75.761927,927.3474139
21.0895987,72.900005,22.708183,88.28565,2075.825953
21.0895987,72.900005,17.580519,78.469527,913.3050901
21.0895987,72.900005,28.294166,76.855804,1163.584731
