Type,key,src_final_lat,src_final_long,nat_src_lat,nat_src_long,src_final,nat_src,hour,Load
Shipment,MOTHERHUB_PUNE-MOTHERHUB_BIL-4,18.6087917,73.7268817,19.2374987,73.0362352,MOTHERHUB_PUNE,MOTHERHUB_BIL,14400,396
Shipment,MOTHERHUB_PUNE-MOTHERHUB_BIL-8,18.6087917,73.7268817,19.2374987,73.0362352,MOTHERHUB_PUNE,MOTHERHUB_BIL,28800,105
Shipment,MOTHERHUB_PUNE-MOTHERHUB_BIL-12,18.6087917,73.7268817,19.2374987,73.0362352,MOTHERHUB_PUNE,MOTHERHUB_BIL,43200,61
Shipment,MOTHERHUB_PUNE-MOTHERHUB_BIL-16,18.6087917,73.7268817,19.2374987,73.0362352,MOTHERHUB_PUNE,MOTHERHUB_BIL,57600,332
Shipment,MOTHERHUB_PUNE-MOTHERHUB_BIL-20,18.6087917,73.7268817,19.2374987,73.0362352,MOTHERHUB_PUNE,MOTHERHUB_BIL,72000,423
Shipment,MOTHERHUB_PUNE-MOTHERHUB_BIL-24,18.6087917,73.7268817,19.2374987,73.0362352,MOTHERHUB_PUNE,MOTHERHUB_BIL,86400,384
Shipment,MOTHERHUB_CJB-MOTHERHUB_BLR-4,11.0633423,77.0910944,12.9842798,77.8242648,MOTHERHUB_CJB,MOTHERHUB_BLR,14400,103
Shipment,MOTHERHUB_CJB-MOTHERHUB_BLR-8,11.0633423,77.0910944,12.9842798,77.8242648,MOTHERHUB_CJB,MOTHERHUB_BLR,28800,30
Shipment,MOTHERHUB_CJB-MOTHERHUB_BLR-12,11.0633423,77.0910944,12.9842798,77.8242648,MOTHERHUB_CJB,MOTHERHUB_BLR,43200,16
Shipment,MOTHERHUB_CJB-MOTHERHUB_BLR-16,11.0633423,77.0910944,12.9842798,77.8242648,MOTHERHUB_CJB,MOTHERHUB_BLR,57600,95
Shipment,MOTHERHUB_CJB-MOTHERHUB_BLR-20,11.0633423,77.0910944,12.9842798,77.8242648,MOTHERHUB_CJB,MOTHERHUB_BLR,72000,107
Shipment,MOTHERHUB_CJB-MOTHERHUB_BLR-24,11.0633423,77.0910944,12.9842798,77.8242648,MOTHERHUB_CJB,MOTHERHUB_BLR,86400,104
Shipment,MOTHERHUB_PAT-MOTHERHUB_KOL-4,25.587197,85.185842,22.708183,88.28565,MOTHERHUB_PAT,MOTHERHUB_KOL,14400,19
