Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,Ready_time,Load,pickup_time
Shipment,MOTHERHUB_BAM-GURGAONMANESARHUB_DEL-p,28.545321,77.02914,28.439369,77.011105,MOTHERHUB_BAM,GURGAONMANESARHUB_DEL,82800,773,0
Shipment,MOTHERHUB_BAM-GURGAONMANESARHUB_DEL-c,28.545321,77.02914,28.439369,77.011105,MOTHERHUB_BAM,GURGAONMANESARHUB_DEL,82800,189,3600
Shipment,MOTHERHUB_BAM-GURGAONMANESARMPHUB_DEL-p,28.545321,77.02914,28.439369,77.011105,MOTHERHUB_BAM,GURGAONMANESARMPHUB_DEL,82800,11,0
Shipment,MOTHERHUB_BAM-GURGAONMANESARMPHUB_DEL-c,28.545321,77.02914,28.439369,77.011105,MOTHERHUB_BAM,GURGAONMANESARMPHUB_DEL,82800,158,3600
Shipment,MOTHERHUB_BAM-GURGAONMPHUB_DEL-p,28.545321,77.02914,28.494505,77.069283,MOTHERHUB_BAM,GURGAONMPHUB_DEL,82800,4,0
Shipment,MOTHERHUB_BAM-GURGAONMPHUB_DEL-c,28.545321,77.02914,28.494505,77.069283,MOTHERHUB_BAM,GURGAONMPHUB_DEL,82800,72,3600
Shipment,MOTHERHUB_BAM-KAROLBAGHHUB_DEL-p,28.545321,77.02914,28.661687,77.15516,MOTHERHUB_BAM,KAROLBAGHHUB_DEL,82800,1623,0
Shipment,MOTHERHUB_BAM-KAROLBAGHHUB_DEL-c,28.545321,77.02914,28.661687,77.15516,MOTHERHUB_BAM,KAROLBAGHHUB_DEL,82800,200,3600
Shipment,MOTHERHUB_BAM-KILOKARIHUB_DEL-p,28.545321,77.02914,28.509882,77.2981478,MOTHERHUB_BAM,KILOKARIHUB_DEL,82800,1201,0
Shipment,MOTHERHUB_BAM-KILOKARIHUB_DEL-c,28.545321,77.02914,28.509882,77.2981478,MOTHERHUB_BAM,KILOKARIHUB_DEL,82800,171,3600
Shipment,MOTHERHUB_BAM-MODELTOWNHUB_DEL-p,28.545321,77.02914,28.720928,77.17626,MOTHERHUB_BAM,MODELTOWNHUB_DEL,82800,1292,0
Shipment,MOTHERHUB_BAM-MODELTOWNHUB_DEL-c,28.545321,77.02914,28.720928,77.17626,MOTHERHUB_BAM,MODELTOWNHUB_DEL,82800,171,3600
Shipment,MOTHERHUB_BAM-MODELTOWNMPHUB_DEL-p,28.545321,77.02914,28.720928,77.17626,MOTHERHUB_BAM,MODELTOWNMPHUB_DEL,82800,12,0
Shipment,MOTHERHUB_BAM-MODELTOWNMPHUB_DEL-c,28.545321,77.02914,28.720928,77.17626,MOTHERHUB_BAM,MODELTOWNMPHUB_DEL,82800,152,3600
Shipment,MOTHERHUB_BAM-NARAINAHUB_DEL-p,28.545321,77.02914,28.644308,77.146477,MOTHERHUB_BAM,NARAINAHUB_DEL,82800,1309,0
Shipment,MOTHERHUB_BAM-NARAINAHUB_DEL-c,28.545321,77.02914,28.644308,77.146477,MOTHERHUB_BAM,NARAINAHUB_DEL,82800,192,3600
Shipment,MOTHERHUB_BAM-NARAINAMPHUB_DEL-p,28.545321,77.02914,28.644308,77.146477,MOTHERHUB_BAM,NARAINAMPHUB_DEL,82800,30,0
Shipment,MOTHERHUB_BAM-NARAINAMPHUB_DEL-c,28.545321,77.02914,28.644308,77.146477,MOTHERHUB_BAM,NARAINAMPHUB_DEL,82800,420,3600
