Type,key,src_lat,src_long,dest_lat,dest_long,src_mh,dest_mh,Ready_time,Load,delivery_time,act_src,act_dest
Shipment,MOTHERHUB_BLR-MOTHERHUB_MED-3,12.9842798,77.8242648,17.580519,78.469527,MOTHERHUB_BLR,MOTHERHUB_MED,10800,4806,291600,MOTHERHUB_BLR,MOTHERHUB_MED
Shipment,MOTHERHUB_BLR-MOTHERHUB_PTI-14.5588888888889,12.9842798,77.8242648,28.294166,76.855804,MOTHERHUB_BLR,MOTHERHUB_PTI,52412,245,333212,MOTHERHUB_BLR,MOTHERHUB_PTI
Shipment,MOTHERHUB_BLR-MOTHERHUB_PTI-15.1805555555556,12.9842798,77.8242648,28.294166,76.855804,MOTHERHUB_BLR,MOTHERHUB_PTI,54650,1504,335450,MOTHERHUB_BLR,MOTHERHUB_PTI
Shipment,MOTHERHUB_BLR-MOTHERHUB_PTI-3-0,12.9842798,77.8242648,28.294166,76.855804,MOTHERHUB_BLR,MOTHERHUB_PTI,10800,9000,291600,MOTHERHUB_BLR,MOTHERHUB_PTI
Shipment,MOTHERHUB_BLR-MOTHERHUB_PTI-3-1,12.9842798,77.8242648,28.294166,76.855804,MOTHERHUB_BLR,MOTHERHUB_PTI,10800,270,291600,MOTHERHUB_BLR,MOTHERHUB_PTI
Shipment,MOTHERHUB_BLR-MOTHERHUB_STV-14.5588888888889,12.9842798,77.8242648,19.2374987,73.0362352,MOTHERHUB_BLR,MOTHERHUB_STV,52412,18,333212,MOTHERHUB_BLR,MOTHERHUB_BIL
Shipment,MOTHERHUB_BLR-MOTHERHUB_STV-15.1805555555556,12.9842798,77.8242648,19.2374987,73.0362352,MOTHERHUB_BLR,MOTHERHUB_STV,54650,154,335450,MOTHERHUB_BLR,MOTHERHUB_BIL
Shipment,MOTHERHUB_BLR-MOTHERHUB_STV-3,12.9842798,77.8242648,19.2374987,73.0362352,MOTHERHUB_BLR,MOTHERHUB_STV,10800,361,291600,MOTHERHUB_BLR,MOTHERHUB_BIL
Shipment,MOTHERHUB_CHN-MOTHERHUB_AMD-3,13.04591,80.067723,19.2374987,73.0362352,MOTHERHUB_CHN,MOTHERHUB_AMD,10800,551,291600,MOTHERHUB_CHN,MOTHERHUB_BIL
Shipment,MOTHERHUB_CHN-MOTHERHUB_BIL-3,13.04591,80.067723,19.2374987,73.0362352,MOTHERHUB_CHN,MOTHERHUB_BIL,10800,2066,291600,MOTHERHUB_CHN,MOTHERHUB_BIL
Shipment,MOTHERHUB_CHN-MOTHERHUB_BLR-3,13.04591,80.067723,12.9842798,77.8242648,MOTHERHUB_CHN,MOTHERHUB_BLR,10800,4924,291600,MOTHERHUB_CHN,MOTHERHUB_BLR
Shipment,MOTHERHUB_CHN-MOTHERHUB_JAI-3,13.04591,80.067723,28.294166,76.855804,MOTHERHUB_CHN,MOTHERHUB_JAI,10800,435,291600,MOTHERHUB_CHN,MOTHERHUB_PTI
Shipment,MOTHERHUB_CHN-MOTHERHUB_KOL-3,13.04591,80.067723,22.708183,88.28565,MOTHERHUB_CHN,MOTHERHUB_KOL,10800,2121,291600,MOTHERHUB_CHN,MOTHERHUB_KOL
Shipment,MOTHERHUB_CHN-MOTHERHUB_MED-3,13.04591,80.067723,17.580519,78.469527,MOTHERHUB_CHN,MOTHERHUB_MED,10800,1460,291600,MOTHERHUB_CHN,MOTHERHUB_MED
Shipment,MOTHERHUB_CHN-MOTHERHUB_PTI-3,13.04591,80.067723,28.294166,76.855804,MOTHERHUB_CHN,MOTHERHUB_PTI,10800,3117,291600,MOTHERHUB_CHN,MOTHERHUB_PTI
Shipment,MOTHERHUB_CHN-MOTHERHUB_STV-3,13.04591,80.067723,19.2374987,73.0362352,MOTHERHUB_CHN,MOTHERHUB_STV,10800,196,291600,MOTHERHUB_CHN,MOTHERHUB_BIL
Shipment,MOTHERHUB_JAI-MOTHERHUB_AMD-3,28.294166,76.855804,22.8978044,72.5902141,MOTHERHUB_JAI,MOTHERHUB_AMD,32400,331,313200,MOTHERHUB_PTI,MOTHERHUB_AMD
Shipment,MOTHERHUB_JAI-MOTHERHUB_BIL-3,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_JAI,MOTHERHUB_BIL,32400,1392,313200,MOTHERHUB_PTI,MOTHERHUB_BIL
Shipment,MOTHERHUB_JAI-MOTHERHUB_BLR-3,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_JAI,MOTHERHUB_BLR,32400,2650,313200,MOTHERHUB_PTI,MOTHERHUB_BLR
Shipment,MOTHERHUB_JAI-MOTHERHUB_CHN-3,28.294166,76.855804,13.04591,80.067723,MOTHERHUB_JAI,MOTHERHUB_CHN,32400,466,313200,MOTHERHUB_PTI,MOTHERHUB_CHN
Shipment,MOTHERHUB_JAI-MOTHERHUB_KOL-3,28.294166,76.855804,22.708183,88.28565,MOTHERHUB_JAI,MOTHERHUB_KOL,32400,2587,313200,MOTHERHUB_PTI,MOTHERHUB_KOL
Shipment,MOTHERHUB_JAI-MOTHERHUB_MED-3,28.294166,76.855804,17.580519,78.469527,MOTHERHUB_JAI,MOTHERHUB_MED,32400,872,313200,MOTHERHUB_PTI,MOTHERHUB_MED
Shipment,MOTHERHUB_JAI-MOTHERHUB_PTI-3,26.948928,75.761927,28.294166,76.855804,MOTHERHUB_JAI,MOTHERHUB_PTI,10800,3311,291600,MOTHERHUB_JAI,MOTHERHUB_PTI
Shipment,MOTHERHUB_JAI-MOTHERHUB_STV-3,28.294166,76.855804,21.0895987,72.900005,MOTHERHUB_JAI,MOTHERHUB_STV,32400,113,313200,MOTHERHUB_PTI,MOTHERHUB_STV
Shipment,MOTHERHUB_KOL-MOTHERHUB_AMD-13.9855555555556,22.708183,88.28565,22.8978044,72.5902141,MOTHERHUB_KOL,MOTHERHUB_AMD,50348,35,331148,MOTHERHUB_KOL,MOTHERHUB_AMD
Shipment,MOTHERHUB_KOL-MOTHERHUB_AMD-17.9336111111111,22.708183,88.28565,22.8978044,72.5902141,MOTHERHUB_KOL,MOTHERHUB_AMD,64561,44,345361,MOTHERHUB_KOL,MOTHERHUB_AMD
Shipment,MOTHERHUB_KOL-MOTHERHUB_AMD-19.6308333333333,22.708183,88.28565,22.8978044,72.5902141,MOTHERHUB_KOL,MOTHERHUB_AMD,70671,33,351471,MOTHERHUB_KOL,MOTHERHUB_AMD
Shipment,MOTHERHUB_KOL-MOTHERHUB_AMD-20.0286111111111,22.708183,88.28565,22.8978044,72.5902141,MOTHERHUB_KOL,MOTHERHUB_AMD,72103,38,352903,MOTHERHUB_KOL,MOTHERHUB_AMD
Shipment,MOTHERHUB_KOL-MOTHERHUB_AMD-21.2561111111111,22.708183,88.28565,22.8978044,72.5902141,MOTHERHUB_KOL,MOTHERHUB_AMD,76522,31,357322,MOTHERHUB_KOL,MOTHERHUB_AMD
Shipment,MOTHERHUB_KOL-MOTHERHUB_AMD-3,22.708183,88.28565,22.8978044,72.5902141,MOTHERHUB_KOL,MOTHERHUB_AMD,10800,179,291600,MOTHERHUB_KOL,MOTHERHUB_AMD
Shipment,MOTHERHUB_KOL-MOTHERHUB_BIL-13.9855555555556,22.708183,88.28565,19.2374987,73.0362352,MOTHERHUB_KOL,MOTHERHUB_BIL,50348,159,331148,MOTHERHUB_KOL,MOTHERHUB_BIL
Shipment,MOTHERHUB_KOL-MOTHERHUB_BIL-17.9336111111111,22.708183,88.28565,19.2374987,73.0362352,MOTHERHUB_KOL,MOTHERHUB_BIL,64561,187,345361,MOTHERHUB_KOL,MOTHERHUB_BIL
Shipment,MOTHERHUB_KOL-MOTHERHUB_BIL-19.6308333333333,22.708183,88.28565,19.2374987,73.0362352,MOTHERHUB_KOL,MOTHERHUB_BIL,70671,128,351471,MOTHERHUB_KOL,MOTHERHUB_BIL
Shipment,MOTHERHUB_KOL-MOTHERHUB_BIL-20.0286111111111,22.708183,88.28565,19.2374987,73.0362352,MOTHERHUB_KOL,MOTHERHUB_BIL,72103,165,352903,MOTHERHUB_KOL,MOTHERHUB_BIL
Shipment,MOTHERHUB_KOL-MOTHERHUB_BIL-21.2561111111111,22.708183,88.28565,19.2374987,73.0362352,MOTHERHUB_KOL,MOTHERHUB_BIL,76522,170,357322,MOTHERHUB_KOL,MOTHERHUB_BIL
Shipment,MOTHERHUB_KOL-MOTHERHUB_BIL-3,22.708183,88.28565,19.2374987,73.0362352,MOTHERHUB_KOL,MOTHERHUB_BIL,10800,763,291600,MOTHERHUB_KOL,MOTHERHUB_BIL
Shipment,MOTHERHUB_KOL-MOTHERHUB_BLR-13.9855555555556,22.708183,88.28565,12.9842798,77.8242648,MOTHERHUB_KOL,MOTHERHUB_BLR,50348,222,331148,MOTHERHUB_KOL,MOTHERHUB_BLR
Shipment,MOTHERHUB_KOL-MOTHERHUB_BLR-17.9336111111111,22.708183,88.28565,12.9842798,77.8242648,MOTHERHUB_KOL,MOTHERHUB_BLR,64561,227,345361,MOTHERHUB_KOL,MOTHERHUB_BLR
