Type,key,src_lat,src_long,dest_lat,dest_long,origin_hub,dest_mh,order_pattern,Load
Shipment,MOTHERHUB_CJB-MOTHERHUB_PAT,11.0633423,77.0910944,25.587197,85.185842,MOTHERHUB_CJB,MOTHERHUB_PAT,0,18
Shipment,MOTHERHUB_CJB-MOTHERHUB_GAU,11.0633423,77.0910944,26.043197,91.705232,MOTHERHUB_CJB,MOTHERHUB_GAU,0,21
Shipment,MOTHERHUB_CJB-MOTHERHUB_LKO,11.0633423,77.0910944,26.755912,80.910939,MOTHERHUB_CJB,MOTHERHUB_LKO,0,16
Shipment,MOTHERHUB_CJB-MOTHERHUB_JAI,11.0633423,77.0910944,26.948928,75.761927,MOTHERHUB_CJB,MOTHERHUB_JAI,0,36
Shipment,MOTHERHUB_CJB-MOTHERHUB_PTI,11.0633423,77.0910944,28.294166,76.855804,MOTHERHUB_CJB,MOTHERHUB_PTI,0,167
Shipment,MOTHERHUB_CJB-MOTHERHUB_BAM,11.0633423,77.0910944,28.545321,77.02914,MOTHERHUB_CJB,MOTHERHUB_BAM,0,30
Shipment,MOTHERHUB_CJB-MOTHERHUB_ABL,11.0633423,77.0910944,30.396612,76.8116,MOTHERHUB_CJB,MOTHERHUB_ABL,0,20
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,0,2871
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,0,1103
Shipment,MOTHERHUB_BLR-MOTHERHUB_CHN,12.9842798,77.8242648,13.04591,80.067723,MOTHERHUB_BLR,MOTHERHUB_CHN,0,3313
Shipment,MOTHERHUB_BLR-MOTHERHUB_GOA,12.9842798,77.8242648,15.3682554,73.946764,MOTHERHUB_BLR,MOTHERHUB_GOA,0,660
Shipment,MOTHERHUB_BLR-MOTHERHUB_MED,12.9842798,77.8242648,17.580519,78.469527,MOTHERHUB_BLR,MOTHERHUB_MED,0,4806
Shipment,MOTHERHUB_BLR-MOTHERHUB_PUNE,12.9842798,77.8242648,18.6087917,73.7268817,MOTHERHUB_BLR,MOTHERHUB_PUNE,0,2551
Shipment,MOTHERHUB_BLR-MOTHERHUB_MUM,12.9842798,77.8242648,19.1170238,72.8580558,MOTHERHUB_BLR,MOTHERHUB_MUM,0,1434
Shipment,MOTHERHUB_BLR-MOTHERHUB_BIL,12.9842798,77.8242648,19.2374987,73.0362352,MOTHERHUB_BLR,MOTHERHUB_BIL,0,1421
Shipment,MOTHERHUB_BLR-MOTHERHUB_BBI,12.9842798,77.8242648,20.295471,85.84707,MOTHERHUB_BLR,MOTHERHUB_BBI,0,943
Shipment,MOTHERHUB_BLR-MOTHERHUB_STV,12.9842798,77.8242648,21.0895987,72.900005,MOTHERHUB_BLR,MOTHERHUB_STV,0,361
Shipment,MOTHERHUB_BLR-MOTHERHUB_RAI,12.9842798,77.8242648,22.056106,82.171855,MOTHERHUB_BLR,MOTHERHUB_RAI,0,417
Shipment,MOTHERHUB_BLR-MOTHERHUB_KOL,12.9842798,77.8242648,22.708183,88.28565,MOTHERHUB_BLR,MOTHERHUB_KOL,0,2989
Shipment,MOTHERHUB_BLR-MOTHERHUB_IDR,12.9842798,77.8242648,22.777113,75.9021171,MOTHERHUB_BLR,MOTHERHUB_IDR,0,902
Shipment,MOTHERHUB_BLR-MOTHERHUB_AMD,12.9842798,77.8242648,22.8978044,72.5902141,MOTHERHUB_BLR,MOTHERHUB_AMD,0,1183
Shipment,MOTHERHUB_BLR-MOTHERHUB_IXR,12.9842798,77.8242648,23.352715,85.343538,MOTHERHUB_BLR,MOTHERHUB_IXR,0,589
Shipment,MOTHERHUB_BLR-MOTHERHUB_PAT,12.9842798,77.8242648,25.587197,85.185842,MOTHERHUB_BLR,MOTHERHUB_PAT,0,888
Shipment,MOTHERHUB_BLR-MOTHERHUB_GAU,12.9842798,77.8242648,26.043197,91.705232,MOTHERHUB_BLR,MOTHERHUB_GAU,0,1188
Shipment,MOTHERHUB_BLR-MOTHERHUB_LKO,12.9842798,77.8242648,26.755912,80.910939,MOTHERHUB_BLR,MOTHERHUB_LKO,0,758
Shipment,MOTHERHUB_BLR-MOTHERHUB_JAI,12.9842798,77.8242648,26.948928,75.761927,MOTHERHUB_BLR,MOTHERHUB_JAI,0,1445
Shipment,MOTHERHUB_BLR-MOTHERHUB_PTI,12.9842798,77.8242648,28.294166,76.855804,MOTHERHUB_BLR,MOTHERHUB_PTI,0,3135
Shipment,MOTHERHUB_BLR-MOTHERHUB_BAM,12.9842798,77.8242648,28.545321,77.02914,MOTHERHUB_BLR,MOTHERHUB_BAM,0,3395
Shipment,MOTHERHUB_BLR-MOTHERHUB_ABL,12.9842798,77.8242648,30.396612,76.8116,MOTHERHUB_BLR,MOTHERHUB_ABL,0,1080
Shipment,MOTHERHUB_CHN-COCHINTCHUB_KAM,13.04591,80.067723,10.0435449,76.3367287,MOTHERHUB_CHN,COCHINTCHUB_KAM,0,625
Shipment,MOTHERHUB_CHN-MOTHERHUB_CJB,13.04591,80.067723,11.0633423,77.0910944,MOTHERHUB_CHN,MOTHERHUB_CJB,0,334
Shipment,MOTHERHUB_CHN-MOTHERHUB_BLR,13.04591,80.067723,12.9842798,77.8242648,MOTHERHUB_CHN,MOTHERHUB_BLR,0,3965
Shipment,MOTHERHUB_CHN-MOTHERHUB_GOA,13.04591,80.067723,15.3682554,73.946764,MOTHERHUB_CHN,MOTHERHUB_GOA,0,169
Shipment,MOTHERHUB_CHN-MOTHERHUB_MED,13.04591,80.067723,17.580519,78.469527,MOTHERHUB_CHN,MOTHERHUB_MED,0,1460
Shipment,MOTHERHUB_CHN-MOTHERHUB_PUNE,13.04591,80.067723,18.6087917,73.7268817,MOTHERHUB_CHN,MOTHERHUB_PUNE,0,779
Shipment,MOTHERHUB_CHN-MOTHERHUB_MUM,13.04591,80.067723,19.1170238,72.8580558,MOTHERHUB_CHN,MOTHERHUB_MUM,0,575
Shipment,MOTHERHUB_CHN-MOTHERHUB_BIL,13.04591,80.067723,19.2374987,73.0362352,MOTHERHUB_CHN,MOTHERHUB_BIL,0,543
Shipment,MOTHERHUB_CHN-MOTHERHUB_BBI,13.04591,80.067723,20.295471,85.84707,MOTHERHUB_CHN,MOTHERHUB_BBI,0,281
Shipment,MOTHERHUB_CHN-MOTHERHUB_STV,13.04591,80.067723,21.0895987,72.900005,MOTHERHUB_CHN,MOTHERHUB_STV,0,196
Shipment,MOTHERHUB_CHN-MOTHERHUB_RAI,13.04591,80.067723,22.056106,82.171855,MOTHERHUB_CHN,MOTHERHUB_RAI,0,109
Shipment,MOTHERHUB_CHN-MOTHERHUB_KOL,13.04591,80.067723,22.708183,88.28565,MOTHERHUB_CHN,MOTHERHUB_KOL,0,1013
Shipment,MOTHERHUB_CHN-MOTHERHUB_IDR,13.04591,80.067723,22.777113,75.9021171,MOTHERHUB_CHN,MOTHERHUB_IDR,0,296
Shipment,MOTHERHUB_CHN-MOTHERHUB_AMD,13.04591,80.067723,22.8978044,72.5902141,MOTHERHUB_CHN,MOTHERHUB_AMD,0,551
Shipment,MOTHERHUB_CHN-MOTHERHUB_IXR,13.04591,80.067723,23.352715,85.343538,MOTHERHUB_CHN,MOTHERHUB_IXR,0,154
Shipment,MOTHERHUB_CHN-MOTHERHUB_PAT,13.04591,80.067723,25.587197,85.185842,MOTHERHUB_CHN,MOTHERHUB_PAT,0,293
Shipment,MOTHERHUB_CHN-MOTHERHUB_GAU,13.04591,80.067723,26.043197,91.705232,MOTHERHUB_CHN,MOTHERHUB_GAU,0,271
Shipment,MOTHERHUB_CHN-MOTHERHUB_LKO,13.04591,80.067723,26.755912,80.910939,MOTHERHUB_CHN,MOTHERHUB_LKO,0,113
Shipment,MOTHERHUB_CHN-MOTHERHUB_JAI,13.04591,80.067723,26.948928,75.761927,MOTHERHUB_CHN,MOTHERHUB_JAI,0,435
Shipment,MOTHERHUB_CHN-MOTHERHUB_PTI,13.04591,80.067723,28.294166,76.855804,MOTHERHUB_CHN,MOTHERHUB_PTI,0,1129
Shipment,MOTHERHUB_CHN-MOTHERHUB_BAM,13.04591,80.067723,28.545321,77.02914,MOTHERHUB_CHN,MOTHERHUB_BAM,0,1310
Shipment,MOTHERHUB_CHN-MOTHERHUB_ABL,13.04591,80.067723,30.396612,76.8116,MOTHERHUB_CHN,MOTHERHUB_ABL,0,269
Shipment,MOTHERHUB_GOA-COCHINTCHUB_KAM,15.3682554,73.946764,10.0435449,76.3367287,MOTHERHUB_GOA,COCHINTCHUB_KAM,0,14
Shipment,MOTHERHUB_GOA-MOTHERHUB_CJB,15.3682554,73.946764,11.0633423,77.0910944,MOTHERHUB_GOA,MOTHERHUB_CJB,0,12
Shipment,MOTHERHUB_GOA-MOTHERHUB_BLR,15.3682554,73.946764,12.9842798,77.8242648,MOTHERHUB_GOA,MOTHERHUB_BLR,0,160
Shipment,MOTHERHUB_GOA-MOTHERHUB_CHN,15.3682554,73.946764,13.04591,80.067723,MOTHERHUB_GOA,MOTHERHUB_CHN,0,20
Shipment,MOTHERHUB_GOA-MOTHERHUB_MED,15.3682554,73.946764,17.580519,78.469527,MOTHERHUB_GOA,MOTHERHUB_MED,0,70
Shipment,MOTHERHUB_GOA-MOTHERHUB_PUNE,15.3682554,73.946764,18.6087917,73.7268817,MOTHERHUB_GOA,MOTHERHUB_PUNE,0,38
Shipment,MOTHERHUB_GOA-MOTHERHUB_MUM,15.3682554,73.946764,19.1170238,72.8580558,MOTHERHUB_GOA,MOTHERHUB_MUM,0,31
Shipment,MOTHERHUB_GOA-MOTHERHUB_BIL,15.3682554,73.946764,19.2374987,73.0362352,MOTHERHUB_GOA,MOTHERHUB_BIL,0,79
Shipment,MOTHERHUB_GOA-MOTHERHUB_BBI,15.3682554,73.946764,20.295471,85.84707,MOTHERHUB_GOA,MOTHERHUB_BBI,0,12
Shipment,MOTHERHUB_GOA-MOTHERHUB_STV,15.3682554,73.946764,21.0895987,72.900005,MOTHERHUB_GOA,MOTHERHUB_STV,0,27
Shipment,MOTHERHUB_GOA-MOTHERHUB_RAI,15.3682554,73.946764,22.056106,82.171855,MOTHERHUB_GOA,MOTHERHUB_RAI,0,6
