Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,DH,dest_mh,ready_time,Load,pickup_add_time,finalready_time
Shipment,MOTHERHUB_ABL-SHIMLAHUB_SHM-c,30.396612,76.8116,31.074597,77.182889,SHIMLAHUB_SHM,MOTHERHUB_ABL,72000,201,14400,86400
Shipment,MOTHERHUB_ABL-SHIMLAHUB_SHM-p,30.396612,76.8116,31.074597,77.182889,SHIMLAHUB_SHM,MOTHERHUB_ABL,72000,318,0,72000
Shipment,MOTHERHUB_AMD-AJWAHUB_BDQ-c,22.8978044,72.5902141,22.3116149,73.238837,AJWAHUB_BDQ,MOTHERHUB_AMD,72000,50,14400,86400
Shipment,MOTHERHUB_AMD-AJWAHUB_BDQ-p,22.8978044,72.5902141,22.3116149,73.238837,AJWAHUB_BDQ,MOTHERHUB_AMD,72000,1,0,72000
Shipment,MOTHERHUB_AMD-AKOTAHUB_BDQ-c,22.8978044,72.5902141,22.3058105,73.1799038,AKOTAHUB_BDQ,MOTHERHUB_AMD,72000,127,14400,86400
Shipment,MOTHERHUB_AMD-AKOTAHUB_BDQ-p,22.8978044,72.5902141,22.3058105,73.1799038,AKOTAHUB_BDQ,MOTHERHUB_AMD,72000,1003,0,72000
Shipment,MOTHERHUB_AMD-ANANDHUB_AMD-c,22.8978044,72.5902141,22.556447,72.963939,ANANDHUB_AMD,MOTHERHUB_AMD,72000,155,14400,86400
Shipment,MOTHERHUB_AMD-ANANDHUB_AMD-p,22.8978044,72.5902141,22.556447,72.963939,ANANDHUB_AMD,MOTHERHUB_AMD,72000,202,0,72000
Shipment,MOTHERHUB_AMD-BAPUNAGARHUB_AMD-c,22.8978044,72.5902141,23.0387,72.6308,BAPUNAGARHUB_AMD,MOTHERHUB_AMD,72000,164,14400,86400
Shipment,MOTHERHUB_AMD-BAPUNAGARHUB_AMD-p,22.8978044,72.5902141,23.0387,72.6308,BAPUNAGARHUB_AMD,MOTHERHUB_AMD,72000,222,0,72000
Shipment,MOTHERHUB_AMD-BHARUCHHUB_BRH-c,22.8978044,72.5902141,21.718804,72.985729,BHARUCHHUB_BRH,MOTHERHUB_AMD,72000,174,14400,86400
Shipment,MOTHERHUB_AMD-BHARUCHHUB_BRH-p,22.8978044,72.5902141,21.718804,72.985729,BHARUCHHUB_BRH,MOTHERHUB_AMD,72000,428,0,72000
Shipment,MOTHERHUB_AMD-BHAVNAGARHUB_BVG-c,22.8978044,72.5902141,21.7619982,72.1540159,BHAVNAGARHUB_BVG,MOTHERHUB_AMD,72000,193,14400,86400
Shipment,MOTHERHUB_AMD-BHAVNAGARHUB_BVG-p,22.8978044,72.5902141,21.7619982,72.1540159,BHAVNAGARHUB_BVG,MOTHERHUB_AMD,72000,121,0,72000
Shipment,MOTHERHUB_AMD-BHUJHUB_BHJ-c,22.8978044,72.5902141,23.242865,69.6398817,BHUJHUB_BHJ,MOTHERHUB_AMD,72000,160,14400,86400
Shipment,MOTHERHUB_AMD-BHUJHUB_BHJ-p,22.8978044,72.5902141,23.242865,69.6398817,BHUJHUB_BHJ,MOTHERHUB_AMD,72000,106,0,72000
Shipment,MOTHERHUB_AMD-BOPALHUB_AMD-c,22.8978044,72.5902141,23.2599,77.4126,BOPALHUB_AMD,MOTHERHUB_AMD,72000,161,14400,86400
Shipment,MOTHERHUB_AMD-BOPALHUB_AMD-p,22.8978044,72.5902141,23.2599,77.4126,BOPALHUB_AMD,MOTHERHUB_AMD,72000,224,0,72000
Shipment,MOTHERHUB_AMD-CGROADHUB_ADI-c,22.8978044,72.5902141,23.0386028,72.5633219,CGROADHUB_ADI,MOTHERHUB_AMD,72000,195,14400,86400
Shipment,MOTHERHUB_AMD-CGROADHUB_ADI-p,22.8978044,72.5902141,23.0386028,72.5633219,CGROADHUB_ADI,MOTHERHUB_AMD,72000,270,0,72000
Shipment,MOTHERHUB_AMD-GANDHIDHAMHUB_GDM-c,22.8978044,72.5902141,23.0803778,70.0947859,GANDHIDHAMHUB_GDM,MOTHERHUB_AMD,72000,170,14400,86400
