Type,key,src_final_lat,src_final_long,nat_src_lat,nat_src_long,src_final,nat_src,hour_bucket,Load
Shipment,MOTHERHUB_ABL-MOTHERHUB_PTI-4,30.396612,76.8116,28.294166,76.855804,MOTHERHUB_ABL,MOTHERHUB_PTI,14400,43
Shipment,MOTHERHUB_LKO-MOTHERHUB_PTI-4,26.755912,80.910939,28.294166,76.855804,MOTHERHUB_LKO,MOTHERHUB_PTI,14400,127
Shipment,MOTHERHUB_IDR-MOTHERHUB_PTI-4,22.777113,75.9021171,28.294166,76.855804,MOTHERHUB_IDR,MOTHERHUB_PTI,14400,36
Shipment,MOTHERHUB_ABL-MOTHERHUB_PTI-8,30.396612,76.8116,28.294166,76.855804,MOTHERHUB_ABL,MOTHERHUB_PTI,28800,21
Shipment,MOTHERHUB_LKO-MOTHERHUB_PTI-8,26.755912,80.910939,28.294166,76.855804,MOTHERHUB_LKO,MOTHERHUB_PTI,28800,65
Shipment,MOTHERHUB_IDR-MOTHERHUB_PTI-8,22.777113,75.9021171,28.294166,76.855804,MOTHERHUB_IDR,MOTHERHUB_PTI,28800,25
Shipment,MOTHERHUB_ABL-MOTHERHUB_PTI-12,30.396612,76.8116,28.294166,76.855804,MOTHERHUB_ABL,MOTHERHUB_PTI,43200,117
Shipment,MOTHERHUB_LKO-MOTHERHUB_PTI-12,26.755912,80.910939,28.294166,76.855804,MOTHERHUB_LKO,MOTHERHUB_PTI,43200,380
Shipment,MOTHERHUB_IDR-MOTHERHUB_PTI-12,22.777113,75.9021171,28.294166,76.855804,MOTHERHUB_IDR,MOTHERHUB_PTI,43200,114
Shipment,MOTHERHUB_ABL-MOTHERHUB_PTI-16,30.396612,76.8116,28.294166,76.855804,MOTHERHUB_ABL,MOTHERHUB_PTI,57600,150
Shipment,MOTHERHUB_LKO-MOTHERHUB_PTI-16,26.755912,80.910939,28.294166,76.855804,MOTHERHUB_LKO,MOTHERHUB_PTI,57600,485
Shipment,MOTHERHUB_IDR-MOTHERHUB_PTI-16,22.777113,75.9021171,28.294166,76.855804,MOTHERHUB_IDR,MOTHERHUB_PTI,57600,141
Shipment,MOTHERHUB_ABL-MOTHERHUB_PTI-20,30.396612,76.8116,28.294166,76.855804,MOTHERHUB_ABL,MOTHERHUB_PTI,72000,141
Shipment,MOTHERHUB_LKO-MOTHERHUB_PTI-20,26.755912,80.910939,28.294166,76.855804,MOTHERHUB_LKO,MOTHERHUB_PTI,72000,415
Shipment,MOTHERHUB_IDR-MOTHERHUB_PTI-20,22.777113,75.9021171,28.294166,76.855804,MOTHERHUB_IDR,MOTHERHUB_PTI,72000,130
Shipment,MOTHERHUB_ABL-MOTHERHUB_PTI-24,30.396612,76.8116,28.294166,76.855804,MOTHERHUB_ABL,MOTHERHUB_PTI,86400,143
Shipment,MOTHERHUB_LKO-MOTHERHUB_PTI-24,26.755912,80.910939,28.294166,76.855804,MOTHERHUB_LKO,MOTHERHUB_PTI,86400,412
Shipment,MOTHERHUB_IDR-MOTHERHUB_PTI-24,22.777113,75.9021171,28.294166,76.855804,MOTHERHUB_IDR,MOTHERHUB_PTI,86400,135
