Type,key,zonal_src_MH_lat,zonal_src_MH_long,zonal_dest_MH_lat,zonal_dest_MH_long,zonal_src_MH,zonal_dest_MH,Ready_time,Load
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-33.05777778,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,119008,5623
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-42.52805556,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,153101,992
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-50.8675,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,183123,3627
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-3,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,10800,648
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-33.05777778,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,119008,2005
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-42.52805556,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,153101,594
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-50.8675,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,183123,1647
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-3,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,10800,961
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-33.05777778,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,119008,4549
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-42.52805556,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,153101,884
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-50.8675,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,183123,3308
Shipment,MOTHERHUB_KOL-MOTHERHUB_RAI-3,22.708183,88.28565,22.056106,82.171855,MOTHERHUB_KOL,MOTHERHUB_RAI,10800,346
Shipment,MOTHERHUB_KOL-MOTHERHUB_RAI-33.05777778,22.708183,88.28565,22.056106,82.171855,MOTHERHUB_KOL,MOTHERHUB_RAI,119008,1128
Shipment,MOTHERHUB_KOL-MOTHERHUB_RAI-42.52805556,22.708183,88.28565,22.056106,82.171855,MOTHERHUB_KOL,MOTHERHUB_RAI,153101,502
Shipment,MOTHERHUB_KOL-MOTHERHUB_RAI-50.8675,22.708183,88.28565,22.056106,82.171855,MOTHERHUB_KOL,MOTHERHUB_RAI,183123,1459
Shipment,MOTHERHUB_PTI-MOTHERHUB_ABL-3,28.294166,76.855804,30.396612,76.8116,MOTHERHUB_PTI,MOTHERHUB_ABL,10800,5300
Shipment,MOTHERHUB_PTI-MOTHERHUB_ABL-13.35388889,28.294166,76.855804,30.396612,76.8116,MOTHERHUB_PTI,MOTHERHUB_ABL,48074,318
Shipment,MOTHERHUB_PTI-MOTHERHUB_ABL-20.29805556,28.294166,76.855804,30.396612,76.8116,MOTHERHUB_PTI,MOTHERHUB_ABL,73073,110
Shipment,MOTHERHUB_PTI-MOTHERHUB_ABL-29.19333333,28.294166,76.855804,30.396612,76.8116,MOTHERHUB_PTI,MOTHERHUB_ABL,105096,878
Shipment,MOTHERHUB_PTI-MOTHERHUB_ABL-41.59166667,28.294166,76.855804,30.396612,76.8116,MOTHERHUB_PTI,MOTHERHUB_ABL,149730,1040
Shipment,MOTHERHUB_PTI-MOTHERHUB_ABL-45.62111111,28.294166,76.855804,30.396612,76.8116,MOTHERHUB_PTI,MOTHERHUB_ABL,164236,334
Shipment,MOTHERHUB_PTI-MOTHERHUB_ABL-53.93444444,28.294166,76.855804,30.396612,76.8116,MOTHERHUB_PTI,MOTHERHUB_ABL,194164,1154
Shipment,MOTHERHUB_PTI-MOTHERHUB_IDR-3,28.294166,76.855804,22.777113,75.9021171,MOTHERHUB_PTI,MOTHERHUB_IDR,10800,3803
Shipment,MOTHERHUB_PTI-MOTHERHUB_IDR-13.35388889,28.294166,76.855804,22.777113,75.9021171,MOTHERHUB_PTI,MOTHERHUB_IDR,48074,313
Shipment,MOTHERHUB_PTI-MOTHERHUB_IDR-20.29805556,28.294166,76.855804,22.777113,75.9021171,MOTHERHUB_PTI,MOTHERHUB_IDR,73073,72
Shipment,MOTHERHUB_PTI-MOTHERHUB_IDR-29.19333333,28.294166,76.855804,22.777113,75.9021171,MOTHERHUB_PTI,MOTHERHUB_IDR,105096,769
Shipment,MOTHERHUB_PTI-MOTHERHUB_IDR-41.59166667,28.294166,76.855804,22.777113,75.9021171,MOTHERHUB_PTI,MOTHERHUB_IDR,149730,877
Shipment,MOTHERHUB_PTI-MOTHERHUB_IDR-45.62111111,28.294166,76.855804,22.777113,75.9021171,MOTHERHUB_PTI,MOTHERHUB_IDR,164236,144
Shipment,MOTHERHUB_PTI-MOTHERHUB_IDR-53.93444444,28.294166,76.855804,22.777113,75.9021171,MOTHERHUB_PTI,MOTHERHUB_IDR,194164,842
Shipment,MOTHERHUB_PTI-MOTHERHUB_LKO-3,28.294166,76.855804,26.755912,80.910939,MOTHERHUB_PTI,MOTHERHUB_LKO,10800,6594
Shipment,MOTHERHUB_PTI-MOTHERHUB_LKO-13.35388889,28.294166,76.855804,26.755912,80.910939,MOTHERHUB_PTI,MOTHERHUB_LKO,48074,517
Shipment,MOTHERHUB_PTI-MOTHERHUB_LKO-20.29805556,28.294166,76.855804,26.755912,80.910939,MOTHERHUB_PTI,MOTHERHUB_LKO,73073,158
Shipment,MOTHERHUB_PTI-MOTHERHUB_LKO-29.19333333,28.294166,76.855804,26.755912,80.910939,MOTHERHUB_PTI,MOTHERHUB_LKO,105096,1445
Shipment,MOTHERHUB_PTI-MOTHERHUB_LKO-41.59166667,28.294166,76.855804,26.755912,80.910939,MOTHERHUB_PTI,MOTHERHUB_LKO,149730,733
Shipment,MOTHERHUB_PTI-MOTHERHUB_LKO-45.62111111,28.294166,76.855804,26.755912,80.910939,MOTHERHUB_PTI,MOTHERHUB_LKO,164236,318
Shipment,MOTHERHUB_PTI-MOTHERHUB_LKO-53.93444444,28.294166,76.855804,26.755912,80.910939,MOTHERHUB_PTI,MOTHERHUB_LKO,194164,542
