type,Concat,Lat Source,Long Source,Lat Dest ,Long Dest ,Source,Dest ,Ready Time,Load
Shipment,MotherHub_BAM-MoradabadHub_MRD,28.545321,77.02914,28.830203,78.738543,MotherHub_BAM,MoradabadHub_MRD,0,139
Shipment,MotherHub_BAM-MuzaffarnagarHub_MFN,28.545321,77.02914,29.4726817,77.7085091,MotherHub_BAM,MuzaffarnagarHub_MFN,0,40
Shipment,MotherHub_BAM-NarnaulHub_NNL,28.545321,77.02914,28.069324,76.106757,MotherHub_BAM,NarnaulHub_NNL,0,43
Shipment,MotherHub_BAM-PalwalHub_PLW,28.545321,77.02914,28.151348,77.334179,MotherHub_BAM,PalwalHub_PLW,0,1319
Shipment,MotherHub_BAM-PanipatHub_PPT,28.545321,77.02914,29.411689,76.971994,MotherHub_BAM,PanipatHub_PPT,0,73
Shipment,MotherHub_BAM-PhagwaraHub_PGR,28.545321,77.02914,31.200919,75.776276,MotherHub_BAM,PhagwaraHub_PGR,0,54
Shipment,MotherHub_BAM-RewariHub_RWR,28.545321,77.02914,28.197577,76.6242022,MotherHub_BAM,RewariHub_RWR,0,49
Shipment,MotherHub_BAM-RohtakHub_ROH,28.545321,77.02914,28.882957,76.619906,MotherHub_BAM,RohtakHub_ROH,0,149
Shipment,MotherHub_BAM-RudrapurHub_RDP,28.545321,77.02914,28.987508,79.414121,MotherHub_BAM,RudrapurHub_RDP,0,49
Shipment,MotherHub_BAM-SaharanpurHub_SHP,28.545321,77.02914,29.956038,77.545236,MotherHub_BAM,SaharanpurHub_SHP,0,115
Shipment,MotherHub_BAM-SirsaHub_SRS,28.545321,77.02914,29.536369,75.015843,MotherHub_BAM,SirsaHub_SRS,0,52
Shipment,MotherHub_BAM-SonepatHub_SOP,28.545321,77.02914,28.999545,77.032738,MotherHub_BAM,SonepatHub_SOP,0,68
Shipment,MotherHub_BAM-SrinagarHub_SRG,28.545321,77.02914,34.057386,74.824942,MotherHub_BAM,SrinagarHub_SRG,0,7
Shipment,MotherHub_BAM-YamunaNagarHub_YNR,28.545321,77.02914,30.126579,77.294879,MotherHub_BAM,YamunaNagarHub_YNR,0,57
