Type,key,src_lat,src_long,dest_lat,dest_long,src,dest,Ready_time,Load,Delivery_start_time,Delivery_end_time,time,hour,t,Load
Shipment,MotherHub_AMD_godhrahub_ghr_11,22.8978044,72.5902141,22.84282,73.76371,MotherHub_AMD,godhrahub_ghr,39600,43,117000,122400,5.216633622,11,0.204,210
Shipment,MotherHub_AMD_godhrahub_ghr_15,22.8978044,72.5902141,22.84282,73.76371,MotherHub_AMD,godhrahub_ghr,54000,46,117000,122400,5.216633622,15,0.216,210
Shipment,MotherHub_AMD_godhrahub_ghr_19,22.8978044,72.5902141,22.84282,73.76371,MotherHub_AMD,godhrahub_ghr,68400,51,117000,122400,5.216633622,19,0.242,210
Shipment,MotherHub_AMD_godhrahub_ghr_23,22.8978044,72.5902141,22.84282,73.76371,MotherHub_AMD,godhrahub_ghr,82800,54,117000,122400,5.216633622,23,0.253,210
Shipment,MotherHub_AMD_jamnagarhub_qgr_3,22.8978044,72.5902141,22.468992,70.0412043,MotherHub_AMD,jamnagarhub_qgr,10800,39,108000,122400,11.51888302,3,0.051,751
Shipment,MotherHub_AMD_jamnagarhub_qgr_7,22.8978044,72.5902141,22.468992,70.0412043,MotherHub_AMD,jamnagarhub_qgr,25200,26,108000,122400,11.51888302,7,0.034,751
Shipment,MotherHub_AMD_jamnagarhub_qgr_11,22.8978044,72.5902141,22.468992,70.0412043,MotherHub_AMD,jamnagarhub_qgr,39600,154,108000,122400,11.51888302,11,0.204,751
Shipment,MotherHub_AMD_jamnagarhub_qgr_15,22.8978044,72.5902141,22.468992,70.0412043,MotherHub_AMD,jamnagarhub_qgr,54000,163,108000,122400,11.51888302,15,0.216,751
Shipment,MotherHub_AMD_jamnagarhub_qgr_19,22.8978044,72.5902141,22.468992,70.0412043,MotherHub_AMD,jamnagarhub_qgr,68400,182,108000,122400,11.51888302,19,0.242,751
Shipment,MotherHub_AMD_jamnagarhub_qgr_23,22.8978044,72.5902141,22.468992,70.0412043,MotherHub_AMD,jamnagarhub_qgr,82800,191,108000,122400,11.51888302,23,0.253,751
Shipment,MotherHub_AMD_junagadhhub_ixk_3,22.8978044,72.5902141,21.5219366,70.4552781,MotherHub_AMD,junagadhhub_ixk,10800,18,108000,122400,11.60371472,3,0.051,341
Shipment,MotherHub_AMD_junagadhhub_ixk_7,22.8978044,72.5902141,21.5219366,70.4552781,MotherHub_AMD,junagadhhub_ixk,25200,12,108000,122400,11.60371472,7,0.034,341
Shipment,MotherHub_AMD_junagadhhub_ixk_11,22.8978044,72.5902141,21.5219366,70.4552781,MotherHub_AMD,junagadhhub_ixk,39600,70,108000,122400,11.60371472,11,0.204,341
Shipment,MotherHub_AMD_junagadhhub_ixk_15,22.8978044,72.5902141,21.5219366,70.4552781,MotherHub_AMD,junagadhhub_ixk,54000,74,108000,122400,11.60371472,15,0.216,341
Shipment,MotherHub_AMD_junagadhhub_ixk_19,22.8978044,72.5902141,21.5219366,70.4552781,MotherHub_AMD,junagadhhub_ixk,68400,83,108000,122400,11.60371472,19,0.242,341
Shipment,MotherHub_AMD_junagadhhub_ixk_23,22.8978044,72.5902141,21.5219366,70.4552781,MotherHub_AMD,junagadhhub_ixk,82800,87,108000,122400,11.60371472,23,0.253,341
Shipment,MotherHub_AMD_kalawadroadhub_raj_3,22.8978044,72.5902141,22.2850443,70.7723721,MotherHub_AMD,kalawadroadhub_raj,10800,79,97200,118800,8.609088434,3,0.051,1532
Shipment,MotherHub_AMD_kalawadroadhub_raj_7,22.8978044,72.5902141,22.2850443,70.7723721,MotherHub_AMD,kalawadroadhub_raj,25200,53,97200,118800,8.609088434,7,0.034,1532
Shipment,MotherHub_AMD_kalawadroadhub_raj_11,22.8978044,72.5902141,22.2850443,70.7723721,MotherHub_AMD,kalawadroadhub_raj,39600,313,97200,118800,8.609088434,11,0.204,1532
Shipment,MotherHub_AMD_kalawadroadhub_raj_15,22.8978044,72.5902141,22.2850443,70.7723721,MotherHub_AMD,kalawadroadhub_raj,54000,331,97200,118800,8.609088434,15,0.216,1532
Shipment,MotherHub_AMD_kalawadroadhub_raj_19,22.8978044,72.5902141,22.2850443,70.7723721,MotherHub_AMD,kalawadroadhub_raj,68400,371,97200,118800,8.609088434,19,0.242,1532
Shipment,MotherHub_AMD_kalawadroadhub_raj_23,22.8978044,72.5902141,22.2850443,70.7723721,MotherHub_AMD,kalawadroadhub_raj,82800,388,97200,118800,8.609088434,23,0.253,1532
Shipment,MotherHub_AMD_morbihub_mrb_3,22.8978044,72.5902141,22.8185931,70.821625,MotherHub_AMD,morbihub_mrb,10800,14,108000,122400,7.861845596,3,0.051,274
Shipment,MotherHub_AMD_morbihub_mrb_7,22.8978044,72.5902141,22.8185931,70.821625,MotherHub_AMD,morbihub_mrb,25200,10,108000,122400,7.861845596,7,0.034,274
Shipment,MotherHub_AMD_morbihub_mrb_11,22.8978044,72.5902141,22.8185931,70.821625,MotherHub_AMD,morbihub_mrb,39600,56,108000,122400,7.861845596,11,0.204,274
Shipment,MotherHub_AMD_morbihub_mrb_15,22.8978044,72.5902141,22.8185931,70.821625,MotherHub_AMD,morbihub_mrb,54000,60,108000,122400,7.861845596,15,0.216,274
Shipment,MotherHub_AMD_morbihub_mrb_19,22.8978044,72.5902141,22.8185931,70.821625,MotherHub_AMD,morbihub_mrb,68400,67,108000,122400,7.861845596,19,0.242,274
Shipment,MotherHub_AMD_morbihub_mrb_23,22.8978044,72.5902141,22.8185931,70.821625,MotherHub_AMD,morbihub_mrb,82800,70,108000,122400,7.861845596,23,0.253,274
Shipment,MotherHub_AMD_MotherHub_BIL_3,22.8978044,72.5902141,19.2374987,73.0362352,MotherHub_AMD,MotherHub_BIL,10800,43,86400,129600,17.75058603,3,0.051,826
Shipment,MotherHub_AMD_MotherHub_BIL_7,22.8978044,72.5902141,19.2374987,73.0362352,MotherHub_AMD,MotherHub_BIL,25200,29,86400,129600,17.75058603,7,0.034,826
