Type,key,src_lat,src_long,dest_lat,dest_long,origin_hub,dest_mh,order_pattern,Load,SLA
Shipment,MotherHub_ABL-CochinTCHub_KAM,30.396612,76.8116,10.0435449,76.3367287,MotherHub_ABL,CochinTCHub_KAM,0,42,213739
Shipment,MotherHub_ABL-MotherHub_AMD,30.396612,76.8116,22.8978044,72.5902141,MotherHub_ABL,MotherHub_AMD,0,33,250252
Shipment,MotherHub_ABL-MotherHub_BBI,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,0,24,207878
Shipment,MotherHub_ABL-MotherHub_BIL,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,0,30,232713
Shipment,MotherHub_ABL-MotherHub_BLR,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,0,178,209592
Shipment,MotherHub_ABL-MotherHub_BNO,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,0,107,99495
Shipment,MotherHub_ABL-MotherHub_CHN,30.396612,76.8116,13.04591,80.067723,MotherHub_ABL,MotherHub_CHN,0,39,163526
Shipment,MotherHub_ABL-MotherHub_CJB,30.396612,76.8116,11.0633423,77.0910944,MotherHub_ABL,MotherHub_CJB,0,14,243773
Shipment,MotherHub_ABL-MotherHub_GAU,30.396612,76.8116,26.043197,91.705232,MotherHub_ABL,MotherHub_GAU,0,48,235303
Shipment,MotherHub_ABL-MotherHub_GOA,30.396612,76.8116,15.3682554,73.946764,MotherHub_ABL,MotherHub_GOA,0,19,226931
Shipment,MotherHub_ABL-MotherHub_IDR,30.396612,76.8116,22.777113,75.9021171,MotherHub_ABL,MotherHub_IDR,0,25,191838
Shipment,MotherHub_ABL-MotherHub_IXR,30.396612,76.8116,23.352715,85.343538,MotherHub_ABL,MotherHub_IXR,0,16,219335
Shipment,MotherHub_ABL-MotherHub_JAI,30.396612,76.8116,26.948928,75.761927,MotherHub_ABL,MotherHub_JAI,0,32,167507
Shipment,MotherHub_ABL-MotherHub_KOL,30.396612,76.8116,22.708183,88.28565,MotherHub_ABL,MotherHub_KOL,0,92,198113
