Type,Key,src_lat,src_long,dest_lat,dest_long,Source,Dest,Ready_time,Load
Shipment,MOTHERHUB_BLR-MOTHERHUB_PTI-1,12.9842798,77.8242648,28.294166,76.855804,MOTHERHUB_BLR,MOTHERHUB_PTI,10800,5904
Shipment,MOTHERHUB_BLR-MOTHERHUB_PUNE,12.9842798,77.8242648,18.6087917,73.7268817,MOTHERHUB_BLR,MOTHERHUB_PUNE,10800,4653
Shipment,MOTHERHUB_CHN-MOTHERHUB_AMD,13.04591,80.067723,22.8978044,72.5902141,MOTHERHUB_CHN,MOTHERHUB_AMD,10800,558
Shipment,MOTHERHUB_CHN-MOTHERHUB_BBI,13.04591,80.067723,20.295471,85.84707,MOTHERHUB_CHN,MOTHERHUB_BBI,10800,308
Shipment,MOTHERHUB_CHN-MOTHERHUB_BIL,13.04591,80.067723,19.2374987,73.0362352,MOTHERHUB_CHN,MOTHERHUB_BIL,10800,905
Shipment,MOTHERHUB_CHN-MOTHERHUB_BLR,13.04591,80.067723,12.9842798,77.8242648,MOTHERHUB_CHN,MOTHERHUB_BLR,10800,4211
Shipment,MOTHERHUB_CHN-MOTHERHUB_GAU,13.04591,80.067723,26.043197,91.705232,MOTHERHUB_CHN,MOTHERHUB_GAU,10800,357
Shipment,MOTHERHUB_CHN-MOTHERHUB_IXR,13.04591,80.067723,23.352715,85.343538,MOTHERHUB_CHN,MOTHERHUB_IXR,10800,195
Shipment,MOTHERHUB_CHN-MOTHERHUB_KOL,13.04591,80.067723,22.708183,88.28565,MOTHERHUB_CHN,MOTHERHUB_KOL,10800,1253
Shipment,MOTHERHUB_CHN-MOTHERHUB_MED,13.04591,80.067723,17.580519,78.469527,MOTHERHUB_CHN,MOTHERHUB_MED,10800,1518
Shipment,MOTHERHUB_CHN-MOTHERHUB_PAT,13.04591,80.067723,25.587197,85.185842,MOTHERHUB_CHN,MOTHERHUB_PAT,10800,358
Shipment,MOTHERHUB_CHN-MOTHERHUB_PTI,13.04591,80.067723,28.294166,76.855804,MOTHERHUB_CHN,MOTHERHUB_PTI,10800,2831
Shipment,MOTHERHUB_CHN-MOTHERHUB_PUNE,13.04591,80.067723,18.6087917,73.7268817,MOTHERHUB_CHN,MOTHERHUB_PUNE,10800,909
Shipment,MOTHERHUB_JAI-MOTHERHUB_AMD,26.948928,75.761927,22.8978044,72.5902141,MOTHERHUB_JAI,MOTHERHUB_AMD,10800,653
Shipment,MOTHERHUB_JAI-MOTHERHUB_BBI,26.948928,75.761927,20.295471,85.84707,MOTHERHUB_JAI,MOTHERHUB_BBI,10800,404
Shipment,MOTHERHUB_JAI-MOTHERHUB_BIL,26.948928,75.761927,19.2374987,73.0362352,MOTHERHUB_JAI,MOTHERHUB_BIL,10800,1364
Shipment,MOTHERHUB_JAI-MOTHERHUB_BLR,26.948928,75.761927,12.9842798,77.8242648,MOTHERHUB_JAI,MOTHERHUB_BLR,10800,3956
Shipment,MOTHERHUB_JAI-MOTHERHUB_CHN,26.948928,75.761927,13.04591,80.067723,MOTHERHUB_JAI,MOTHERHUB_CHN,10800,600
Shipment,MOTHERHUB_JAI-MOTHERHUB_GAU,26.948928,75.761927,26.043197,91.705232,MOTHERHUB_JAI,MOTHERHUB_GAU,10800,888
Shipment,MOTHERHUB_JAI-MOTHERHUB_IXR,26.948928,75.761927,23.352715,85.343538,MOTHERHUB_JAI,MOTHERHUB_IXR,10800,305
Shipment,MOTHERHUB_JAI-MOTHERHUB_KOL,26.948928,75.761927,22.708183,88.28565,MOTHERHUB_JAI,MOTHERHUB_KOL,10800,1782
Shipment,MOTHERHUB_JAI-MOTHERHUB_MED,26.948928,75.761927,17.580519,78.469527,MOTHERHUB_JAI,MOTHERHUB_MED,10800,1299
Shipment,MOTHERHUB_JAI-MOTHERHUB_PAT,26.948928,75.761927,25.587197,85.185842,MOTHERHUB_JAI,MOTHERHUB_PAT,10800,625
Shipment,MOTHERHUB_JAI-MOTHERHUB_PTI,26.948928,75.761927,28.294166,76.855804,MOTHERHUB_JAI,MOTHERHUB_PTI,10800,4779
Shipment,MOTHERHUB_JAI-MOTHERHUB_PUNE,26.948928,75.761927,18.6087917,73.7268817,MOTHERHUB_JAI,MOTHERHUB_PUNE,10800,1120
Shipment,MOTHERHUB_KOL-MOTHERHUB_AMD,22.708183,88.28565,22.8978044,72.5902141,MOTHERHUB_KOL,MOTHERHUB_AMD,10800,833
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,10800,1285
Shipment,MOTHERHUB_KOL-MOTHERHUB_BIL,22.708183,88.28565,19.2374987,73.0362352,MOTHERHUB_KOL,MOTHERHUB_BIL,10800,1292
Shipment,MOTHERHUB_KOL-MOTHERHUB_BLR,22.708183,88.28565,12.9842798,77.8242648,MOTHERHUB_KOL,MOTHERHUB_BLR,10800,2238
Shipment,MOTHERHUB_KOL-MOTHERHUB_CHN,22.708183,88.28565,13.04591,80.067723,MOTHERHUB_KOL,MOTHERHUB_CHN,10800,365
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,10800,1348
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,10800,1001
Shipment,MOTHERHUB_KOL-MOTHERHUB_MED,22.708183,88.28565,17.580519,78.469527,MOTHERHUB_KOL,MOTHERHUB_MED,10800,753
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,10800,1669
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,10800,5519
Shipment,MOTHERHUB_KOL-MOTHERHUB_PUNE,22.708183,88.28565,18.6087917,73.7268817,MOTHERHUB_KOL,MOTHERHUB_PUNE,10800,512
Shipment,MOTHERHUB_MED-MOTHERHUB_AMD,17.580519,78.469527,22.8978044,72.5902141,MOTHERHUB_MED,MOTHERHUB_AMD,10800,816
Shipment,MOTHERHUB_MED-MOTHERHUB_BBI,17.580519,78.469527,20.295471,85.84707,MOTHERHUB_MED,MOTHERHUB_BBI,10800,792
Shipment,MOTHERHUB_MED-MOTHERHUB_BIL,17.580519,78.469527,19.2374987,73.0362352,MOTHERHUB_MED,MOTHERHUB_BIL,10800,2848
Shipment,MOTHERHUB_MED-MOTHERHUB_BLR,17.580519,78.469527,12.9842798,77.8242648,MOTHERHUB_MED,MOTHERHUB_BLR,10800,8928
Shipment,MOTHERHUB_MED-MOTHERHUB_CHN,17.580519,78.469527,13.04591,80.067723,MOTHERHUB_MED,MOTHERHUB_CHN,10800,1522
Shipment,MOTHERHUB_MED-MOTHERHUB_GAU,17.580519,78.469527,26.043197,91.705232,MOTHERHUB_MED,MOTHERHUB_GAU,10800,968
Shipment,MOTHERHUB_MED-MOTHERHUB_IXR,17.580519,78.469527,23.352715,85.343538,MOTHERHUB_MED,MOTHERHUB_IXR,10800,592
Shipment,MOTHERHUB_MED-MOTHERHUB_KOL,17.580519,78.469527,22.708183,88.28565,MOTHERHUB_MED,MOTHERHUB_KOL,10800,3046
Shipment,MOTHERHUB_MED-MOTHERHUB_PAT,17.580519,78.469527,25.587197,85.185842,MOTHERHUB_MED,MOTHERHUB_PAT,10800,508
Shipment,MOTHERHUB_MED-MOTHERHUB_PTI,17.580519,78.469527,28.294166,76.855804,MOTHERHUB_MED,MOTHERHUB_PTI,10800,7029
Shipment,MOTHERHUB_MED-MOTHERHUB_PUNE,17.580519,78.469527,18.6087917,73.7268817,MOTHERHUB_MED,MOTHERHUB_PUNE,10800,2124
Shipment,MOTHERHUB_PTI-MOTHERHUB_AMD,28.294166,76.855804,22.8978044,72.5902141,MOTHERHUB_PTI,MOTHERHUB_AMD,10800,8256
Shipment,MOTHERHUB_PTI-MOTHERHUB_BBI,28.294166,76.855804,20.295471,85.84707,MOTHERHUB_PTI,MOTHERHUB_BBI,10800,4177
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-0,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,10800,8037
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-1,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,10800,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-0,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,10800,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-1,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,10800,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-2,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,10800,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-3,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,10800,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-4,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,10800,6402
Shipment,MOTHERHUB_PTI-MOTHERHUB_CHN,28.294166,76.855804,13.04591,80.067723,MOTHERHUB_PTI,MOTHERHUB_CHN,10800,6487
Shipment,MOTHERHUB_PTI-MOTHERHUB_GAU,28.294166,76.855804,26.043197,91.705232,MOTHERHUB_PTI,MOTHERHUB_GAU,10800,8303
Shipment,MOTHERHUB_PTI-MOTHERHUB_IXR,28.294166,76.855804,23.352715,85.343538,MOTHERHUB_PTI,MOTHERHUB_IXR,10800,3361
Shipment,MOTHERHUB_PTI-MOTHERHUB_KOL-0,28.294166,76.855804,22.708183,88.28565,MOTHERHUB_PTI,MOTHERHUB_KOL,10800,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_KOL-1,28.294166,76.855804,22.708183,88.28565,MOTHERHUB_PTI,MOTHERHUB_KOL,10800,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_KOL-2,28.294166,76.855804,22.708183,88.28565,MOTHERHUB_PTI,MOTHERHUB_KOL,10800,740
Shipment,MOTHERHUB_PTI-MOTHERHUB_MED-0,28.294166,76.855804,17.580519,78.469527,MOTHERHUB_PTI,MOTHERHUB_MED,10800,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_MED-1,28.294166,76.855804,17.580519,78.469527,MOTHERHUB_PTI,MOTHERHUB_MED,10800,5864
Shipment,MOTHERHUB_PTI-MOTHERHUB_PAT,28.294166,76.855804,25.587197,85.185842,MOTHERHUB_PTI,MOTHERHUB_PAT,10800,6906
Shipment,MOTHERHUB_PTI-MOTHERHUB_PUNE-0,28.294166,76.855804,18.6087917,73.7268817,MOTHERHUB_PTI,MOTHERHUB_PUNE,10800,3964
Shipment,MOTHERHUB_PTI-MOTHERHUB_PUNE-1,28.294166,76.855804,18.6087917,73.7268817,MOTHERHUB_PTI,MOTHERHUB_PUNE,10800,9000
Shipment,MOTHERHUB_PUNE-MOTHERHUB_AMD,18.6087917,73.7268817,22.8978044,72.5902141,MOTHERHUB_PUNE,MOTHERHUB_AMD,10800,366
Shipment,MOTHERHUB_PUNE-MOTHERHUB_BBI,18.6087917,73.7268817,20.295471,85.84707,MOTHERHUB_PUNE,MOTHERHUB_BBI,10800,59
Shipment,MOTHERHUB_PUNE-MOTHERHUB_BIL,18.6087917,73.7268817,19.2374987,73.0362352,MOTHERHUB_PUNE,MOTHERHUB_BIL,10800,1014
Shipment,MOTHERHUB_PUNE-MOTHERHUB_BLR,18.6087917,73.7268817,12.9842798,77.8242648,MOTHERHUB_PUNE,MOTHERHUB_BLR,10800,827
Shipment,MOTHERHUB_PUNE-MOTHERHUB_CHN,18.6087917,73.7268817,13.04591,80.067723,MOTHERHUB_PUNE,MOTHERHUB_CHN,10800,110
Shipment,MOTHERHUB_PUNE-MOTHERHUB_GAU,18.6087917,73.7268817,26.043197,91.705232,MOTHERHUB_PUNE,MOTHERHUB_GAU,10800,113
Shipment,MOTHERHUB_PUNE-MOTHERHUB_IXR,18.6087917,73.7268817,23.352715,85.343538,MOTHERHUB_PUNE,MOTHERHUB_IXR,10800,45
Shipment,MOTHERHUB_PUNE-MOTHERHUB_KOL,18.6087917,73.7268817,22.708183,88.28565,MOTHERHUB_PUNE,MOTHERHUB_KOL,10800,318
Shipment,MOTHERHUB_PUNE-MOTHERHUB_MED,18.6087917,73.7268817,17.580519,78.469527,MOTHERHUB_PUNE,MOTHERHUB_MED,10800,228
Shipment,MOTHERHUB_PUNE-MOTHERHUB_PAT,18.6087917,73.7268817,25.587197,85.185842,MOTHERHUB_PUNE,MOTHERHUB_PAT,10800,80
Shipment,MOTHERHUB_PUNE-MOTHERHUB_PTI,18.6087917,73.7268817,28.294166,76.855804,MOTHERHUB_PUNE,MOTHERHUB_PTI,10800,1815
