Facility,DH name,Cutoff,Time ,Geocoding       DH City,Geocoding LZN Classification,Metro/ ROI/    NE-J&K,REGULAR SLA,SLOW SLA,REGULAR LPHT,LPHT,Transit Time,Reach Time,Reach Time,Start Time,Reach New,Connection Time ,Connection,Difference,Difference hrs,New Difference,Comments,New LPHT
fkl-delhi,RajendraNagarHub_IDR,MotherHub_IDR,02:00:00 AM,Indore,Z,,2,2,06:00:00 PM,0.75,2.5,0.85,08:24:00 PM,10:24:00 PM,0.85,02:00:00 AM,0.08,0.23,5.5,4.5,Okay,No change
fkl-delhi,UjjainHub_UJN,MotherHub_IDR,02:00:00 AM,Ujjain,Z,,2,2,06:00:00 PM,0.75,2.5,0.85,08:24:00 PM,10:24:00 PM,0.85,02:00:00 AM,0.08,0.23,5.5,4.5,Okay,No change
fkl-delhi,CityCenterHub_GWL,CityCenterHub_GWL,10:00:00 PM,Gwalior,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,10:00:00 PM,0.92,0.13,3,2,Not possible,Reduce by 1 hr
fkl-Pataudi,SirsaHub_SRS,SirsaHub_SRS,09:00:00 PM,Sirsa,Z,,2,2,06:00:00 PM,0.75,1.5,0.81,07:26:24 PM,09:26:24 PM,0.81,09:00:00 PM,0.88,0.06,1.5,0.5,Not possible,2.5 hrs less
fkl-Pataudi,RupnagarHub_RUP,RupnagarHub_RUP,09:00:00 PM,Rupnagar,Z,,2,2,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:00:00 PM,0.88,0.23,5.5,4.5,Okay,No change
fkl-Pataudi,MohaliHub_IXC,MohaliHub_IXC,08:30:00 PM,Mohali,Z,,2,2,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,08:30:00 PM,0.85,0.21,5,4,Okay,No change
fkl-Pataudi,AmritsarHub_ATQ,AmritsarHub_ATQ,08:30:00 PM,Amritsar,Z,,2,2,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,08:30:00 PM,0.85,0.21,5,4,Okay,No change
fkl-Pataudi,GurdaspurHub_GDS,GurdaspurHub_GDS,10:00:00 PM,Gurdaspur,Z,,2,2,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,10:00:00 PM,0.92,0.33,8,7,Improve,Lpht at 8p.m
fkl-Pataudi,GurdaspurHub_GDS,GurdaspurHub_GDS,10:00:00 PM,Gurdaspur,Z,,2,2,03:30:00 PM,0.65,1.5,0.71,05:02:24 PM,07:02:24 PM,0.71,10:00:00 PM,0.92,0.21,5,4,Okay,No change
fkl-Pataudi,HoshiarpurHub_HAP,HoshiarpurHub_HAP,10:00:00 PM,Hoshiarpur,Z,,2,2,03:30:00 PM,0.65,1.5,0.71,05:02:24 PM,07:02:24 PM,0.71,10:00:00 PM,0.92,0.21,5,4,Okay,No change
fkl-Pataudi,BhatindaHub_BUP,BhatindaHub_BUP,10:00:00 PM,Bathinda,Z,,2,2,03:30:00 PM,0.65,1.5,0.71,05:02:24 PM,07:02:24 PM,0.71,10:00:00 PM,0.92,0.21,5,4,Okay,No change
fkl-Pataudi,FirozabadHub_FIR,FirozabadHub_FIR,11:00:00 PM,Firozabad,Z,,2,2,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,11:00:00 PM,0.96,0.38,9,8,Improve,Lpht at 8p.m
fkl-Pataudi,GumtiHub_KNU,GumtiHub_KNU,11:00:00 AM,Kanpur,Z,,2,2,06:30:00 PM,0.77,1.5,0.83,07:55:12 PM,09:55:12 PM,0.83,11:00:00 AM,0.46,0.63,15,14,Improve,Lpht at 8p.m
fkl-Pataudi,AllahabadHub_ALD,AllahabadHub_ALD,11:35:00 AM,Allahabad,Z,,2,2,08:30:00 PM,0.85,1.5,0.92,10:04:48 PM,12:04:48 AM,0.92,11:35:00 AM,0.48,0.57,13.58,12.58,Improve,Lpht at 8p.m
fkl-Pataudi,GeorgeTownHub_ALD,GeorgeTownHub_ALD,11:45:00 AM,Allahabad,Z,,2,2,08:30:00 PM,0.85,1.5,0.92,10:04:48 PM,12:04:48 AM,0.92,11:45:00 AM,0.49,0.57,13.75,12.75,Improve,Lpht at 8p.m
fkl-Pataudi,SigraHub_VNS,SigraHub_VNS,11:15:00 AM,Varanasi,Z,,2,2,08:30:00 PM,0.85,1.5,0.92,10:04:48 PM,12:04:48 AM,0.92,11:15:00 AM,0.47,0.55,13.25,12.25,Improve,Lpht at 8p.m
fkl-Pataudi,OrderlyBazarHub_VNS,OrderlyBazarHub_VNS,11:25:00 AM,Varanasi,Z,,2,2,08:30:00 PM,0.85,1.5,0.92,10:04:48 PM,12:04:48 AM,0.92,11:25:00 AM,0.48,0.56,13.42,12.42,Improve,Lpht at 8p.m
fkl-Pataudi,BarabankiHub_BBK,MotherHub_LKO,11:35:00 AM,Lucknow,Z,,2,2,08:30:00 PM,0.85,1.5,0.92,10:04:48 PM,12:04:48 AM,0.92,11:35:00 AM,0.48,0.57,13.58,12.58,Improve,Lpht at 8p.m
fkl-Pataudi,TransportNagarHub_LKO,TransportNagarHub_LKO,12:00:00 PM,Lucknow,Z,,2,2,06:30:00 PM,0.77,1.5,0.83,07:55:12 PM,09:55:12 PM,0.83,12:00:00 PM,0.5,-0.33,-8,-9,Okay,Lpht at 8p.m
fkl-Pataudi,AliganjHub_LKO,AliganjHub_LKO,12:00:00 PM,Lucknow,Z,,2,2,06:30:00 PM,0.77,1.5,0.83,07:55:12 PM,09:55:12 PM,0.83,12:00:00 PM,0.5,-0.33,-8,-9,Okay,Lpht at 8p.m
fkl-Pataudi,VibhutiKhandHub_LKO,VibhutiKhandHub_LKO,11:45:00 AM,Lucknow,Z,,2,2,06:30:00 PM,0.77,1.5,0.83,07:55:12 PM,09:55:12 PM,0.83,11:45:00 AM,0.49,0.66,15.75,14.75,Improve,Lpht at 8p.m
fkl-Pataudi,MoradabadHub_MRD,MoradabadHub_MRD,09:00:00 PM,Moradabad,Z,,2,2,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,09:00:00 PM,0.88,0.29,7,6,Okay,No change
fkl-Pataudi,SaharanpurHub_SHP,SaharanpurHub_SHP,10:00:00 PM,Saharanpur,Z,,2,2,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,10:00:00 PM,0.92,0.33,8,7,Improve,Lpht at 8p.m
fkl-Pataudi,HaridwarHub_HRD,HaridwarHub_HRD,07:30:00 PM,Haridwar,Z,,2,2,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,07:30:00 PM,0.81,0.23,5.5,4.5,Okay,No change
fkl-Pataudi,DehradunHub_DED,DehradunHub_DED,07:30:00 PM,Dehradun,Z,,2,2,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,07:30:00 PM,0.81,0.23,5.5,4.5,Okay,No change
fkl-Pataudi,AlwarHub_ALW,MotherHub_JAI,12:00:00 AM,Alwar,Z,,2,2,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-Pataudi,JaipurHub_JAI,MotherHub_JAI,12:00:00 AM,Jaipur,Z,,2,2,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-Pataudi,AjmerHub_AJM,MotherHub_JAI,12:00:00 AM,Ajmer,Z,,2,2,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-Pataudi,BhilwaraHub_BLW,MotherHub_JAI,12:00:00 AM,Bhilwara,Z,,2,2,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-Pataudi,UdaipurHub_UDR,MotherHub_JAI,12:00:00 AM,Udaipur,Z,,2,2,08:30:00 PM,0.85,1.5,0.92,10:04:48 PM,12:04:48 AM,0.92,12:00:00 AM,0,0.08,2,1,Okay,No change
fkl-Pataudi,KotaHub_KTU,MotherHub_JAI,12:00:00 AM,Kota,Z,,2,2,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-Pataudi,PilaniHub_PIL,MotherHub_JAI,12:00:00 AM,Pilani,Z,,2,2,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-Pataudi,BikanerHub_BKB,MotherHub_JAI,12:00:00 AM,Bikaner,Z,,2,2,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-Pataudi,JodhpurHub_JDH,MotherHub_JAI,12:00:00 AM,Jodhpur,Z,,2,2,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-Pataudi,IndoreHub_IDR,MotherHub_IDR,02:00:00 AM,Indore,Z,,2,2,06:00:00 PM,0.75,1.5,0.81,07:26:24 PM,09:26:24 PM,0.81,02:00:00 AM,0.08,0.27,6.5,5.5,Okay,No change
fkl-Pataudi,KalaninagarHub_IDR,MotherHub_IDR,02:00:00 AM,Indore,Z,,2,2,06:00:00 PM,0.75,1.5,0.81,07:26:24 PM,09:26:24 PM,0.81,02:00:00 AM,0.08,0.27,6.5,5.5,Okay,No change
fkl-Pataudi,RajendraNagarHub_IDR,MotherHub_IDR,02:00:00 AM,Indore,Z,,2,2,06:00:00 PM,0.75,1.5,0.81,07:26:24 PM,09:26:24 PM,0.81,02:00:00 AM,0.08,0.27,6.5,5.5,Okay,No change
fkl-Pataudi,UjjainHub_UJN,MotherHub_IDR,02:00:00 AM,Ujjain,Z,,2,2,06:00:00 PM,0.75,1.5,0.81,07:26:24 PM,09:26:24 PM,0.81,02:00:00 AM,0.08,0.27,6.5,5.5,Okay,No change
fkl-Pataudi,CityCenterHub_GWL,CityCenterHub_GWL,10:00:00 PM,Gwalior,Z,,2,2,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,10:00:00 PM,0.92,0.33,8,7,Improve,Lpht at 8p.m
fkl-bilaspur,VKIAHub_JAI,MotherHub_JAI,12:00:00 AM,Jaipur,Z,,2,2,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-delhi,VKIAHub_JAI,MotherHub_JAI,12:00:00 AM,Jaipur,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,12:00:00 AM,0,0.21,5,4,Okay,No change
fkl-Pataudi,VKIAHub_JAI,MotherHub_JAI,12:00:00 AM,Jaipur,Z,,2,2,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-bilaspur,SonepatHub_SOP,SonepatHub_SOP,09:45:00 PM,SONIPAT,Z,,2,2,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:45:00 PM,0.91,0.26,6.25,5.25,Okay,No change
fkl-delhi,SonepatHub_SOP,SonepatHub_SOP,09:45:00 PM,SONIPAT,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:45:00 PM,0.91,0.11,2.75,1.75,Not possible,Reduce by 1.5
fkl-Pataudi,SonepatHub_SOP,SonepatHub_SOP,09:45:00 PM,SONIPAT,Z,,2,2,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:45:00 PM,0.91,0.26,6.25,5.25,Okay,No change
fkl-bilaspur,RupnagarHub_RUP,RupnagarHub_RUP,09:00:00 PM,KURALI,Z,,2,2,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:00:00 PM,0.88,0.23,5.5,4.5,Okay,No change
fkl-delhi,RupnagarHub_RUP,RupnagarHub_RUP,09:00:00 PM,KURALI,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:00:00 PM,0.88,0.08,2,1,Not possible,Reduce by 2 hrs
fkl-Pataudi,RupnagarHub_RUP,RupnagarHub_RUP,09:00:00 PM,KURALI,Z,,2,2,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:00:00 PM,0.88,0.23,5.5,4.5,Okay,No change
fkl-bilaspur,YamunaNagarHub_YNR,YamunaNagarHub_YNR,09:00:00 PM,Yamunanagar,Z,,2,2,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:00:00 PM,0.88,0.23,5.5,4.5,Okay,No change
fkl-delhi,YamunaNagarHub_YNR,YamunaNagarHub_YNR,09:00:00 PM,Yamunanagar,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:00:00 PM,0.88,0.08,2,1,Not possible,Reduce by 2 hrs
fkl-Pataudi,YamunaNagarHub_YNR,YamunaNagarHub_YNR,09:00:00 PM,Yamunanagar,Z,,2,2,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:00:00 PM,0.88,0.23,5.5,4.5,Okay,No change
fkl-bilaspur,NarnaulHub_NNL,NarnaulHub_NNL,09:30:00 PM,NARNAUL,Z,,2,2,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,09:30:00 PM,0.9,0.31,7.5,6.5,Okay,No change
fkl-delhi,NarnaulHub_NNL,NarnaulHub_NNL,09:30:00 PM,NARNAUL,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,04:00:00 AM,0.9,0.38,9,8,Improve,Lpht at 8p.m
fkl-Pataudi,NarnaulHub_NNL,NarnaulHub_NNL,09:30:00 PM,NARNAUL,Z,,2,2,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,09:30:00 PM,0.9,0.31,7.5,6.5,Okay,No change
fkl-bilaspur,DharuheraHub_DRH,DharuheraHub_DRH,05:00:00 AM,Delhi-NCR,Z,,2,2,08:30:00 PM,0.85,1.5,0.92,10:04:48 PM,12:04:48 AM,0.92,05:00:00 AM,0.21,0.29,7,6,Okay,No change
fkl-delhi,DharuheraHub_DRH,DharuheraHub_DRH,05:00:00 AM,Delhi-NCR,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,05:00:00 AM,0.21,0.42,10,9,Improve,Lpht at 8p.m
fkl-Pataudi,DharuheraHub_DRH,DharuheraHub_DRH,05:00:00 AM,Delhi-NCR,Z,,2,2,07:30:00 PM,0.81,1.5,0.88,09:07:12 PM,11:07:12 PM,0.88,05:00:00 AM,0.21,0.33,8,7,Improve,Lpht at 8p.m
fkl-bilaspur,KaithalHub_KTL,KaithalHub_KTL,09:00:00 PM,Kaithal,Z,,2,2,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:00:00 PM,0.88,0.23,5.5,4.5,Okay,No change
fkl-delhi,KaithalHub_KTL,KaithalHub_KTL,09:00:00 PM,Kaithal,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:00:00 PM,0.88,0.08,2,1,Not possible,Reduce by 2 hrs
fkl-Pataudi,KaithalHub_KTL,KaithalHub_KTL,09:00:00 PM,Kaithal,Z,,2,2,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:00:00 PM,0.88,0.23,5.5,4.5,Okay,No change
fkl-bilaspur,KarnalHub_KAL,KarnalHub_KAL,09:00:00 PM,KARNAL,Z,,2,2,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,09:00:00 PM,0.88,0.29,7,6,Okay,No change
fkl-delhi,KarnalHub_KAL,KarnalHub_KAL,09:00:00 PM,KARNAL,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:00:00 PM,0.88,0.08,2,1,Not possible,Reduce by 2 hrs
fkl-Pataudi,KarnalHub_KAL,KarnalHub_KAL,09:00:00 PM,KARNAL,Z,,2,2,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,09:00:00 PM,0.88,0.29,7,6,Okay,No change
fkl-bilaspur,LudhianaHub_LUH,LudhianaHub_LUH,10:00:00 PM,Ludhiana,Z,,2,2,03:30:00 PM,0.65,1.5,0.71,05:02:24 PM,07:02:24 PM,0.71,10:00:00 PM,0.92,0.21,5,4,Okay,No change
fkl-delhi,LudhianaHub_LUH,LudhianaHub_LUH,10:00:00 PM,Ludhiana,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,10:00:00 PM,0.92,0.13,3,2,Not possible,Reduce by 1 hr
fkl-Pataudi,LudhianaHub_LUH,LudhianaHub_LUH,10:00:00 PM,Ludhiana,Z,,2,2,03:30:00 PM,0.65,1.5,0.71,05:02:24 PM,07:02:24 PM,0.71,10:00:00 PM,0.92,0.21,5,4,Okay,No change
fkl-bilaspur,PatialaHub_PTA,PatialaHub_PTA,10:00:00 PM,Patiala,Z,,2,2,03:30:00 PM,0.65,1.5,0.71,05:02:24 PM,07:02:24 PM,0.71,10:00:00 PM,0.92,0.21,5,4,Okay,No change
fkl-delhi,PatialaHub_PTA,PatialaHub_PTA,10:00:00 PM,Patiala,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,10:00:00 PM,0.92,0.13,3,2,Not possible,Reduce by 1 hr
fkl-Pataudi,PatialaHub_PTA,PatialaHub_PTA,10:00:00 PM,Patiala,Z,,2,2,03:30:00 PM,0.65,1.5,0.71,05:02:24 PM,07:02:24 PM,0.71,10:00:00 PM,0.92,0.21,5,4,Okay,No change
fkl-bilaspur,RohtakHub_ROH,RohtakHub_ROH,09:00:00 PM,Rohtak,Z,,2,2,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,09:00:00 PM,0.88,0.29,7,6,Okay,No change
fkl-delhi,RohtakHub_ROH,RohtakHub_ROH,09:00:00 PM,Rohtak,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:00:00 PM,0.88,0.08,2,1,Not possible,Reduce by 2 hrs
fkl-Pataudi,RohtakHub_ROH,RohtakHub_ROH,09:00:00 PM,Rohtak,Z,,2,2,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,09:00:00 PM,0.88,0.29,7,6,Okay,No change
fkl-delhi,BharatpurHub_BTP,MotherHub_JAI,12:00:00 AM,BHARATPUR,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,12:00:00 AM,0,0.21,5,4,Okay,No change
fkl-bilaspur,JhansiHub_JHS,JhansiHub_JHS,10:30:00 PM,JHANSI,Z,,2,2,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,10:30:00 PM,0.94,0.35,8.5,7.5,Improve,Lpht at 8p.m
fkl-delhi,JhansiHub_JHS,JhansiHub_JHS,10:30:00 PM,JHANSI,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,10:30:00 PM,0.94,0.15,3.5,2.5,Not possible,Reduce by 0.5 hr
fkl-Pataudi,JhansiHub_JHS,JhansiHub_JHS,10:30:00 PM,JHANSI,Z,,2,2,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,10:30:00 PM,0.94,0.35,8.5,7.5,Improve,Lpht at 8p.m
fkl-bilaspur,JhunjhunuHub_JNJ,MotherHub_JAI,12:00:00 AM,JHUNJUNU,Z,,2,2,06:00:00 PM,0.75,1.5,0.81,07:26:24 PM,09:26:24 PM,0.81,12:00:00 AM,0,0.19,4.5,3.5,Okay,No change
fkl-delhi,JhunjhunuHub_JNJ,MotherHub_JAI,12:00:00 AM,JHUNJUNU,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,12:00:00 AM,0,0.21,5,4,Okay,No change
fkl-Pataudi,JhunjhunuHub_JNJ,MotherHub_JAI,12:00:00 AM,JHUNJUNU,Z,,2,2,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-bilaspur,PalwalHub_PLW,PalwalHub_PLW,09:30:00 PM,PALWAL,Z,,2,2,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,09:30:00 PM,0.9,0.31,7.5,6.5,Okay,No change
fkl-delhi,PalwalHub_PLW,PalwalHub_PLW,09:30:00 PM,PALWAL,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,04:00:00 AM,0.9,0.38,9,8,Improve,Lpht at 8p.m
fkl-Pataudi,PalwalHub_PLW,PalwalHub_PLW,09:30:00 PM,PALWAL,Z,,2,2,09:30:00 PM,0.9,1.5,0.96,11:02:24 PM,01:02:24 AM,0.96,04:00:00 AM,04:00:00 AM,,,,Okay,No change
fkl-bilaspur,SikarHub_SIK,MotherHub_JAI,12:00:00 AM,SIKAR,Z,,2,2,06:00:00 PM,0.75,1.5,0.81,07:26:24 PM,09:26:24 PM,0.81,12:00:00 AM,0,0.19,4.5,3.5,Okay,No change
fkl-delhi,SikarHub_SIK,MotherHub_JAI,12:00:00 AM,SIKAR,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,12:00:00 AM,0,0.21,5,4,Okay,No change
fkl-Pataudi,SikarHub_SIK,MotherHub_JAI,12:00:00 AM,SIKAR,Z,,2,2,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,12:00:00 AM,0,0.35,8.5,7.5,Improve,Lpht at 8p.m
fkl-bilaspur,ChandigarhHub_DEL,ChandigarhHub_DEL,08:30:00 PM,Chandigarh,Z,,2,2,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,08:30:00 PM,0.85,0.21,5,4,Okay,No change
fkl-delhi,ChandigarhHub_DEL,ChandigarhHub_DEL,08:30:00 PM,Chandigarh,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,08:30:00 PM,0.85,0.06,1.5,0.5,Not possible,2.5 hrs less
fkl-Pataudi,ChandigarhHub_DEL,ChandigarhHub_DEL,08:30:00 PM,Chandigarh,Z,,2,2,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,08:30:00 PM,0.85,0.21,5,4,Okay,No change
fkl-bilaspur,MohaliHub_IXC,MohaliHub_IXC,08:30:00 PM,Rupnagar,Z,,2,2,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,08:30:00 PM,0.85,0.21,5,4,Okay,No change
fkl-delhi,MohaliHub_IXC,MohaliHub_IXC,08:30:00 PM,Rupnagar,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,08:30:00 PM,0.85,0.06,1.5,0.5,Not possible,2.5 hrs less
fkl-Pataudi,MohaliHub_IXC,MohaliHub_IXC,08:30:00 PM,Rupnagar,Z,,2,2,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,08:30:00 PM,0.85,0.21,5,4,Okay,No change
fkl-bilaspur,GobindgarhHub_LUH,GobindgarhHub_LUH,10:00:00 PM,BASSI PATHANA,Z,,2,2,03:30:00 PM,0.65,1.5,0.71,05:02:24 PM,07:02:24 PM,0.71,10:00:00 PM,0.92,0.21,5,4,Okay,No change
fkl-delhi,GobindgarhHub_LUH,GobindgarhHub_LUH,10:00:00 PM,BASSI PATHANA,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,10:00:00 PM,0.92,0.13,3,2,Not possible,Reduce by 1 hr
fkl-Pataudi,GobindgarhHub_LUH,GobindgarhHub_LUH,10:00:00 PM,BASSI PATHANA,Z,,2,2,03:30:00 PM,0.65,1.5,0.71,05:02:24 PM,07:02:24 PM,0.71,10:00:00 PM,0.92,0.21,5,4,Okay,No change
fkl-bilaspur,JaipurHub_JAI,MotherHub_JAI,12:00:00 AM,Jaipur,Z,,2,2,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-delhi,JaipurHub_JAI,MotherHub_JAI,12:00:00 AM,Jaipur,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,12:00:00 AM,0,0.21,5,4,Okay,No change
fkl-Pataudi,JaipurHub_JAI,MotherHub_JAI,12:00:00 AM,Jaipur,Z,,2,2,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-bilaspur,JaipurHub_JAI,MotherHub_JAI,12:00:00 AM,DAUSA,Z,,2,2,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-delhi,JaipurHub_JAI,MotherHub_JAI,12:00:00 AM,DAUSA,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,12:00:00 AM,0,0.21,5,4,Okay,No change
fkl-Pataudi,JaipurHub_JAI,MotherHub_JAI,12:00:00 AM,DAUSA,Z,,2,2,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-bilaspur,JaipurHub_JAI,MotherHub_JAI,12:00:00 AM,TONK,Z,,2,2,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-delhi,JaipurHub_JAI,MotherHub_JAI,12:00:00 AM,TONK,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,12:00:00 AM,0,0.21,5,4,Okay,No change
fkl-Pataudi,JaipurHub_JAI,MotherHub_JAI,12:00:00 AM,TONK,Z,,2,2,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-bilaspur,JaipurHub_JAI,MotherHub_JAI,12:00:00 AM,SAWAI MADHOPUR,Z,,2,2,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-delhi,JaipurHub_JAI,MotherHub_JAI,12:00:00 AM,SAWAI MADHOPUR,Z,,2,2,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,12:00:00 AM,0,0.21,5,4,Okay,No change
