Facility,DH name,Cutoff,Time ,Geocoding       DH City,Geocoding LZN Classification,Metro/ ROI/    NE-J&K,REGULAR SLA,SLOW SLA,REGULAR LPHT,LPHT,Transit Time,Reach Time,Reach Time,Start Time,Reach New,Connection Time ,Connection,Difference,Difference hrs,New Difference,Comments,New LPHT
fkl-bilaspur,MathuraHub_MTH,MathuraHub_MTH,11:00:00 PM,Mathura,Z,,1,1,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,11:00:00 PM,0.96,0.38,9,8,Improve,Lpht at 8p.m
fkl-bilaspur,AgraHub_AGR,AgraHub_AGR,10:00:00 PM,Agra,Z,,1,1,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,10:00:00 PM,0.92,0.33,8,7,Improve,Lpht at 8p.m
fkl-bilaspur,VKIAHub_JAI,MotherHub_JAI,12:00:00 AM,Jaipur,Z,,1,1,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-bilaspur,PinkCityHub_JAI,MotherHub_JAI,12:00:00 AM,Jaipur,Z,,1,1,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,12:00:00 AM,0,0.42,10,9,Improve,Lpht at 8p.m
fkl-bilaspur,JaipurHub_JAI,MotherHub_JAI,12:00:00 AM,Jaipur,Z,,1,1,04:30:00 PM,0.69,1.5,0.75,06:00:00 PM,08:00:00 PM,0.75,12:00:00 AM,0,0.25,6,5,Okay,No change
fkl-delhi,DharuheraHub_DRH,DharuheraHub_DRH,05:00:00 AM,Dharuhera,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,05:00:00 AM,0.21,0.42,10,9,Improve,Lpht at 8p.m
fkl-delhi,RewariHub_RWR,RewariHub_RWR,05:30:00 AM,Rewari,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,05:30:00 AM,0.23,0.44,10.5,9.5,Improve,Lpht at 8p.m
fkl-delhi,RohtakHub_ROH,RohtakHub_ROH,09:00:00 PM,Rohtak,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:00:00 PM,0.88,0.08,2,1,Not possible,Reduce by 2 hrs
fkl-delhi,HissarHub_HSS,HissarHub_HSS,09:00:00 PM,Hissar,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:00:00 PM,0.88,0.08,2,1,Not possible,Reduce by 2 hrs
fkl-delhi,JindHub_JND,JindHub_JND,09:00:00 PM,Jind,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:00:00 PM,0.88,0.08,2,1,Not possible,Reduce by 2 hrs
fkl-delhi,BhiwaniHub_DEL,BhiwaniHub_DEL,09:00:00 PM,Bhiwani,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:00:00 PM,0.88,0.08,2,1,Not possible,Reduce by 2 hrs
fkl-delhi,SonepatHub_SOP,SonepatHub_SOP,09:45:00 PM,Sonipat,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:45:00 PM,0.91,0.11,2.75,1.75,Not possible,Reduce by 1.5
fkl-delhi,KarnalHub_KAL,KarnalHub_KAL,09:00:00 PM,Karnal,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:00:00 PM,0.88,0.08,2,1,Not possible,Reduce by 2 hrs
fkl-delhi,PanipatHub_PPT,PanipatHub_PPT,09:45:00 PM,Panipat,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:45:00 PM,0.91,0.11,2.75,1.75,Not possible,Reduce by 1.5
fkl-delhi,AmbalaHub_UMB,MotherHub_ABL,09:45:00 PM,Ambala,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:45:00 PM,0.91,0.11,2.75,1.75,Not possible,Reduce by 1.5
fkl-delhi,PanchkulaHub_PKL,PanchkulaHub_PKL,08:30:00 PM,Panchkula,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,08:30:00 PM,0.85,0.06,1.5,0.5,Not possible,2.5 hrs less
fkl-delhi,ChandigarhHub_DEL,ChandigarhHub_DEL,08:30:00 PM,Chandigarh,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,08:30:00 PM,0.85,0.06,1.5,0.5,Not possible,2.5 hrs less
fkl-delhi,KaithalHub_KTL,KaithalHub_KTL,09:00:00 PM,Kaithal,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:00:00 PM,0.88,0.08,2,1,Not possible,Reduce by 2 hrs
fkl-delhi,KurukshetraHub_KUR,KurukshetraHub_KUR,09:00:00 PM,Kurukshetra,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:00:00 PM,0.88,0.08,2,1,Not possible,Reduce by 2 hrs
fkl-delhi,PatialaHub_PTA,PatialaHub_PTA,10:00:00 PM,Patiala,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,10:00:00 PM,0.92,0.13,3,2,Not possible,Reduce by 1 hr
fkl-delhi,GobindgarhHub_LUH,GobindgarhHub_LUH,10:00:00 PM,Patiala,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,10:00:00 PM,0.92,0.13,3,2,Not possible,Reduce by 1 hr
fkl-delhi,LudhianaHub_LUH,LudhianaHub_LUH,10:00:00 PM,Ludhiana,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,10:00:00 PM,0.92,0.13,3,2,Not possible,Reduce by 1 hr
fkl-delhi,JalandharHub_JLR,JalandharHub_JLR,08:30:00 PM,Jalandhar,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,08:30:00 PM,0.85,0.06,1.5,0.5,Not possible,2.5 hrs less
fkl-delhi,PhagwaraHub_PGR,PhagwaraHub_PGR,10:00:00 PM,PHAGWARA,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,10:00:00 PM,0.92,0.13,3,2,Not possible,Reduce by 1 hr
fkl-delhi,MeerutHub_MEE,MeerutHub_MEE,09:00:00 PM,Meerut,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:00:00 PM,0.88,0.08,2,1,Not possible,Reduce by 2 hrs
fkl-delhi,GreaterNoidaHub_DEL,MotherHub_BAM,10:00:00 AM,Noida,Z,,1,1,09:30:00 PM,0.9,2.5,1,12:00:00 AM,02:00:00 AM,1,10:00:00 AM,0.42,0.42,10,9,Improve,Lpht at 8p.m
fkl-delhi,AligarhHub_ALG,AligarhHub_ALG,10:30:00 PM,Aligarh,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,10:30:00 PM,0.94,0.15,3.5,2.5,Not possible,Reduce by 0.5 hr
fkl-delhi,BareillyHub_BRY,BareillyHub_BRY,09:00:00 PM,Bareilly,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:00:00 PM,0.88,0.08,2,1,Not possible,Reduce by 2 hrs
fkl-delhi,MoradabadHub_MRD,MoradabadHub_MRD,09:00:00 PM,Moradabad,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:00:00 PM,0.88,0.08,2,1,Not possible,Reduce by 2 hrs
fkl-delhi,MuzaffarnagarHub_MFN,MuzaffarnagarHub_MFN,09:00:00 PM,Muzaffarnagar,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:00:00 PM,0.88,0.08,2,1,Not possible,Reduce by 2 hrs
fkl-delhi,RudrapurHub_RDP,RudrapurHub_RDP,09:00:00 PM,Rudrapur,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,09:00:00 PM,0.88,0.08,2,1,Not possible,Reduce by 2 hrs
fkl-delhi,MathuraHub_MTH,MathuraHub_MTH,11:00:00 PM,Mathura,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,11:00:00 PM,0.96,0.17,4,3,Okay,Okay
fkl-delhi,AgraHub_AGR,AgraHub_AGR,10:00:00 PM,Agra,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,10:00:00 PM,0.92,0.13,3,2,Not possible,Reduce by 1 hr
fkl-delhi,VKIAHub_JAI,MotherHub_JAI,12:00:00 AM,Jaipur,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,12:00:00 AM,0,0.21,5,4,Okay,No change
fkl-delhi,PinkCityHub_JAI,MotherHub_JAI,12:00:00 AM,Jaipur,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,12:00:00 AM,0,0.21,5,4,Okay,No change
fkl-delhi,JaipurHub_JAI,MotherHub_JAI,12:00:00 AM,Jaipur,Z,,1,1,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,12:00:00 AM,0,0.21,5,4,Okay,No change
fkl-Pataudi,DharuheraHub_DRH,DharuheraHub_DRH,05:00:00 AM,Dharuhera,Z,,1,1,07:30:00 PM,0.81,1.5,0.88,09:07:12 PM,11:07:12 PM,0.88,05:00:00 AM,0.21,0.33,8,7,Improve,Lpht at 8p.m
fkl-Pataudi,RewariHub_RWR,RewariHub_RWR,05:30:00 AM,Rewari,Z,,1,1,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,05:30:00 AM,0.23,0.65,15.5,14.5,Improve,Lpht at 8p.m
fkl-Pataudi,RohtakHub_ROH,RohtakHub_ROH,09:00:00 PM,Rohtak,Z,,1,1,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,09:00:00 PM,0.88,0.29,7,6,Okay,No change
fkl-Pataudi,HissarHub_HSS,HissarHub_HSS,09:00:00 PM,Hissar,Z,,1,1,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:00:00 PM,0.88,0.23,5.5,4.5,Okay,No change
fkl-Pataudi,JindHub_JND,JindHub_JND,09:00:00 PM,Jind,Z,,1,1,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,09:00:00 PM,0.88,0.29,7,6,Okay,No change
fkl-Pataudi,BhiwaniHub_DEL,BhiwaniHub_DEL,09:00:00 PM,Bhiwani,Z,,1,1,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:00:00 PM,0.88,0.23,5.5,4.5,Okay,No change
fkl-Pataudi,SonepatHub_SOP,SonepatHub_SOP,09:45:00 PM,Sonipat,Z,,1,1,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:45:00 PM,0.91,0.26,6.25,5.25,Okay,No change
fkl-Pataudi,KarnalHub_KAL,KarnalHub_KAL,09:00:00 PM,Karnal,Z,,1,1,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,09:00:00 PM,0.88,0.29,7,6,Okay,No change
fkl-Pataudi,PanipatHub_PPT,PanipatHub_PPT,09:45:00 PM,Panipat,Z,,1,1,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:45:00 PM,0.91,0.26,6.25,5.25,Okay,No change
