Size,Mileage,Speed,KMperTyper,Costoftyre,Numberoftyres,Repaircharge,ContainerFactor,VehicleCost,Interest,loadperiod,AMC,Insurance,Capacity
22,60,14,250000,20000,8,1,1,1500000,14,10,3,1,4332
28,50,14,250000,20000,10,1,1,1600000,14,10,3,1,5514
32,50,11,250000,20000,12,1,1,1700000,14,10,3,1,6304
17,60,14,250000,20000,6,1,1,1200000,14,10,3,1,2769
19,60,14,250000,20000,6,1,1,1300000,14,10,3,1,3288
20,60,14,250000,20000,6,1,1,1400000,14,10,3,1,3938
24,55,14,250000,20000,8,1,1,1600000,14,10,3,1,4726
14,60,14,250000,20000,4,1,1,1000000,14,10,3,1,4000
