Type,Key,src_lat,src_long,dest_lat,dest_long,src_final,dest_hub,Ready_time,Load,del_time,del_time_10,del_time_11
Shipment,MotherHub_BNL-MeerutHub_MEE,28.307599,76.882718,28.5342317,77.2746536,MotherHub_BNL,MeerutHub_MEE,82800,976,118800,122400,126000
Shipment,MotherHub_BNL-MohaliHub_IXC,28.307599,76.882718,30.711382,76.692488,MotherHub_BNL,MohaliHub_IXC,82800,844,118800,122400,126000
Shipment,MotherHub_BNL-MoradabadHub_MRD,28.307599,76.882718,28.830203,78.738543,MotherHub_BNL,MoradabadHub_MRD,82800,756,118800,122400,126000
Shipment,MotherHub_BNL-MotherHub_LKO,28.307599,76.882718,26.755912,80.910939,MotherHub_BNL,MotherHub_LKO,82800,0,183600,208800,212400
Shipment,MotherHub_BNL-MuktsarHub_MKT,28.307599,76.882718,30.464286,74.512357,MotherHub_BNL,MuktsarHub_MKT,82800,154,183600,208800,212400
Shipment,MotherHub_BNL-MuzaffarnagarHub_MFN,28.307599,76.882718,29.4726817,77.7085091,MotherHub_BNL,MuzaffarnagarHub_MFN,82800,286,118800,122400,126000
Shipment,MotherHub_BNL-NarainaMPHub_DEL,28.307599,76.882718,28.644308,77.146477,MotherHub_BNL,NarainaMPHub_DEL,82800,0,118800,122400,126000
Shipment,MotherHub_BNL-NarnaulHub_NNL,28.307599,76.882718,28.069324,76.106757,MotherHub_BNL,NarnaulHub_NNL,82800,418,118800,122400,126000
Shipment,MotherHub_BNL-PalwalHub_PLW,28.307599,76.882718,28.151348,77.334179,MotherHub_BNL,PalwalHub_PLW,82800,251,118800,122400,126000
Shipment,MotherHub_BNL-PanchkulaHub_PKL,28.307599,76.882718,30.683538,76.830649,MotherHub_BNL,PanchkulaHub_PKL,82800,914,118800,122400,126000
Shipment,MotherHub_BNL-PanipatHub_PPT,28.307599,76.882718,29.411689,76.971994,MotherHub_BNL,PanipatHub_PPT,82800,499,118800,122400,126000
Shipment,MotherHub_BNL-PathankotHub_PHT,28.307599,76.882718,32.260812,75.629247,MotherHub_BNL,PathankotHub_PHT,82800,249,183600,208800,212400
Shipment,MotherHub_BNL-PatialaHub_PTA,28.307599,76.882718,30.335038,76.4062069,MotherHub_BNL,PatialaHub_PTA,82800,777,118800,122400,126000
Shipment,MotherHub_BNL-PhagwaraHub_PGR,28.307599,76.882718,31.200919,75.776276,MotherHub_BNL,PhagwaraHub_PGR,82800,245,183600,208800,212400
Shipment,MotherHub_BNL-PrahladpurMPHub_DEL,28.307599,76.882718,28.501376,77.282889,MotherHub_BNL,PrahladpurMPHub_DEL,82800,0,118800,122400,126000
Shipment,MotherHub_BNL-RewariHub_RWR,28.307599,76.882718,28.197577,76.6242022,MotherHub_BNL,RewariHub_RWR,82800,457,118800,122400,126000
Shipment,MotherHub_BNL-RohtakHub_ROH,28.307599,76.882718,28.882957,76.619906,MotherHub_BNL,RohtakHub_ROH,82800,783,118800,122400,126000
Shipment,MotherHub_BNL-RoorkeeHub_HRD,28.307599,76.882718,29.8543,77.888,MotherHub_BNL,RoorkeeHub_HRD,82800,220,118800,122400,126000
Shipment,MotherHub_BNL-RudrapurHub_RDP,28.307599,76.882718,28.987508,79.414121,MotherHub_BNL,RudrapurHub_RDP,82800,428,118800,122400,126000
Shipment,MotherHub_BNL-RupnagarHub_RUP,28.307599,76.882718,30.952567,76.506966,MotherHub_BNL,RupnagarHub_RUP,82800,267,118800,122400,126000
Shipment,MotherHub_BNL-SaharanpurHub_SHP,28.307599,76.882718,29.956038,77.545236,MotherHub_BNL,SaharanpurHub_SHP,82800,333,118800,122400,126000
Shipment,MotherHub_BNL-SangrurHub_SNR,28.307599,76.882718,30.248138,75.834182,MotherHub_BNL,SangrurHub_SNR,82800,211,118800,122400,126000
Shipment,MotherHub_BNL-ShimlaHub_SHM,28.307599,76.882718,31.074597,77.182889,MotherHub_BNL,ShimlaHub_SHM,82800,545,118800,122400,126000
Shipment,MotherHub_BNL-SirsaHub_SRS,28.307599,76.882718,29.536369,75.015843,MotherHub_BNL,SirsaHub_SRS,82800,312,118800,122400,126000
Shipment,MotherHub_BNL-SonepatHub_SOP,28.307599,76.882718,28.999545,77.032738,MotherHub_BNL,SonepatHub_SOP,82800,529,118800,122400,126000
Shipment,MotherHub_BNL-SrinagarHub_SRG,28.307599,76.882718,34.057386,74.824942,MotherHub_BNL,SrinagarHub_SRG,82800,258,183600,208800,212400
Shipment,MotherHub_BNL-YamunaNagarHub_YNR,28.307599,76.882718,30.126579,77.294879,MotherHub_BNL,YamunaNagarHub_YNR,82800,346,118800,122400,126000
